model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,indonesia,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,57434.401,60019.2015,64249.2009,74523.5997,77122.7987,79405.1992,81741.6011,77346.1812,80660.90005,92171.8975,90948.1524,94783.6135506816,98013.11032711512,101242.60710354862,104472.10387998213,107701.60065641564,110931.09743284914,114160.59420928266,117390.09098571616,120619.58776214968,123849.08453858318,127078.5813150167,130308.0780914502,133537.5748678837,136767.0716443172,139996.56842075073,143226.06519718422,146455.56197361773,149685.05875005125,152914.55552648476,156144.05230291828,159373.54907935177,162603.04585578528,165832.5426322188,169062.0394086523,172291.5361850858,175521.03296151932,178750.5297379528,181980.02651438635,185209.52329081984,188439.02006725332,191668.51684368687,194898.0136201204,198127.51039655387,201357.0071729874,204586.50394942088,207816.0007258544,211045.4975022879,214274.9942787214,217504.4910551549,220733.98783158843,223963.48460802197,227192.98138445543,230422.47816088892,233651.9749373225,236881.471713756,240110.9684901895,243340.465266623,246569.9620430565,249799.45881949,253028.95559592356,256258.45237235705,259487.9491487905,262717.44592522405,265946.94270165754,269176.4394780911,272405.93625452457,275635.43303095805,278864.9298073916,282094.4265838251,285323.9233602586,288553.4201366921,291782.9169131256,295012.41368955915,298241.91046599264,301471.4072424261,304700.90401885967,307930.4007952932,311159.89757172664,314389.3943481602,317618.8911245937,320848.3879010272,324077.8846774607,327307.3814538942,330536.87823032774,333766.3750067612,336995.8717831947,340225.36855962826,343454.86533606175,346684.36211249523,349913.8588889288
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,21099.6005,24775.2006,25711.2016,28605.5992,30708.0009,32680.8001,35640.001,35514.217,38823.9578,40475.7843,39723.2866,41398.49515026948,42809.03755974941,44219.579969229344,45630.12237870928,47040.66478818922,48451.20719766915,49861.74960714909,51272.29201662903,52682.83442610896,54093.3768355889,55503.91924506883,56914.461654548766,58325.004064028704,59735.54647350864,61146.08888298857,62556.63129246851,63967.17370194844,65377.71611142838,66788.25852090832,68198.80093038826,69609.34333986818,71019.88574934812,72430.42815882806,73840.970568308,75251.51297778793,76662.05538726787,78072.59779674781,79483.14020622775,80893.68261570767,82304.22502518761,83714.76743466755,85125.30984414747,86535.85225362741,87946.39466310735,89356.93707258729,90767.47948206724,92178.02189154716,93588.5643010271,94999.10671050704,96409.64911998698,97820.1915294669,99230.73393894684,100641.27634842678,102051.8187579067,103462.36116738664,104872.90357686658,106283.44598634652,107693.98839582644,109104.5308053064,110515.07321478632,111925.61562426624,113336.1580337462,114746.70044322612,116157.24285270608,117567.785262186,118978.32767166596,120388.87008114588,121799.4124906258,123209.95490010576,124620.49730958568,126031.03971906562,127441.58212854556,128852.12453802548,130262.66694750542,131673.20935698535,133083.7517664653,134494.29417594522,135904.83658542516,137315.3789949051,138725.92140438504,140136.46381386498,141547.0062233449,142957.54863282485,144368.09104230476,145778.63345178473,147189.17586126464,148599.7182707446,150010.2606802245,151420.80308970448,152831.3454991844
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,21452.4,21182.4,21092.4,18248.4,20710.8,20361.6,24112.8,31204.8,36021.492,35964.0,40957.2,42684.4450873966,44138.80278330667,45593.16047921676,47047.51817512683,48501.87587103691,49956.23356694699,51410.591262857066,52864.94895876714,54319.30665467722,55773.6643505873,57228.02204649738,58682.37974240746,60136.737438317534,61591.09513422761,63045.45283013769,64499.81052604777,65954.16822195785,67408.52591786793,68862.883613778,70317.24130968808,71771.59900559817,73225.95670150823,74680.31439741832,76134.6720933284,77589.02978923847,79043.38748514856,80497.74518105862,81952.10287696871,83406.46057287879,84860.81826878886,86315.17596469894,87769.53366060901,89223.8913565191,90678.24905242916,92132.60674833924,93586.96444424932,95041.3221401594,96495.6798360695,97950.03753197956,99404.39522788965,100858.75292379972,102313.1106197098,103767.46831561987,105221.82601152996,106676.18370744004,108130.5414033501,109584.8990992602,111039.25679517028,112493.61449108034,113947.97218699042,115402.3298829005,116856.68757881058,118311.04527472066,119765.40297063072,121219.7606665408,122674.11836245088,124128.47605836098,125582.83375427104,127037.19145018113,128491.5491460912,129945.90684200128,131400.26453791134,132854.62223382143,134308.97992973152,135763.3376256416,137217.69532155167,138672.05301746173,140126.41071337182,141580.7684092819,143035.126105192,144489.48380110206,145943.84149701212,147398.1991929222,148852.5568888323,150306.9145847424,151761.27228065245,153215.62997656252,154669.9876724726,156124.3453683827,157578.70306429276
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,12232.8,12553.2,12808.8,15642.0,15426.0,15811.2,14248.8,14745.6,14446.116,14796.0,15069.6,15705.11445335696,16240.22400025681,16775.33354715666,17310.443094056507,17845.552640956357,18380.662187856207,18915.771734756054,19450.881281655904,19985.990828555758,20521.100375455604,21056.20992235545,21591.3194692553,22126.42901615515,22661.538563055,23196.648109954847,23731.757656854697,24266.867203754548,24801.9767506544,25337.086297554248,25872.19584445409,26407.305391353944,26942.414938253794,27477.52448515364,28012.63403205349,28547.74357895334,29082.85312585319,29617.96267275304,30153.072219652888,30688.181766552734,31223.291313452588,31758.400860352434,32293.510407252284,32828.619954152135,33363.72950105199,33898.839047951835,34433.94859485168,34969.058141751535,35504.16768865138,36039.27723555123,36574.38678245108,37109.49632935093,37644.605876250775,38179.71542315063,38714.82497005048,39249.93451695032,39785.044063850175,40320.15361075002,40855.26315764987,41390.37270454972,41925.482251449575,42460.59179834942,42995.70134524927,43530.81089214912,44065.92043904897,44601.029985948815,45136.13953284867,45671.24907974852,46206.35862664836,46741.468173548215,47276.57772044806,47811.68726734791,48346.79681424776,48881.90636114761,49417.01590804746,49952.12545494731,50487.23500184716,51022.34454874701,51557.454095646855,52092.56364254671,52627.67318944656,53162.7827363464,53697.892283246256,54233.0018301461,54768.11137704595,55303.2209239458,55838.33047084565,56373.440017745495,56908.54956464535,57443.6591115452,57978.76865844505
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,429047.9989,423647.9983,421848.0008,364967.9992,414216.0003,407231.9993,482256.0012,624096.0012,720429.8396,719280.002,819143.9994,853688.9011226286,882776.0550195246,911863.2089164206,940950.3628133166,970037.5167102128,999124.6706071086,1028211.8245040048,1057298.9784009007,1086386.132297797,1115473.2861946928,1144560.4400915888,1173647.5939884847,1202734.7478853809,1231821.9017822768,1260909.0556791727,1289996.209576069,1319083.3634729648,1348170.5173698608,1377257.671266757,1406344.8251636531,1435431.9790605488,1464519.132957445,1493606.2868543412,1522693.440751237,1551780.594648133,1580867.7485450292,1609954.9024419251,1639042.056338821,1668129.2102357172,1697216.3641326132,1726303.518029509,1755390.6719264053,1784477.8258233012,1813564.9797201967,1842652.133617093,1871739.2875139893,1900826.4414108847,1929913.5953077811,1959000.7492046773,1988087.9031015728,2017175.0569984692,2046262.2108953656,2075349.3647922613,2104436.518689157,2133523.6725860536,2162610.8264829493,2191697.980379845,2220785.1342767416,2249872.2881736374,2278959.442070533,2308046.5959674297,2337133.7498643254,2366220.9037612216,2395308.0576581177,2424395.211555013,2453482.3654519096,2482569.519348806,2511656.673245701,2540743.8271425976,2569830.981039494,2598918.13493639,2628005.2888332857,2657092.442730182,2686179.596627078,2715266.7505239737,2744353.90442087,2773441.058317766,2802528.2122146618,2831615.366111558,2860702.520008454,2889789.67390535,2918876.827802246,2947963.981699142,2977051.1355960383,3006138.289492934,3035225.44338983,3064312.5972867263,3093399.751183622,3122486.905080518,3151574.0589774144
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,244656.0013,251063.9992,256175.9983,312839.9987,308519.9999,316224.0008,284975.999,294911.9997,288922.3218,295920.0011,301391.998,314102.2869827953,324804.47784977383,335506.66871675244,346208.859583731,356911.05045070953,367613.24131768814,378315.4321846667,389017.6230516452,399719.81391862384,410422.0047856024,421124.19565258094,431826.38651955954,442528.5773865381,453230.76825351664,463932.9591204952,474635.1499874738,485337.34085445234,496039.53172143095,506741.7225884095,517443.913455388,528146.1043223666,538848.2951893453,549550.4860563237,560252.6769233024,570954.8677902808,581657.0586572594,592359.249524238,603061.4403912167,613763.6312581953,624465.8221251738,635168.0129921522,645870.2038591309,656572.3947261095,667274.5855930881,677976.7764600667,688678.9673270452,699381.1581940237,710083.3490610023,720785.5399279809,731487.7307949595,742189.9216619381,752892.1125289166,763594.303395895,774296.4942628737,784998.6851298523,795700.8759968309,806403.0668638095,817105.257730788,827807.4485977665,838509.6394647451,849211.8303317237,859914.0211987023,870616.2120656809,881318.4029326595,892020.5937996379,902722.7846666164,913424.9755335952,924127.1664005736,934829.3572675524,945531.5481345308,956233.7390015092,966935.929868488,977638.1207354664,988340.3116024452,999042.5024694236,1009744.6933364024,1020446.8842033808,1031149.0750703592,1041851.265937338,1052553.4568043165,1063255.647671295,1073957.8385382737,1084660.029405252,1095362.220272231,1106064.4111392093,1116766.602006188,1127468.7928731665,1138170.983740145,1148873.1746071237,1159575.365474102
PD22,baseline,indonesia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,5864.400000000001,7570.8,8186.400000000001,14072.4,14392.8,13449.6,17247.600000000002,22345.2,39267.14400000001,40664.772,44553.6,46432.51229688145,48014.575305107086,49596.63831333273,51178.70132155837,52760.76432978401,54342.82733800965,55924.89034623529,57506.95335446094,59089.016362686576,60671.079370912215,62253.14237913786,63835.2053873635,65417.26839558914,66999.33140381478,68581.39441204042,70163.45742026606,71745.5204284917,73327.58343671734,74909.64644494299,76491.70945316863,78073.77246139427,79655.83546961991,81237.89847784556,82819.9614860712,84402.02449429684,85984.08750252248,87566.15051074812,89148.21351897376,90730.2765271994,92312.33953542504,93894.40254365068,95476.46555187632,97058.52856010196,98640.5915683276,100222.65457655324,101804.71758477887,103386.78059300451,104968.84360123015,106550.90660945582,108132.96961768146,109715.0326259071,111297.09563413274,112879.15864235838,114461.22165058402,116043.28465880966,117625.3476670353,119207.41067526094,120789.47368348658,122371.53669171222,123953.59969993784,125535.6627081635,127117.72571638912,128699.78872461476,130281.85173284044,131863.91474106608,133445.97774929172,135028.04075751736,136610.103765743,138192.16677396864,139774.22978219428,141356.29279041992,142938.35579864556,144520.4188068712,146102.48181509683,147684.54482332247,149266.6078315481,150848.67083977375,152430.7338479994,154012.79685622503,155594.8598644507,157176.92287267634,158758.98588090198,160341.04888912762,161923.11189735326,163505.1749055789,165087.23791380454,166669.30092203018,168251.3639302558,169833.42693848145,171415.4899467071
