model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,iran,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,iran,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,119023.2003,125661.602,132458.3987,136976.3997,124595.9986,149616.0014,120646.7995,121399.2009,118270.7989,123259.6474,124297.4504,131192.70093157954,132899.84987891233,134606.99882624514,136314.14777357792,138021.2967209107,139728.44566824348,141435.59461557626,143142.74356290908,144849.89251024186,146557.04145757464,148264.19040490745,149971.33935224023,151678.488299573,153385.6372469058,155092.78619423858,156799.9351415714,158507.08408890417,160214.23303623695,161921.38198356976,163628.53093090255,165335.67987823533,167042.8288255681,168749.9777729009,170457.1267202337,172164.2756675665,173871.42461489927,175578.57356223208,177285.72250956486,178992.87145689764,180700.0204042304,182407.1693515632,184114.318298896,185821.4672462288,187528.6161935616,189235.7651408944,190942.9140882272,192650.06303556,194357.21198289277,196064.36093022552,197771.50987755836,199478.6588248911,201185.8077722239,202892.9567195567,204600.1056668895,206307.25461422227,208014.40356155505,209721.55250888783,211428.70145622065,213135.85040355343,214842.9993508862,216550.14829821905,218257.2972455518,219964.44619288456,221671.59514021737,223378.74408755012,225085.89303488296,226793.0419822157,228500.19092954847,230207.3398768813,231914.4888242141,233621.6377715469,235328.78671887968,237035.9356662125,238743.08461354527,240450.23356087808,242157.38250821084,243864.53145554365,245571.68040287643,247278.8293502092,248985.978297542,250693.1272448748,252400.2761922076,254107.4251395404,255814.57408687315,257521.723034206,259228.87198153877,260936.02092887156,262643.16987620434,264350.3188235371,266057.4677708699
PD22,baseline,iran,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,29124.0004,30535.1991,30805.2016,32684.4007,32000.399,29271.6019,31831.2021,34026.6051,31328.6814,32566.0985,32897.7768,34722.74112740977,35174.57183554559,35626.40254368141,36078.23325181723,36530.06395995305,36981.89466808887,37433.72537622469,37885.55608436051,38337.386792496334,38789.21750063216,39241.04820876797,39692.87891690379,40144.70962503961,40596.54033317544,41048.37104131126,41500.20174944708,41952.0324575829,42403.86316571872,42855.693873854536,43307.52458199036,43759.35529012618,44211.185998262,44663.01670639782,45114.84741453364,45566.67812266946,46018.50883080528,46470.3395389411,46922.17024707692,47374.000955212745,47825.83166334857,48277.66237148439,48729.49307962021,49181.32378775602,49633.154495891846,50084.98520402767,50536.81591216349,50988.64662029931,51440.477328435125,51892.30803657095,52344.13874470677,52795.96945284259,53247.80016097841,53699.63086911423,54151.461577250055,54603.29228538588,55055.1229935217,55506.95370165751,55958.78440979333,56410.61511792916,56862.44582606497,57314.27653420079,57766.10724233661,58217.93795047244,58669.76865860826,59121.59936674408,59573.4300748799,60025.26078301572,60477.09149115154,60928.92219928736,61380.75290742318,61832.583615559,62284.41432369482,62736.24503183064,63188.07573996646,63639.90644810228,64091.7371562381,64543.56786437392,64995.39857250975,65447.229280645566,65899.05998878139,66350.89069691721,66802.72140505303,67254.55211318885,67706.38282132466,68158.21352946048,68610.0442375963,69061.87494573212,69513.70565386795,69965.53636200377,70417.36707013959
PD22,baseline,iran,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,iran,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,iran,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055473788958583,1.0692081732266354,1.0829425574946878,1.0966769417627404,1.1104113260307928,1.1241457102988452,1.1378800945668976,1.1516144788349505,1.165348863103003,1.179083247371055,1.1928176316391077,1.20655201590716,1.2202864001752125,1.234020784443265,1.2477551687113173,1.2614895529793697,1.2752239372474223,1.2889583215154747,1.3026927057835271,1.3164270900515795,1.330161474319632,1.3438958585876846,1.357630242855737,1.3713646271237894,1.385099011391842,1.3988333956598944,1.4125677799279468,1.4263021641959992,1.4400365484640516,1.453770932732104,1.4675053170001566,1.481239701268209,1.4949740855362614,1.508708469804314,1.5224428540723665,1.5361772383404189,1.5499116226084713,1.5636460068765237,1.577380391144576,1.5911147754126287,1.604849159680681,1.6185835439487335,1.632317928216786,1.6460523124848383,1.659786696752891,1.673521081020943,1.6872554652889955,1.700989849557048,1.7147242338251008,1.7284586180931532,1.7421930023612058,1.7559273866292582,1.7696617708973106,1.783396155165363,1.7971305394334154,1.810864923701468,1.82459930796952,1.8383336922375728,1.8520680765056248,1.8658024607736776,1.8795368450417305,1.8932712293097824,1.907005613577835,1.9207399978458877,1.93447438211394,1.9482087663819925,1.9619431506500449,1.9756775349180973,1.98941191918615,2.0031463034542023,2.0168806877222547,2.030615071990307,2.0443494562583595,2.058083840526412,2.0718182247944643,2.0855526090625167,2.099286993330569,2.113021377598621,2.1267557618666744,2.1404901461347268
PD22,baseline,iran,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,34293.6,43408.8,44809.2,52495.2,49903.2,50724.0,59115.6,54183.6,56754.0,57128.3784,57193.5276,60366.26927987929,61151.78716558316,61937.30505128702,62722.82293699088,63508.34082269474,64293.858708398606,65079.37659410248,65864.89447980633,66650.4123655102,67435.93025121406,68221.44813691793,69006.96602262178,69792.48390832565,70578.00179402952,71363.51967973338,72149.03756543725,72934.5554511411,73720.07333684497,74505.59122254883,75291.1091082527,76076.62699395657,76862.14487966042,77647.66276536428,78433.18065106815,79218.69853677202,80004.21642247587,80789.73430817974,81575.2521938836,82360.77007958747,83146.28796529133,83931.8058509952,84717.32373669907,85502.84162240292,86288.35950810678,87073.87739381065,87859.39527951452,88644.91316521837,89430.43105092224,90215.9489366261,91001.46682232997,91786.98470803382,92572.50259373768,93358.02047944156,94143.53836514542,94929.05625084927,95714.57413655314,96500.092022257,97285.60990796088,98071.12779366472,98856.6456793686,99642.16356507246,100427.68145077632,101213.1993364802,101998.71722218406,102784.23510788791,103569.75299359176,104355.27087929564,105140.78876499952,105926.30665070337,106711.82453640724,107497.3424221111,108282.86030781496,109068.37819351882,109853.89607922269,110639.41396492656,111424.9318506304,112210.44973633428,112995.96762203814,113781.485507742,114567.00339344586,115352.52127914972,116138.0391648536,116923.55705055746,117709.07493626131,118494.59282196518,119280.11070766904,120065.62859337292,120851.14647907676,121636.66436478063,122422.1822504845
PD22,baseline,iran,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055473788958583,1.0692081732266354,1.0829425574946878,1.0966769417627404,1.1104113260307928,1.1241457102988452,1.1378800945668976,1.1516144788349505,1.165348863103003,1.179083247371055,1.1928176316391077,1.20655201590716,1.2202864001752125,1.234020784443265,1.2477551687113173,1.2614895529793697,1.2752239372474223,1.2889583215154747,1.3026927057835271,1.3164270900515795,1.330161474319632,1.3438958585876846,1.357630242855737,1.3713646271237894,1.385099011391842,1.3988333956598944,1.4125677799279468,1.4263021641959992,1.4400365484640516,1.453770932732104,1.4675053170001566,1.481239701268209,1.4949740855362614,1.508708469804314,1.5224428540723665,1.5361772383404189,1.5499116226084713,1.5636460068765237,1.577380391144576,1.5911147754126287,1.604849159680681,1.6185835439487335,1.632317928216786,1.6460523124848383,1.659786696752891,1.673521081020943,1.6872554652889955,1.700989849557048,1.7147242338251008,1.7284586180931532,1.7421930023612058,1.7559273866292582,1.7696617708973106,1.783396155165363,1.7971305394334154,1.810864923701468,1.82459930796952,1.8383336922375728,1.8520680765056248,1.8658024607736776,1.8795368450417305,1.8932712293097824,1.907005613577835,1.9207399978458877,1.93447438211394,1.9482087663819925,1.9619431506500449,1.9756775349180973,1.98941191918615,2.0031463034542023,2.0168806877222547,2.030615071990307,2.0443494562583595,2.058083840526412,2.0718182247944643,2.0855526090625167,2.099286993330569,2.113021377598621,2.1267557618666744,2.1404901461347268
PD22,baseline,iran,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,34293.6015,43408.801,44809.2019,52495.1995,49903.2019,50723.9989,59115.598,54183.602,56753.9999,57128.3773,57193.526,60366.26759112123,61151.78545485008,61937.303318578925,62722.82118230777,63508.33904603662,64293.85690976547,65079.37477349432,65864.89263722317,66650.41050095201,67435.92836468086,68221.44622840971,69006.96409213856,69792.4819558674,70577.99981959625,71363.5176833251,72149.03554705395,72934.5534107828,73720.07127451165,74505.5891382405,75291.10700196934,76076.62486569819,76862.14272942704,77647.66059315589,78433.17845688474,79218.69632061358,80004.21418434245,80789.73204807128,81575.24991180014,82360.76777552898,83146.28563925784,83931.80350298667,84717.32136671554,85502.83923044437,86288.35709417323,87073.87495790207,87859.39282163093,88644.91068535976,89430.42854908863,90215.94641281746,91001.46427654632,91786.98214027515,92572.50000400402,93358.01786773284,94143.53573146171,94929.05359519056,95714.5714589194,96500.08932264824,97285.6071863771,98071.12505010595,98856.6429138348,99642.16077756364,100427.6786412925,101213.19650502136,101998.7143687502,102784.23223247904,103569.75009620788,104355.26795993674,105140.7858236656,105926.30368739444,106711.82155112328,107497.33941485212,108282.85727858098,109068.37514230984,109853.89300603868,110639.41086976753,111424.92873349636,112210.44659722522,112995.96446095408,113781.48232468292,114567.00018841177,115352.5180521406,116138.03591586946,116923.55377959833,117709.07164332716,118494.589507056,119280.10737078486,120065.6252345137,120851.14309824257,121636.6609619714,122422.17882570023
PD22,baseline,iran,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1177.2,1177.2,6649.2,16365.6,16099.2,10490.4,23832.0,27049.1904,26821.627200000003,23432.004,20844.0,22000.295657052706,22286.57516273599,22572.85466841928,22859.13417410256,23145.41367978585,23431.69318546913,23717.972691152416,24004.252196835703,24290.531702518987,24576.81120820227,24863.09071388556,25149.37021956884,25435.64972525213,25721.929230935413,26008.208736618697,26294.488242301984,26580.76774798527,26867.04725366856,27153.32675935184,27439.606265035123,27725.88577071841,28012.16527640169,28298.444782084985,28584.724287768266,28871.00379345155,29157.28329913484,29443.56280481812,29729.842310501408,30016.12181618469,30302.401321867976,30588.68082755126,30874.960333234547,31161.239838917834,31447.51934460112,31733.7988502844,32020.07835596769,32306.357861650973,32592.63736733426,32878.916873017544,33165.19637870083,33451.47588438411,33737.7553900674,34024.03489575069,34310.31440143397,34596.593907117254,34882.87341280054,35169.15291848383,35455.43242416711,35741.7119298504,36027.99143553368,36314.27094121696,36600.55044690025,36886.82995258354,37173.10945826682,37459.38896395011,37745.66846963339,38031.94797531668,38318.227480999965,38604.50698668325,38890.78649236653,39177.06599804982,39463.3455037331,39749.625009416384,40035.90451509968,40322.18402078296,40608.46352646624,40894.743032149534,41181.02253783282,41467.3020435161,41753.581549199385,42039.86105488267,42326.14056056595,42612.42006624924,42898.69957193253,43184.97907761581,43471.258583299095,43757.53808898239,44043.81759466567,44330.09710034896,44616.37660603224
