model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,jordan,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,jordan,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,jordan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,7160.3993,7732.8019,6339.5981,6436.7989,7048.8002,7883.9998,7394.3996,7189.2003,7412.3986,8096.4003,8303.7432,8764.38329784307,8878.430097815097,8992.476897787124,9106.523697759152,9220.57049773118,9334.617297703207,9448.664097675235,9562.710897647265,9676.75769761929,9790.804497591318,9904.851297563346,10018.898097535372,10132.9448975074,10246.991697479429,10361.038497451456,10475.085297423482,10589.13209739551,10703.178897367538,10817.225697339563,10931.272497311593,11045.31929728362,11159.366097255648,11273.412897227676,11387.459697199703,11501.506497171731,11615.55329714376,11729.600097115786,11843.646897087814,11957.693697059842,12071.74049703187,12185.787297003895,12299.834096975925,12413.88089694795,12527.927696919978,12641.974496892006,12756.021296864034,12870.06809683606,12984.114896808089,13098.161696780116,13212.208496752144,13326.255296724172,13440.3020966962,13554.348896668227,13668.395696640257,13782.442496612282,13896.48929658431,14010.536096556338,14124.582896528364,14238.629696500391,14352.67649647242,14466.723296444448,14580.770096416476,14694.816896388504,14808.863696360531,14922.91049633256,15036.957296304588,15151.004096276614,15265.050896248642,15379.09769622067,15493.144496192695,15607.191296164723,15721.23809613675,15835.284896108778,15949.331696080806,16063.378496052834,16177.42529602486,16291.472095996887,16405.51889596892,16519.565695940946,16633.612495912974,16747.659295884998,16861.706095857026,16975.752895829057,17089.799695801084,17203.846495773112,17317.893295745136,17431.940095717164,17545.98689568919,17660.03369566122,17774.080495633247
PD22,baseline,jordan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1958.4008,2217.6014,2228.3992,2217.6014,2275.1992,2055.6016,1872.002,1850.3981,1594.7982,1443.6003,1355.4137,1430.6036335453723,1449.2194061433552,1467.8351787413378,1486.450951339321,1505.066723937303,1523.6824965352862,1542.2982691332688,1560.9140417312517,1579.5298143292343,1598.1455869272172,1616.7613595252,1635.3771321231827,1653.9929047211654,1672.6086773191482,1691.224449917131,1709.8402225151135,1728.4559951130966,1747.0717677110792,1765.687540309062,1784.303312907045,1802.919085505028,1821.5348581030105,1840.150630700993,1858.766403298976,1877.3821758969584,1895.9979484949413,1914.613721092924,1933.229493690907,1951.84526628889,1970.4610388868723,1989.0768114848552,2007.692584082838,2026.308356680821,2044.9241292788035,2063.539901876786,2082.155674474769,2100.771447072752,2119.3872196707343,2138.002992268717,2156.6187648667,2175.234537464683,2193.850310062666,2212.4660826606487,2231.081855258631,2249.697627856614,2268.313400454597,2286.9291730525792,2305.544945650562,2324.160718248545,2342.776490846528,2361.3922634445107,2380.0080360424936,2398.623808640476,2417.239581238459,2435.8553538364417,2454.471126434424,2473.086899032407,2491.70267163039,2510.3184442283728,2528.934216826356,2547.5499894243385,2566.165762022321,2584.781534620304,2603.397307218286,2622.013079816269,2640.628852414252,2659.244625012235,2677.8603976102177,2696.4761702082005,2715.0919428061834,2733.707715404166,2752.3234880021487,2770.939260600131,2789.555033198114,2808.170805796097,2826.78657839408,2845.4023509920626,2864.018123590045,2882.6338961880283,2901.2496687860107
PD22,baseline,jordan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jordan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jordan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,219.6,198.0,219.6,198.0,208.8,190.8,151.20000000000002,136.8,81.72,66.24,65.88000000000001,69.53461321659145,70.43943445217074,71.34425568775004,72.24907692332934,73.15389815890863,74.05871939448792,74.96354063006721,75.8683618656465,76.77318310122581,77.6780043368051,78.5828255723844,79.48764680796369,80.39246804354299,81.29728927912228,82.20211051470157,83.10693175028086,84.01175298586017,84.91657422143946,85.82139545701875,86.72621669259804,87.63103792817734,88.53585916375664,89.44068039933593,90.34550163491522,91.25032287049451,92.1551441060738,93.05996534165313,93.9647865772324,94.8696078128117,95.774429048391,96.67925028397028,97.58407151954958,98.48889275512887,99.39371399070816,100.29853522628748,101.20335646186676,102.10817769744604,103.01299893302534,103.91782016860464,104.82264140418394,105.72746263976325,106.63228387534252,107.5371051109218,108.4419263465011,109.3467475820804,110.2515688176597,111.156390053239,112.0612112888183,112.96603252439758,113.87085375997688,114.77567499555616,115.68049623113546,116.58531746671476,117.49013870229405,118.39495993787337,119.29978117345264,120.20460240903192,121.10942364461124,122.01424488019052,122.91906611576982,123.82388735134911,124.7287085869284,125.63352982250773,126.538351058087,127.4431722936663,128.34799352924557,129.25281476482488,130.15763600040418,131.06245723598346,131.96727847156276,132.87209970714207,133.77692094272135,134.68174217830065,135.58656341387996,136.49138464945923,137.3962058850385,138.30102712061785,139.20584835619712,140.1106695917764,141.0154908273557
PD22,baseline,jordan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,219.6018,197.998,219.6018,197.998,208.7999,190.8008,151.1979,136.7995,81.718,66.2394,65.8793,69.53387438493918,70.43868600644949,71.34349762795979,72.24830924947011,73.15312087098042,74.05793249249072,74.96274411400103,75.86755573551133,76.77236735702164,77.67717897853194,78.58199060004226,79.48680222155257,80.39161384306287,81.29642546457318,82.20123708608348,83.1060487075938,84.0108603291041,84.91567195061441,85.82048357212472,86.72529519363502,87.63010681514533,88.53491843665563,89.43973005816594,90.34454167967624,91.24935330118656,92.15416492269686,93.05897654420716,93.96378816571747,94.8685997872278,95.7734114087381,96.6782230302484,97.58303465175872,98.487846273269,99.39265789477932,100.29746951628962,101.20228113779994,102.10709275931023,103.01190438082055,103.91671600233086,104.82152762384118,105.72633924535148,106.6311508668618,107.53596248837208,108.4407741098824,109.3455857313927,110.250397352903,111.15520897441333,112.06002059592362,112.96483221743394,113.86964383894424,114.77445546045456,115.67926708196488,116.58407870347516,117.48889032498548,118.39370194649578,119.29851356800609,120.2033251895164,121.1081368110267,122.012948432537,122.9177600540473,123.82257167555764,124.72738329706792,125.63219491857824,126.53700654008856,127.44181816159886,128.34662978310917,129.25144140461947,130.15625302612978,131.06106464764008,131.9658762691504,132.8706878906607,133.775499512171,134.6803111336813,135.5851227551916,136.4899343767019,137.39474599821222,138.29955761972252,139.20436924123285,140.10918086274316,141.01399248425346
PD22,baseline,jordan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jordan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,10.8,10.8,10.8,9.36,8.64,443.16,1435.32,1616.7600000000002,2545.2000000000003,3149.64,4963.68,5239.034136777939,5307.207225281586,5375.380313785232,5443.553402288879,5511.7264907925255,5579.899579296172,5648.072667799818,5716.245756303465,5784.418844807112,5852.591933310759,5920.7650218144045,5988.938110318051,6057.111198821698,6125.284287325345,6193.457375828991,6261.6304643326375,6329.803552836284,6397.97664133993,6466.149729843577,6534.322818347224,6602.495906850871,6670.668995354517,6738.842083858163,6807.01517236181,6875.188260865456,6943.361349369103,7011.53443787275,7079.707526376396,7147.880614880043,7216.053703383689,7284.226791887336,7352.399880390983,7420.572968894628,7488.746057398275,7556.919145901922,7625.092234405569,7693.265322909216,7761.438411412862,7829.611499916508,7897.784588420154,7965.957676923801,8034.130765427448,8102.303853931095,8170.476942434741,8238.650030938388,8306.823119442033,8374.996207945682,8443.169296449327,8511.342384952974,8579.51547345662,8647.688561960267,8715.861650463914,8784.034738967559,8852.207827471208,8920.380915974853,8988.5540044785,9056.727092982146,9124.900181485791,9193.07326998944,9261.246358493088,9329.419446996731,9397.592535500378,9465.765624004029,9533.938712507672,9602.11180101132,9670.284889514964,9738.45797801861,9806.63106652226,9874.804155025904,9942.977243529553,10011.150332033198,10079.323420536844,10147.496509040491,10215.669597544138,10283.842686047785,10352.01577455143,10420.188863055078,10488.361951558723,10556.53504006237,10624.708128566015
