model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,kazakhstan,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,kazakhstan,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,kazakhstan,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,23878.7983,22921.2018,25711.2016,40226.4018,25495.2004,18627.1151,19230.4581,23079.1823,23648.0052,34880.2601,24286.1489,23860.90596247812,24120.00969612046,24379.11342976281,24638.217163405152,24897.32089704749,25156.42463068984,25415.528364332185,25674.63209797453,25933.73583161688,26192.83956525922,26451.94329890157,26711.04703254391,26970.15076618625,27229.2544998286,27488.358233470943,27747.46196711329,28006.565700755636,28265.669434397976,28524.773168040323,28783.876901682663,29042.98063532501,29302.08436896736,29561.1881026097,29820.291836252043,30079.39556989439,30338.499303536733,30597.60303717908,30856.706770821424,31115.810504463767,31374.91423810611,31634.017971748457,31893.1217053908,32152.225439033144,32411.32917267549,32670.432906317837,32929.53663996018,33188.640373602524,33447.74410724487,33706.84784088721,33965.95157452956,34225.055308171904,34484.159041814244,34743.26277545659,35002.36650909894,35261.470242741285,35520.573976383625,35779.67771002597,36038.78144366831,36297.88517731066,36556.988910953005,36816.09264459535,37075.19637823769,37334.30011188004,37593.40384552238,37852.507579164725,38111.61131280707,38370.71504644942,38629.81878009176,38888.922513734105,39148.026247376445,39407.12998101879,39666.23371466114,39925.337448303486,40184.44118194583,40443.54491558817,40702.64864923051,40961.75238287286,41220.856116515206,41479.95985015755,41739.0635837999,41998.16731744224,42257.271051084586,42516.374784726926,42775.47851836927,43034.58225201162,43293.68598565397,43552.78971929631,43811.89345293865,44070.99718658099,44330.10092022334
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,53236.799,36594.0011,42721.1987,62413.2012,586.801,586.801,23358.4293,23358.4293,23358.4293,23358.4293,34351.6096,33750.123566332935,34116.61354960007,34483.10353286721,34849.593516134344,35216.08349940148,35582.57348266862,35949.06346593575,36315.55344920289,36682.043432470025,37048.53341573716,37415.0233990043,37781.51338227144,38148.00336553858,38514.493348805714,38880.98333207285,39247.47331533999,39613.96329860712,39980.45328187426,40346.9432651414,40713.43324840853,41079.92323167567,41446.4132149428,41812.90319820994,42179.39318147708,42545.88316474421,42912.37314801135,43278.863131278486,43645.35311454562,44011.84309781276,44378.33308107989,44744.82306434703,45111.31304761417,45477.8030308813,45844.29301414844,46210.782997415576,46577.27298068271,46943.76296394985,47310.25294721698,47676.74293048412,48043.23291375126,48409.72289701839,48776.21288028553,49142.70286355267,49509.19284681981,49875.68283008695,50242.17281335408,50608.66279662122,50975.152779888354,51341.64276315549,51708.13274642263,52074.62272968976,52441.1127129569,52807.60269622404,53174.09267949117,53540.58266275831,53907.072646025445,54273.56262929258,54640.05261255972,55006.54259582686,55373.032579094,55739.52256236113,56106.01254562827,56472.502528895406,56838.99251216254,57205.48249542968,57571.972478696815,57938.46246196395,58304.95244523109,58671.44242849822,59037.93241176536,59404.422395032496,59770.91237829963,60137.40236156677,60503.89234483391,60870.38232810104,61236.87231136818,61603.36229463531,61969.85227790245,62336.34226116959,62702.83224443672
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9931590963819078,1.0038278827221885,1.0144966690624693,1.02516545540275,1.0358342417430308,1.0465030280833114,1.0571718144235922,1.067840600763873,1.0785093871041538,1.0891781734444346,1.0998469597847151,1.110515746124996,1.1211845324652767,1.1318533188055575,1.1425221051458383,1.1531908914861189,1.1638596778263997,1.1745284641666804,1.1851972505069612,1.195866036847242,1.2065348231875226,1.2172036095278034,1.2278723958680842,1.238541182208365,1.2492099685486455,1.2598787548889263,1.270547541229207,1.281216327569488,1.291885113909769,1.3025539002500497,1.31322268659033,1.3238914729306108,1.3345602592708916,1.3452290456111724,1.3558978319514532,1.366566618291734,1.3772354046320143,1.3879041909722951,1.398572977312576,1.409241763652857,1.4199105499931377,1.4305793363334185,1.441248122673699,1.45191690901398,1.4625856953542606,1.4732544816945414,1.4839232680348222,1.4945920543751028,1.5052608407153836,1.515929627055664,1.526598413395945,1.5372671997362255,1.5479359860765065,1.5586047724167873,1.569273558757068,1.5799423450973489,1.5906111314376297,1.6012799177779102,1.611948704118191,1.6226174904584718,1.6332862767987524,1.6439550631390332,1.654623849479314,1.6652926358195947,1.6759614221598755,1.6866302085001563,1.6972989948404371,1.7079677811807177,1.7186365675209985,1.7293053538612793,1.7399741402015598,1.7506429265418406,1.7613117128821214,1.7719804992224022,1.782649285562683,1.7933180719029638,1.8039868582432448,1.8146556445835251,1.825324430923806
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,28879.2,28378.8,27493.2,27831.6,29746.1916,33369.084,41834.7504,40356.6912,37423.2744,35977.1724,34777.1664,34168.22899870526,34539.25915654725,34910.28931438924,35281.31947223123,35652.34963007322,36023.37978791521,36394.4099457572,36765.44010359919,37136.47026144118,37507.50041928318,37878.530577125166,38249.56073496716,38620.590892809145,38991.62105065114,39362.65120849313,39733.68136633512,40104.71152417711,40475.7416820191,40846.77183986109,41217.80199770308,41588.83215554508,41959.86231338706,42330.89247122905,42701.92262907104,43072.95278691304,43443.98294475503,43815.01310259702,44186.04326043901,44557.073418281,44928.10357612299,45299.133733964976,45670.16389180697,46041.19404964896,46412.22420749095,46783.25436533295,47154.28452317494,47525.31468101693,47896.34483885892,48267.374996700906,48638.405154542896,49009.435312384885,49380.46547022688,49751.49562806887,50122.52578591086,50493.55594375285,50864.58610159485,51235.61625943684,51606.646417278826,51977.676575120815,52348.7067329628,52719.7368908048,53090.76704864678,53461.79720648878,53832.82736433077,54203.85752217276,54574.88768001476,54945.917837856745,55316.947995698734,55687.97815354072,56059.00831138271,56430.0384692247,56801.06862706669,57172.09878490868,57543.12894275068,57914.15910059267,58285.18925843466,58656.219416276654,59027.24957411864,59398.27973196063,59769.30988980262,60140.34004764461,60511.3702054866,60882.40036332859,61253.43052117058,61624.460679012576,61995.490836854566,62366.52099469656,62737.55115253855,63108.58131038054,63479.61146822253
PD22,baseline,kazakhstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9931590963819078,1.0038278827221885,1.0144966690624693,1.02516545540275,1.0358342417430308,1.0465030280833114,1.0571718144235922,1.067840600763873,1.0785093871041538,1.0891781734444346,1.0998469597847151,1.110515746124996,1.1211845324652767,1.1318533188055575,1.1425221051458383,1.1531908914861189,1.1638596778263997,1.1745284641666804,1.1851972505069612,1.195866036847242,1.2065348231875226,1.2172036095278034,1.2278723958680842,1.238541182208365,1.2492099685486455,1.2598787548889263,1.270547541229207,1.281216327569488,1.291885113909769,1.3025539002500497,1.31322268659033,1.3238914729306108,1.3345602592708916,1.3452290456111724,1.3558978319514532,1.366566618291734,1.3772354046320143,1.3879041909722951,1.398572977312576,1.409241763652857,1.4199105499931377,1.4305793363334185,1.441248122673699,1.45191690901398,1.4625856953542606,1.4732544816945414,1.4839232680348222,1.4945920543751028,1.5052608407153836,1.515929627055664,1.526598413395945,1.5372671997362255,1.5479359860765065,1.5586047724167873,1.569273558757068,1.5799423450973489,1.5906111314376297,1.6012799177779102,1.611948704118191,1.6226174904584718,1.6332862767987524,1.6439550631390332,1.654623849479314,1.6652926358195947,1.6759614221598755,1.6866302085001563,1.6972989948404371,1.7079677811807177,1.7186365675209985,1.7293053538612793,1.7399741402015598,1.7506429265418406,1.7613117128821214,1.7719804992224022,1.782649285562683,1.7933180719029638,1.8039868582432448,1.8146556445835251,1.825324430923806
