model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,madagascar,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,248.4,277.2,302.4,338.4,349.2,370.8,388.8,397.75,375.56,471.68,410.03,423.3774772691149,439.18566912286406,454.9938609766132,470.8020528303624,486.6102446841117,502.4184365378608,518.22662839161,534.0348202453592,549.8430120991084,565.6512039528575,581.4593958066067,597.267587660356,613.0757795141051,628.8839713678543,644.6921632216036,660.5003550753527,676.3085469291018,692.116738782851,707.9249306366003,723.7331224903494,739.5413143440985,755.3495061978479,771.157698051597,786.9658899053461,802.7740817590953,818.5822736128446,834.3904654665937,850.1986573203428,866.0068491740922,881.8150410278413,897.6232328815904,913.4314247353396,929.2396165890888,945.047808442838,960.8560002965872,976.6641921503364,992.4723840040856,1008.2805758578348,1024.0887677115838,1039.8969595653332,1055.7051514190823,1071.5133432728314,1087.3215351265808,1103.12972698033,1118.937918834079,1134.746110687828,1150.5543025415775,1166.3624943953266,1182.1706862490755,1197.978878102825,1213.7870699565742,1229.595261810323,1245.4034536640725,1261.2116455178218,1277.019837371571,1292.82802922532,1308.6362210790694,1324.4444129328183,1340.2526047865676,1356.0607966403168,1371.868988494066,1387.6771803478152,1403.4853722015644,1419.2935640553137,1435.1017559090628,1450.909947762812,1466.7181396165613,1482.5263314703104,1498.3345233240595,1514.142715177809,1529.950907031558,1545.7590988853071,1561.5672907390565,1577.3754825928056,1593.1836744465547,1608.991866300304,1624.800058154053,1640.6082500078023,1656.4164418615514,1672.2246337153006
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,32.4,36.0,39.6,39.6,39.6,39.6,43.2,41.87,43.2,43.21,29.51,30.4706225256971,31.608343525634027,32.74606452557095,33.88378552550788,35.021506525444806,36.15922752538174,37.29694852531866,38.43466952525559,39.57239052519252,40.71011152512945,41.84783252506637,42.9855535250033,44.12327452494023,45.26099552487716,46.39871652481408,47.53643752475101,48.67415852468794,49.81187952462487,50.9496005245618,52.08732152449872,53.22504252443565,54.36276352437258,55.50048452430951,56.63820552424643,57.77592652418336,58.913647524120286,60.05136852405721,61.18908952399414,62.32681052393107,63.464531523868,64.60225252380492,65.73997352374185,66.87769452367878,68.0154155236157,69.15313652355263,70.29085752348956,71.4285785234265,72.56629952336341,73.70402052330034,74.84174152323727,75.9794625231742,77.11718352311112,78.25490452304805,79.39262552298499,80.53034652292192,81.66806752285883,82.80578852279577,83.9435095227327,85.08123052266961,86.21895152260655,87.35667252254348,88.49439352248041,89.63211452241733,90.76983552235426,91.9075565222912,93.04527752222812,94.18299852216504,95.32071952210195,96.4584405220389,97.59616152197582,98.73388252191276,99.87160352184968,101.0093245217866,102.14704552172353,103.28476652166046,104.4224875215974,105.5602085215343,106.69792952147124,107.83565052140816,108.9733715213451,110.11109252128202,111.24881352121896,112.38653452115588,113.5242555210928,114.66197652102971,115.79969752096666,116.9374185209036,118.07513952084052,119.21286052077744,120.35058152071436
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2559.6,2484.0,2718.0,2912.4,3182.4,3369.6,2329.2000000000003,2838.672,3496.14,3203.784,2391.444,2469.291339049243,2561.4904599903875,2653.6895809315315,2745.8887018726755,2838.08782281382,2930.2869437549643,3022.4860646961083,3114.6851856372523,3206.8843065783967,3299.083427519541,3391.282548460685,3483.481669401829,3575.680790342973,3667.879911284118,3760.079032225262,3852.278153166406,3944.4772741075503,4036.676395048695,4128.875515989839,4221.074636930983,4313.273757872127,4405.472878813272,4497.671999754415,4589.87112069556,4682.070241636704,4774.269362577848,4866.468483518993,4958.667604460136,5050.866725401281,5143.065846342425,5235.264967283569,5327.464088224713,5419.663209165858,5511.862330107002,5604.061451048146,5696.26057198929,5788.459692930434,5880.658813871579,5972.857934812722,6065.057055753867,6157.256176695011,6249.455297636156,6341.6544185773,6433.853539518444,6526.052660459588,6618.251781400732,6710.450902341876,6802.65002328302,6894.849144224165,6987.048265165309,7079.247386106454,7171.446507047597,7263.645627988742,7355.844748929886,7448.043869871029,7540.242990812174,7632.442111753318,7724.641232694463,7816.840353635607,7909.039474576751,8001.238595517895,8093.43771645904,8185.636837400183,8277.835958341328,8370.035079282472,8462.234200223616,8554.43332116476,8646.632442105903,8738.83156304705,8831.030683988192,8923.229804929337,9015.42892587048,9107.628046811626,9199.82716775277,9292.026288693914,9384.22540963506,9476.424530576202,9568.623651517348,9660.82277245849,9753.021893399637
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,2559.6,2484.0,2718.0,2912.4,3182.4,3369.6,2329.2,2838.68,3496.15,3203.77,2391.43,2469.276883315073,2561.4754645037947,2653.674045692516,2745.872626881237,2838.071208069958,2930.26978925868,3022.4683704474014,3114.666951636123,3206.865532824844,3299.064114013566,3391.262695202287,3483.4612763910086,3575.6598575797298,3667.8584387684514,3760.057019957173,3852.255601145894,3944.4541823346153,4036.652763523337,4128.851344712059,4221.049925900779,4313.248507089501,4405.447088278223,4497.645669466944,4589.844250655666,4682.0428318443865,4774.241413033108,4866.43999422183,4958.63857541055,5050.837156599273,5143.035737787994,5235.234318976715,5327.432900165437,5419.631481354158,5511.83006254288,5604.028643731601,5696.227224920322,5788.425806109044,5880.624387297765,5972.822968486486,6065.021549675208,6157.220130863929,6249.418712052651,6341.617293241372,6433.815874430094,6526.014455618815,6618.213036807536,6710.4116179962575,6802.610199184979,6894.808780373701,6987.007361562422,7079.205942751143,7171.404523939865,7263.603105128586,7355.801686317308,7448.000267506029,7540.19884869475,7632.397429883472,7724.5960110721935,7816.794592260914,7908.993173449636,8001.191754638357,8093.390335827079,8185.5889170158,8277.787498204521,8369.986079393242,8462.184660581965,8554.383241770687,8646.581822959408,8738.780404148129,8830.97898533685,8923.177566525572,9015.376147714293,9107.574728903017,9199.773310091736,9291.971891280456,9384.170472469175,9476.3690536579,9568.567634846622,9660.766216035345,9752.964797224064
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1.62,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.7470787297011008,1.812311665380304,1.877544601059507,1.94277753673871,2.008010472417913,2.073243408097116,2.1384763437763192,2.203709279455522,2.268942215134725,2.334175150813928,2.399408086493131,2.464641022172334,2.529873957851537,2.5951068935307404,2.6603398292099434,2.7255727648891463,2.7908057005683493,2.8560386362475523,2.921271571926756,2.986504507605958,3.0517374432851616,3.116970378964365,3.1822033146435675,3.2474362503227705,3.312669186001973,3.377902121681177,3.4431350573603794,3.508367993039583,3.5736009287187858,3.6388338643979887,3.704066800077192,3.769299735756394,3.834532671435598,3.8997656071148006,3.964998542794004,4.030231478473207,4.09546441415241,4.160697349831613,4.225930285510816,4.291163221190019,4.356396156869222,4.421629092548425,4.486862028227629,4.552094963906831,4.6173278995860345,4.682560835265237,4.74779377094444,4.813026706623643,4.878259642302846,4.94349257798205,5.008725513661252,5.073958449340456,5.139191385019658,5.204424320698862,5.269657256378064,5.334890192057268,5.400123127736471,5.4653560634156735,5.530588999094877,5.595821934774079,5.661054870453283,5.726287806132486,5.791520741811689,5.856753677490891,5.921986613170095,5.987219548849298,6.052452484528501,6.117685420207704,6.1829183558869065,6.24815129156611,6.3133842272453125,6.378617162924516,6.443850098603719,6.509083034282922,6.574315969962125,6.639548905641328,6.704781841320531,6.770014776999735,6.835247712678937,6.9004806483581405
PD22,baseline,madagascar,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0864,0.0864,0.0864,0.0864,0.0864,0.0864,0.0864,0.0864,13.18464,27.97632,20.15712,20.813283453920008,21.590415908079567,22.36754836223913,23.14468081639869,23.92181327055825,24.69894572471781,25.476078178877373,26.25321063303693,27.03034308719649,27.80747554135605,28.58460799551561,29.36174044967517,30.138872903834734,30.91600535799429,31.693137812153857,32.47027026631342,33.24740272047298,34.02453517463254,34.8016676287921,35.57880008295166,36.35593253711122,37.13306499127079,37.91019744543034,38.6873298995899,39.46446235374947,40.241594807909024,41.01872726206858,41.79585971622815,42.57299217038771,43.35012462454726,44.127257078706826,44.90438953286639,45.681521987025945,46.45865444118551,47.23578689534507,48.01291934950463,48.79005180366419,49.56718425782376,50.34431671198331,51.12144916614288,51.89858162030244,52.67571407446199,53.45284652862156,54.22997898278112,55.00711143694068,55.78424389110024,56.5613763452598,57.33850879941936,58.11564125357892,58.89277370773848,59.66990616189804,60.4470386160576,61.22417107021716,62.00130352437672,62.77843597853629,63.55556843269584,64.3327008868554,65.10983334101496,65.88696579517452,66.66409824933409,67.44123070349364,68.21836315765322,68.99549561181277,69.77262806597233,70.54976052013188,71.32689297429145,72.10402542845101,72.88115788261058,73.65829033677014,74.43542279092969,75.21255524508925,75.9896876992488,76.76682015340837,77.54395260756795,78.3210850617275,79.09821751588706,79.87534997004661,80.65248242420617,81.42961487836574,82.2067473325253
