model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,mauritius,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,698.40005,698.40005,687.5991,662.4010000000001,655.2003500000001,637.20085,619.1992,673.4484,656.6885,656.7407000000001,513.4603999999999,530.1747892339356,549.9706103019131,569.7664313698905,589.562252437868,609.3580735058455,629.153894573823,648.9497156418004,668.7455367097779,688.5413577777554,708.3371788457328,728.1329999137103,747.9288209816877,767.7246420496651,787.5204631176427,807.3162841856201,827.1121052535976,846.9079263215751,866.7037473895525,886.49956845753,906.2953895255076,926.0912105934848,945.8870316614624,965.68285272944,985.4786737974172,1005.2744948653948,1025.0703159333725,1044.8661370013497,1064.6619580693273,1084.457779137305,1104.253600205282,1124.0494212732597,1143.845242341237,1163.6410634092144,1183.436884477192,1203.2327055451694,1223.0285266131468,1242.8243476811244,1262.620168749102,1282.4159898170792,1302.2118108850568,1322.0076319530344,1341.8034530210116,1361.5992740889892,1381.3950951569668,1401.1909162249442,1420.9867372929216,1440.7825583608992,1460.5783794288766,1480.374200496854,1500.1700215648316,1519.965842632809,1539.7616637007864,1559.557484768764,1579.3533058367414,1599.1491269047187,1618.9449479726964,1638.7407690406735,1658.5365901086511,1678.3324111766287,1698.128232244606,1717.9240533125835,1737.7198743805611,1757.5156954485385,1777.311516516516,1797.1073375844935,1816.903158652471,1836.6989797204485,1856.494800788426,1876.2906218564035,1896.086442924381,1915.8822639923585,1935.678085060336,1955.4739061283133,1975.269727196291,1995.0655482642685,2014.8613693322457,2034.657190400223,2054.4530114682007,2074.2488325361783,2094.0446536041554
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,363.6,201.6,266.40000000000003,342.0,327.6,439.2,360.0,323.28,448.2,354.96,417.6,431.1938992453781,447.2939429449261,463.3939866444741,479.4940303440221,495.5940740435701,511.6941177431181,527.7941614426661,543.8942051422141,559.9942488417621,576.0942925413101,592.1943362408581,608.294379940406,624.394423639954,640.494467339502,656.59451103905,672.694554738598,688.794598438146,704.894642137694,720.994685837242,737.0947295367899,753.1947732363379,769.2948169358858,785.3948606354338,801.4949043349818,817.5949480345298,833.6949917340778,849.7950354336258,865.8950791331738,881.9951228327218,898.0951665322698,914.1952102318178,930.2952539313658,946.3952976309138,962.4953413304618,978.5953850300098,994.6954287295578,1010.7954724291058,1026.8955161286538,1042.9955598282015,1059.0956035277495,1075.1956472272975,1091.2956909268455,1107.3957346263935,1123.4957783259415,1139.5958220254895,1155.6958657250375,1171.7959094245855,1187.8959531241337,1203.9959968236817,1220.0960405232297,1236.1960842227777,1252.2961279223257,1268.3961716218737,1284.4962153214217,1300.5962590209697,1316.6963027205177,1332.7963464200654,1348.8963901196134,1364.9964338191614,1381.0964775187094,1397.1965212182574,1413.2965649178054,1429.3966086173534,1445.4966523169014,1461.5966960164494,1477.6967397159974,1493.7967834155454,1509.8968271150934,1525.9968708146414,1542.0969145141894,1558.1969582137374,1574.2970019132854,1590.3970456128334,1606.4970893123814,1622.5971330119294,1638.6971767114774,1654.7972204110254,1670.8972641105734,1686.9973078101214,1703.0973515096691
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,363.59925,201.5993,266.40095,341.99940000000004,327.6002,439.19975,360.001,323.2798,448.20055,354.96055,417.5999000000001,431.1937959901341,447.2938358343076,463.3938756784811,479.4939155226547,495.5939553668282,511.6939952110017,527.7940350551753,543.8940748993488,559.9941147435223,576.0941545876958,592.1941944318694,608.294234276043,624.3942741202164,640.49431396439,656.5943538085635,672.6943936527371,688.7944334969106,704.8944733410841,720.9945131852576,737.0945530294312,753.1945928736047,769.2946327177783,785.3946725619518,801.4947124061252,817.5947522502988,833.6947920944724,849.794831938646,865.8948717828195,881.9949116269929,898.0949514711665,914.19499131534,930.2950311595137,946.3950710036872,962.4951108478608,978.5951506920342,994.6951905362076,1010.7952303803812,1026.895270224555,1042.9953100687285,1059.0953499129018,1075.1953897570754,1091.295429601249,1107.3954694454223,1123.4955092895962,1139.5955491337695,1155.695588977943,1171.795628822117,1187.89566866629,1203.9957085104636,1220.0957483546372,1236.1957881988108,1252.2958280429843,1268.3958678871577,1284.4959077313313,1300.5959475755049,1316.6959874196784,1332.796027263852,1348.8960671080254,1364.996106952199,1381.0961467963723,1397.196186640546,1413.2962264847197,1429.396266328893,1445.4963061730666,1461.5963460172402,1477.6963858614138,1493.7964257055874,1509.8964655497607,1525.9965053939345,1542.096545238108,1558.1965850822814,1574.296624926455,1590.3966647706284,1606.496704614802,1622.5967444589755,1638.6967843031491,1654.7968241473227,1670.896863991496,1686.9969038356696,1703.0969436798432
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,9.036,10.188,12.852,12.996,11.412,9.684,64.8,52.56,54.36,54.72,64.8,66.90939815876557,69.40768080179888,71.90596344483218,74.40424608786549,76.90252873089881,79.40081137393211,81.89909401696542,84.39737665999873,86.89565930303203,89.39394194606534,91.89222458909865,94.39050723213197,96.88878987516526,99.38707251819858,101.88535516123189,104.3836378042652,106.8819204472985,109.3802030903318,111.87848573336512,114.37676837639842,116.87505101943174,119.37333366246504,121.87161630549836,124.36989894853166,126.86818159156496,129.36646423459823,131.86474687763155,134.3630295206649,136.8613121636982,139.3595948067315,141.85787744976483,144.35616009279812,146.8544427358314,149.35272537886473,151.85100802189805,154.34929066493137,156.84757330796464,159.345855950998,161.84413859403128,164.34242123706457,166.8407038800979,169.3389865231312,171.8372691661645,174.3355518091978,176.83383445223114,179.33211709526444,181.83039973829773,184.32868238133105,186.8269650243644,189.3252476673977,191.82353031043093,194.32181295346427,196.8200955964976,199.3183782395309,201.81666088256415,204.31494352559756,206.8132261686308,209.3115088116641,211.80979145469743,214.30807409773075,216.80635674076404,219.3046393837973,221.8029220268307,224.301204669864,226.79948731289727,229.29776995593065,231.7960525989639,234.2943352419972,236.7926178850305,239.29090052806384,241.78918317109716,244.28746581413043,246.7857484571637,249.28403110019707,251.7823137432304,254.28059638626365,256.778879029297,259.2771616723303,261.7754443153636,264.2737269583969
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.864,0.864,0.864,2.592,21.6,22.464,25.92,33.8688,42.6816,111.024,125.88479999999998,129.9826574897619,134.8359879042946,139.6893183188273,144.54264873336,149.39597914789272,154.24930956242542,159.10263997695813,163.95597039149084,168.80930080602354,173.66263122055625,178.51596163508896,183.3692920496217,188.2226224641544,193.0759528786871,197.9292832932198,202.7826137077525,207.6359441222852,212.48927453681796,217.34260495135064,222.19593536588332,227.04926578041605,231.9025961949488,236.7559266094815,241.6092570240142,246.4625874385469,251.3159178530796,256.1692482676123,261.022578682145,265.87590909667773,270.72923951121044,275.58256992574314,280.43590034027585,285.28923075480856,290.14256116934126,294.995891583874,299.8492219984067,304.7025524129394,309.5558828274721,314.4092132420048,319.2625436565375,324.1158740710702,328.969204485603,333.8225349001357,338.6758653146684,343.5291957292011,348.3825261437338,353.2358565582665,358.0891869727992,362.9425173873319,367.7958478018646,372.6491782163973,377.5025086309301,382.35583904546274,387.20916945999545,392.06249987452816,396.91583028906086,401.7691607035936,406.6224911181263,411.475821532659,416.3291519471917,421.1824823617244,426.0358127762571,430.8891431907898,435.7424736053225,440.5958040198552,445.44913443438793,450.30246484892064,455.1557952634533,460.0091256779861,464.8624560925188,469.71578650705146,474.56911692158417,479.4224473361169,484.2757777506496,489.1291081651823,493.982438579715,498.8357689942477,503.6890994087804,508.5424298233131,513.3957602378458
PD22,baseline,mauritius,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.8640000000000001,0.8640000000000001,0.8640000000000001,2.5920000000000005,21.6,22.464,25.92,33.8688,42.6816,111.024,125.8848,129.9826574897619,134.8359879042946,139.6893183188273,144.54264873336,149.39597914789272,154.24930956242542,159.10263997695813,163.95597039149084,168.80930080602354,173.66263122055625,178.51596163508896,183.3692920496217,188.2226224641544,193.0759528786871,197.9292832932198,202.7826137077525,207.6359441222852,212.48927453681796,217.34260495135064,222.19593536588332,227.04926578041605,231.9025961949488,236.7559266094815,241.6092570240142,246.4625874385469,251.3159178530796,256.1692482676123,261.022578682145,265.87590909667773,270.72923951121044,275.58256992574314,280.43590034027585,285.28923075480856,290.14256116934126,294.995891583874,299.8492219984067,304.7025524129394,309.5558828274721,314.4092132420048,319.2625436565375,324.1158740710702,328.969204485603,333.8225349001357,338.6758653146684,343.5291957292011,348.3825261437338,353.2358565582665,358.0891869727992,362.9425173873319,367.7958478018646,372.6491782163973,377.5025086309301,382.35583904546274,387.20916945999545,392.06249987452816,396.91583028906086,401.7691607035936,406.6224911181263,411.475821532659,416.3291519471917,421.1824823617244,426.0358127762571,430.8891431907898,435.7424736053225,440.5958040198552,445.44913443438793,450.30246484892064,455.1557952634533,460.0091256779861,464.8624560925188,469.71578650705146,474.56911692158417,479.4224473361169,484.2757777506496,489.1291081651823,493.982438579715,498.8357689942477,503.6890994087804,508.5424298233131,513.3957602378458
