model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,morocco,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,morocco,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,9640.801,9626.3997,11570.4009,17693.9994,18709.20075,19853.9991,20352.80515,21837.5997,22046.4393,24086.3535,24374.21,25167.650026163043,26107.36709067923,27047.08415519541,27986.8012197116,28926.518284227783,29866.235348743976,30805.95241326016,31745.669477776348,32685.386542292534,33625.10360680872,34564.82067132491,35504.53773584109,36444.25480035728,37383.97186487346,38323.68892938965,39263.40599390584,40203.123058422025,41142.84012293821,42082.5571874544,43022.27425197058,43961.99131648677,44901.70838100296,45841.42544551914,46781.14251003533,47720.85957455152,48660.5766390677,49600.29370358389,50540.01076810007,51479.72783261626,52419.444897132445,53359.16196164864,54298.879026164825,55238.59609068101,56178.31315519719,57118.03021971338,58057.74728422957,58997.46434874575,59937.18141326194,60876.89847777812,61816.61554229431,62756.332606810494,63696.04967132669,64635.76673584287,65575.48380035906,66515.20086487525,67454.91792939143,68394.63499390762,69334.3520584238,70274.06912293998,71213.78618745618,72153.50325197236,73093.22031648856,74032.93738100474,74972.65444552092,75912.3715100371,76852.08857455329,77791.80563906948,78731.52270358567,79671.23976810186,80610.95683261805,81550.67389713423,82490.39096165041,83430.10802616659,84369.82509068277,85309.54215519897,86249.25921971517,87188.97628423135,88128.69334874753,89068.41041326371,90008.1274777799,90947.8445422961,91887.56160681228,92827.27867132846,93766.99573584466,94706.71280036084,95646.42986487702,96586.1469293932,97525.8639939094,98465.58105842558,99405.29812294176
PD22,baseline,morocco,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1717.2,1674.0,1713.6,147.6,154.8,180.0,180.0,214.92,151.78,146.61,137.18,141.64554381820156,146.93434648751187,152.22314915682222,157.51195182613253,162.80075449544285,168.0895571647532,173.3783598340635,178.66716250337385,183.95596517268416,189.24476784199447,194.5335705113048,199.82237318061516,205.11117584992547,210.3999785192358,215.6887811885461,220.9775838578564,226.2663865271668,231.5551891964771,236.84399186578744,242.13279453509773,247.42159720440804,252.7103998737184,257.9992025430287,263.28800521233904,268.57680788164936,273.8656105509597,279.15441322027004,284.4432158895803,289.7320185588907,295.020821228201,300.3096238975113,305.5984265668217,310.887229236132,316.1760319054423,321.4648345747526,326.75363724406293,332.0424399133733,337.3312425826836,342.620045251994,347.90884792130424,353.19765059061456,358.4864532599249,363.7752559292352,369.0640585985456,374.3528612678558,379.6416639371662,384.9304666064765,390.2192692757868,395.5080719450972,400.7968746144074,406.0856772837178,411.3744799530282,416.6632826223384,421.9520852916488,427.2408879609591,432.52969063026944,437.8184932995797,443.10729596889007,448.3960986382005,453.6849013075107,458.973703976821,464.2625066461313,469.5513093154417,474.84011198475207,480.1289146540623,485.4177173233727,490.70651999268296,495.9953226619933,501.2841253313037,506.572928000614,511.8617306699243,517.1505333392346,522.439336008545,527.7281386778553,533.0169413471656,538.305744016476,543.5945466857862,548.8833493550966,554.172152024407,559.4609546937172
PD22,baseline,morocco,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,198.0,172.8,226.8,248.4,442.8,97.2,439.2,467.28,364.23,490.62,557.17,575.3072433969045,596.7882332150969,618.2692230332893,639.7502128514817,661.2312026696741,682.7121924878664,704.1931823060589,725.6741721242513,747.1551619424437,768.636151760636,790.1171415788285,811.5981313970209,833.0791212152133,854.5601110334057,876.0411008515981,897.5220906697905,919.003080487983,940.4840703061752,961.9650601243676,983.4460499425602,1004.9270397607525,1026.408029578945,1047.8890193971374,1069.3700092153297,1090.8509990335222,1112.3319888517144,1133.812978669907,1155.2939684880994,1176.774958306292,1198.255948124484,1219.7369379426764,1241.2179277608689,1262.6989175790611,1284.1799073972538,1305.6608972154463,1327.1418870336386,1348.6228768518308,1370.1038666700233,1391.5848564882158,1413.0658463064085,1434.5468361246003,1456.027825942793,1477.5088157609853,1498.9898055791778,1520.4707953973702,1541.9517852155627,1563.432775033755,1584.9137648519472,1606.3947546701395,1627.8757444883322,1649.356734306525,1670.8377241247172,1692.3187139429092,1713.7997037611017,1735.2806935792942,1756.7616833974866,1778.2426732156791,1799.7236630338716,1821.204652852064,1842.685642670256,1864.1666324884488,1885.647622306641,1907.1286121248336,1928.6096019430256,1950.090591761218,1971.5715815794103,1993.052571397603,2014.5335612157955,2036.014551033988,2057.49554085218,2078.9765306703725,2100.457520488565,2121.938510306757,2143.41950012495,2164.900489943142,2186.3814797613345,2207.862469579527,2229.3434593977195,2250.824449215912,2272.3054390341044
PD22,baseline,morocco,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,morocco,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,morocco,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,12484.8,7221.6,5871.6,10026.0,5893.2,6786.0,4518.0,4264.92,6096.3894,4546.0098,3123.504,3225.181678803964,3345.6044539373765,3466.0272290707885,3586.450004204201,3706.872779337613,3827.295554471025,3947.718329604437,4068.1411047378497,4188.563879871262,4308.986655004674,4429.409430138087,4549.832205271498,4670.25498040491,4790.677755538323,4911.100530671735,5031.523305805147,5151.946080938559,5272.368856071971,5392.791631205384,5513.214406338796,5633.637181472208,5754.059956605621,5874.482731739033,5994.905506872445,6115.328282005858,6235.751057139269,6356.1738322726815,6476.596607406093,6597.019382539505,6717.442157672918,6837.86493280633,6958.287707939742,7078.710483073155,7199.133258206567,7319.556033339979,7439.978808473391,7560.401583606804,7680.824358740216,7801.247133873628,7921.66990900704,8042.092684140453,8162.515459273864,8282.938234407276,8403.361009540688,8523.783784674102,8644.206559807513,8764.629334940924,8885.052110074337,9005.47488520775,9125.89766034116,9246.320435474574,9366.743210607989,9487.165985741398,9607.58876087481,9728.011536008224,9848.434311141636,9968.857086275048,10089.27986140846,10209.702636541871,10330.125411675284,10450.548186808695,10570.970961942108,10691.39373707552,10811.816512208934,10932.239287342343,11052.662062475756,11173.08483760917,11293.507612742582,11413.930387875993,11534.353163009408,11654.77593814282,11775.19871327623,11895.621488409644,12016.044263543055,12136.467038676466,12256.889813809878,12377.312588943292,12497.735364076703,12618.158139210114,12738.580914343527
PD22,baseline,morocco,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,12484.7995,7221.601000000001,5871.6009,10026.0001,5893.20075,6785.999449999999,4518.0005,4264.92075,6096.39765,4546.0103500000005,3123.5,3225.177548594201,3345.600169512635,3466.022790431069,3586.445411349503,3706.8680322679375,3827.2906531863714,3947.713274104805,4068.1358950232393,4188.558515941673,4308.981136860108,4429.403757778542,4549.826378696976,4670.248999615409,4790.671620533843,4911.094241452278,5031.516862370712,5151.939483289146,5272.362104207579,5392.784725126014,5513.207346044448,5633.6299669628825,5754.052587881316,5874.475208799749,5994.897829718184,6115.320450636618,6235.743071555053,6356.165692473486,6476.58831339192,6597.010934310354,6717.4335552287885,6837.856176147223,6958.278797065656,7078.70141798409,7199.124038902524,7319.546659820959,7439.969280739393,7560.391901657826,7680.81452257626,7801.2371434946945,7921.659764413129,8042.082385331563,8162.505006249996,8282.92762716843,8403.350248086865,8523.772869005299,8644.195489923733,8764.618110842166,8885.0407317606,9005.463352679035,9125.88597359747,9246.308594515904,9366.731215434336,9487.15383635277,9607.576457271203,9727.99907818964,9848.421699108074,9968.844320026506,10089.26694094494,10209.689561863375,10330.11218278181,10450.534803700244,10570.957424618677,10691.380045537113,10811.802666455544,10932.22528737398,11052.647908292414,11173.070529210849,11293.49315012928,11413.915771047716,11534.33839196615,11654.761012884584,11775.18363380302,11895.606254721451,12016.028875639886,12136.45149655832,12256.874117476757,12377.29673839519,12497.719359313622,12618.141980232056,12738.56460115049
PD22,baseline,morocco,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,morocco,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2371.68,2546.424,2675.664,4937.184,6980.184,9124.704,10854.864,10980.504,13881.564,16971.948,16585.668,17125.571974399645,17765.011580688424,18404.451186977207,19043.890793265982,19683.33039955477,20322.770005843548,20962.209612132327,21601.64921842111,22241.08882470989,22880.52843099867,23519.96803728745,24159.407643576236,24798.84724986501,25438.28685615379,26077.726462442573,26717.166068731352,27356.60567502013,27996.045281308918,28635.484887597697,29274.924493886472,29914.36410017525,30553.80370646404,31193.243312752817,31832.6829190416,32472.12252533038,33111.562131619154,33751.001737907936,34390.44134419672,35029.8809504855,35669.320556774284,36308.76016306306,36948.19976935184,37587.63937564062,38227.0789819294,38866.51858821818,39505.958194506966,40145.39780079575,40784.83740708453,41424.2770133733,42063.71661966208,42703.15622595087,43342.59583223965,43982.03543852843,44621.475044817205,45260.91465110599,45900.35425739476,46539.793863683546,47179.23346997233,47818.67307626111,48458.11268254989,49097.55228883867,49736.99189512745,50376.43150141624,51015.87110770501,51655.31071399379,52294.750320282576,52934.18992657135,53573.62953286013,54213.06913914892,54852.50874543769,55491.94835172648,56131.38795801526,56770.82756430404,57410.267170592815,58049.7067768816,58689.14638317038,59328.58598945916,59968.02559574794,60607.46520203672,61246.904808325504,61886.34441461428,62525.78402090306,63165.223627191845,63804.66323348062,64444.1028397694,65083.542446058185,65722.98205234695,66362.42165863575,67001.86126492452,67641.3008712133
