scenario,sector,product_category,product_long,flow_category,flow_long,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
baseline,Electric Power,Electricity and Heat,Electricity,Energy industry own use and Losses,Losses,183.5998,244.799,280.80015000000003,341.99940000000004,309.60065,446.4004,471.6006,466.5714,548.36805,610.3897,630.2593745263806,651.9869071060905,673.7144396858002,695.44197226551,717.1695048452199,738.8970374249297,760.6245700046395,782.3521025843493,804.0796351640591,825.807167743769,847.5347003234788,869.2622329031885,890.9897654828984,912.7172980626084,934.444830642318,956.1723632220278,977.8998958017376,999.6274283814475,1021.3549609611572,1043.082493540867,1064.8100261205768,1086.5375587002868,1108.2650912799966,1129.9926238597063,1151.7201564394163,1173.4476890191258,1195.1752215988358,1216.9027541785458,1238.6302867582554,1260.357819337965,1282.085351917675
baseline,Electric Power,Electricity and Heat,Electricity,Transformation processes,Autoproducer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Electricity,Transformation processes,Main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Hydro,Electricity output,Electricity output -main activity producer electricity plants,403.2,536.4,651.6,529.2,734.4,1015.2,1087.2,1004.3244000000002,1116.4014,1239.1488,1279.4861178573542,1323.595063213261,1367.704008569168,1411.812953925075,1455.9218992809815,1500.030844636888,1544.139789992795,1588.2487353487018,1632.3576807046086,1676.4666260605154,1720.5755714164222,1764.684516772329,1808.793462128236,1852.9024074841427,1897.0113528400493,1941.120298195956,1985.229243551863,2029.3381889077696,2073.4471342636766,2117.556079619583,2161.6650249754903,2205.773970331397,2249.8829156873035,2293.9918610432105,2338.1008063991176,2382.209751755024,2426.3186971109308,2470.427642466838,2514.5365878227444,2558.645533178651,2602.754478534558
baseline,Electric Power,Electricity and Heat,Hydro,Transformation processes,Main activity producer electricity plants,403.2007,536.4001499999999,651.60005,529.1995,734.3991,1015.19925,1087.19945,1004.3206,1116.408,1239.1410500000002,1279.478115575939,1323.5867850615657,1367.6954545471924,1411.8041240328191,1455.912793518446,1500.0214630040728,1544.1301324896997,1588.2388019753262,1632.347471460953,1676.4561409465798,1720.5648104322063,1764.6734799178334,1808.78214940346,1852.8908188890869,1896.9994883747136,1941.1081578603405,1985.216827345967,2029.3254968315937,2073.434166317221,2117.5428358028475,2161.6515052884743,2205.760174774101,2249.868844259728,2293.9775137453544,2338.086183230981,2382.194852716608,2426.3035222022345,2470.412191687861,2514.520861173488,2558.6295306591146,2602.7382001447418
baseline,Electric Power,Electricity and Heat,Utility solar photovoltaics,Electricity output,Electricity output -main activity producer electricity plants,0.0,0.0,0.0,0.0,10.8,32.4,45.36,33.5664,34.6032,34.6032,35.72961861678081,36.96135983941648,38.193101062052136,39.424842284687806,40.65658350732347,41.88832472995913,43.12006595259479,44.351807175230455,45.58354839786613,46.81528962050179,48.04703084313745,49.27877206577311,50.51051328840877,51.74225451104444,52.9739957336801,54.20573695631577,55.43747817895143,56.66921940158709,57.90096062422276,59.13270184685842,60.36444306949409,61.59618429212975,62.82792551476541,64.05966673740107,65.29140796003674,66.5231491826724,67.75489040530806,68.98663162794372,70.21837285057939,71.45011407321505,72.68185529585072
baseline,Electric Power,Electricity and Heat,Utility solar photovoltaics,Transformation processes,Main activity producer electricity plants,0.0,0.0,0.0,0.0,10.8,32.4,45.35999999999999,33.576,34.59,34.59,35.715988924563284,36.94726027781869,38.1785316310741,39.40980298432951,40.64107433758492,41.872345690840326,43.103617044095735,44.33488839735114,45.56615975060655,46.79743110386196,48.02870245711737,49.25997381037278,50.49124516362819,51.7225165168836,52.95378787013901,54.18505922339442,55.41633057664983,56.64760192990524,57.87887328316064,59.11014463641605,60.34141598967146,61.57268734292687,62.80395869618228,64.03523004943769,65.2665014026931,66.4977727559485,67.72904410920391,68.96031546245932,70.19158681571473,71.42285816897014,72.65412952222555
baseline,Electric Power,Electricity and Heat,Offshore wind energy,Electricity output,Electricity output -autoproducer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Offshore wind energy,Electricity output,Electricity output -main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Onshore wind energy,Electricity output,Electricity output -autoproducer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
