model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,myanmar,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,8326.79995,9748.80025,9756.0009,9485.99965,10443.6,9262.8005,8586.0003,10376.1708,10998.29275,12257.27995,12886.3,13429.740429758838,13887.322724857284,14344.905019955728,14802.487315054172,15260.06961015262,15717.651905251065,16175.234200349509,16632.816495447954,17090.3987905464,17547.981085644846,18005.56338074329,18463.145675841733,18920.727970940177,19378.310266038625,19835.89256113707,20293.47485623552,20751.05715133396,21208.639446432404,21666.221741530848,22123.80403662929,22581.38633172774,23038.968626826187,23496.55092192463,23954.133217023074,24411.71551212152,24869.29780721996,25326.88010231841,25784.462397416857,26242.0446925153,26699.626987613745,27157.20928271219,27614.791577810636,28072.37387290908,28529.956168007528,28987.53846310597,29445.12075820441,29902.70305330286,30360.285348401303,30817.867643499747,31275.4499385982,31733.03223369664,32190.61452879509,32648.19682389353,33105.77911899197,33563.36141409042,34020.94370918887,34478.52600428731,34936.10829938576,35393.6905944842,35851.272889582644,36308.85518468109,36766.43747977954,37224.01977487798,37681.60206997643,38139.18436507487,38596.766660173314,39054.34895527176,39511.93125037021,39969.51354546865,40427.0958405671,40884.67813566554,41342.26043076399,41799.84272586243,42257.42502096088,42715.00731605933,43172.58961115777,43630.17190625621,44087.754201354655,44545.3364964531,45002.91879155155,45460.50108665,45918.08338174844,46375.66567684688,46833.247971945326,47290.83026704377,47748.41256214221,48205.99485724066,48663.57715233911,49121.15944743755,49578.741742536
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,457.2,457.2,457.2,457.2,457.2,457.2,457.2,493.26,506.57,660.78,694.69,723.98643358832,748.6543246495197,773.3222157107195,797.9901067719193,822.6579978331191,847.3258888943188,871.9937799555187,896.6616710167184,921.329562077918,945.997453139118,970.6653442003178,995.3332352615176,1020.0011263227173,1044.669017383917,1069.336908445117,1094.0047995063169,1118.6726905675164,1143.340581628716,1168.0084726899158,1192.6763637511158,1217.3442548123155,1242.0121458735152,1266.6800369347152,1291.3479279959147,1316.0158190571146,1340.6837101183144,1365.351601179514,1390.019492240714,1414.6873833019135,1439.3552743631135,1464.0231654243132,1488.691056485513,1513.358947546713,1538.0268386079124,1562.6947296691123,1587.362620730312,1612.0305117915118,1636.6984028527118,1661.3662939139117,1686.0341849751112,1710.7020760363112,1735.3699670975109,1760.0378581587106,1784.70574921991,1809.37364028111,1834.04153134231,1858.7094224035093,1883.3773134647092,1908.045204525909,1932.713095587109,1957.3809866483089,1982.0488777095084,2006.7167687707083,2031.3846598319085,2056.052550893108,2080.720441954308,2105.388333015507,2130.056224076707,2154.724115137907,2179.3920061991066,2204.0598972603066,2228.727788321506,2253.395679382706,2278.063570443906,2302.731461505105,2327.3993525663054,2352.067243627505,2376.735134688705,2401.403025749905,2426.0709168111043,2450.7388078723043,2475.406698933504,2500.074589994704,2524.742481055904,2549.410372117103,2574.078263178303,2598.746154239503,2623.4140453007026,2648.0819363619025,2672.749827423102
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,22280.4,27064.8,27957.6,31762.8,31784.4,33836.4,35078.4,39333.96,44154.612,37864.62,37864.62,39461.44495095219,40805.98758325397,42150.53021555575,43495.07284785754,44839.61548015932,46184.158112461104,47528.700744762886,48873.24337706468,50217.78600936646,51562.32864166824,52906.87127397002,54251.4139062718,55595.95653857359,56940.49917087537,58285.04180317716,59629.584435478944,60974.12706778072,62318.66970008251,63663.21233238429,65007.75496468607,66352.29759698786,67696.84022928964,69041.38286159142,70385.92549389321,71730.46812619499,73075.01075849676,74419.55339079857,75764.09602310034,77108.63865540212,78453.1812877039,79797.7239200057,81142.26655230747,82486.80918460926,83831.35181691105,85175.89444921282,86520.43708151461,87864.9797138164,89209.52234611817,90554.06497841996,91898.60761072177,93243.15024302353,94587.6928753253,95932.23550762708,97276.77813992888,98621.32077223064,99965.86340453244,101310.40603683425,102654.948669136,103999.49130143778,105344.0339337396,106688.57656604136,108033.11919834312,109377.66183064494,110722.20446294671,112066.74709524847,113411.28972755028,114755.83235985208,116100.37499215384,117444.9176244556,118789.46025675742,120134.0028890592,121478.54552136095,122823.08815366276,124167.63078596456,125512.17341826632,126856.71605056812,128201.2586828699,129545.80131517167,130890.34394747343,132234.88657977525,133579.42921207703,134923.9718443788,136268.5144766806,137613.05710898238,138957.59974128415,140302.14237358596,141646.68500588773,142991.2276381895,144335.7702704913,145680.31290279308
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,22280.39975,27064.7991,27957.5999,31762.79905,31784.401,33836.3994,35078.400200000004,39333.9601,44154.6112,37864.61975,37864.62,39461.44495095219,40805.98758325397,42150.53021555575,43495.07284785754,44839.61548015932,46184.158112461104,47528.700744762886,48873.24337706468,50217.78600936646,51562.32864166824,52906.87127397002,54251.4139062718,55595.95653857359,56940.49917087537,58285.04180317716,59629.584435478944,60974.12706778072,62318.66970008251,63663.21233238429,65007.75496468607,66352.29759698786,67696.84022928964,69041.38286159142,70385.92549389321,71730.46812619499,73075.01075849676,74419.55339079857,75764.09602310034,77108.63865540212,78453.1812877039,79797.7239200057,81142.26655230747,82486.80918460926,83831.35181691105,85175.89444921282,86520.43708151461,87864.9797138164,89209.52234611817,90554.06497841996,91898.60761072177,93243.15024302353,94587.6928753253,95932.23550762708,97276.77813992888,98621.32077223064,99965.86340453244,101310.40603683425,102654.948669136,103999.49130143778,105344.0339337396,106688.57656604136,108033.11919834312,109377.66183064494,110722.20446294671,112066.74709524847,113411.28972755028,114755.83235985208,116100.37499215384,117444.9176244556,118789.46025675742,120134.0028890592,121478.54552136095,122823.08815366276,124167.63078596456,125512.17341826632,126856.71605056812,128201.2586828699,129545.80131517167,130890.34394747343,132234.88657977525,133579.42921207703,134923.9718443788,136268.5144766806,137613.05710898238,138957.59974128415,140302.14237358596,141646.68500588773,142991.2276381895,144335.7702704913,145680.31290279308
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.036,0.072,0.072,0.072,0.072,0.072,0.0750363805702673,0.0775930434794878,0.0801497063887083,0.0827063692979288,0.0852630322071493,0.0878196951163698,0.0903763580255903,0.0929330209348108,0.0954896838440313,0.0980463467532518,0.1006030096624723,0.1031596725716928,0.1057163354809132,0.1082729983901337,0.1108296612993542,0.1133863242085747,0.1159429871177952,0.1184996500270157,0.1210563129362362,0.1236129758454567,0.1261696387546772,0.1287263016638977,0.1312829645731182,0.1338396274823387,0.1363962903915592,0.1389529533007797,0.1415096162100002,0.1440662791192207,0.1466229420284411,0.1491796049376617,0.1517362678468821,0.1542929307561026,0.1568495936653231,0.1594062565745436,0.1619629194837641,0.1645195823929846,0.1670762453022051,0.1696329082114256,0.1721895711206461,0.1747462340298666,0.1773028969390871,0.1798595598483076,0.182416222757528,0.1849728856667485,0.187529548575969,0.1900862114851895,0.19264287439441,0.1951995373036305,0.197756200212851,0.2003128631220715,0.202869526031292,0.2054261889405125,0.207982851849733,0.2105395147589535,0.213096177668174,0.2156528405773945,0.218209503486615,0.2207661663958355,0.2233228293050559,0.2258794922142764,0.2284361551234969,0.2309928180327174,0.2335494809419379,0.2361061438511584,0.2386628067603789,0.2412194696695994,0.2437761325788199,0.2463327954880404,0.2488894583972609,0.2514461213064813,0.2540027842157019,0.2565594471249224,0.2591161100341428,0.2616727729433633,0.2642294358525838,0.2667860987618043,0.2693427616710249,0.2718994245802453,0.2744560874894658,0.2770127503986863
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.864,0.864,0.864,0.864,1.728,6.048000000000001,9.504,8.182080000000001,8.881920000000001,39.04416,35.83008,37.341104426987854,38.61340215713234,39.88569988727683,41.15799761742132,42.4302953475658,43.70259307771028,44.97489080785477,46.24718853799926,47.519486268143744,48.79178399828823,50.06408172843272,51.3363794585772,52.608677188721686,53.88097491886617,55.15327264901066,56.42557037915515,57.697868109299634,58.97016583944412,60.24246356958861,61.514761299733095,62.78705902987758,64.05935676002207,65.33165449016656,66.60395222031104,67.87624995045553,69.14854768060002,70.4208454107445,71.69314314088899,72.96544087103346,74.23773860117795,75.51003633132244,76.78233406146693,78.05463179161141,79.3269295217559,80.59922725190039,81.87152498204487,83.14382271218936,84.41612044233383,85.68841817247832,86.96071590262281,88.2330136327673,89.50531136291178,90.77760909305628,92.04990682320076,93.32220455334524,94.59450228348972,95.86680001363422,97.1390977437787,98.4113954739232,99.68369320406768,100.95599093421217,102.22828866435664,103.50058639450114,104.77288412464564,106.04518185479012,107.3174795849346,108.58977731507908,109.86207504522356,111.13437277536804,112.40667050551254,113.67896823565702,114.95126596580153,116.223563695946,117.49586142609049,118.76815915623496,120.04045688637946,121.31275461652396,122.58505234666843,123.85735007681292,125.1296478069574,126.4019455371019,127.67424326724638,128.94654099739083,130.21883872753534,131.49113645767983,132.76343418782432,134.0357319179688,135.3080296481133,136.58032737825778,137.85262510840226
PD22,baseline,myanmar,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,1.7280000000000002,6.048,9.504,8.181600000000001,8.8848,39.0408,35.832,37.34310539713639,38.61547130495845,39.88783721278052,41.16020312060258,42.432569028424645,43.70493493624672,44.97730084406878,46.24966675189084,47.522032659712906,48.79439856753497,50.06676447535703,51.339130383179096,52.61149629100116,53.88386219882322,55.15622810664529,56.42859401446735,57.70095992228941,58.97332583011148,60.24569173793354,61.51805764575561,62.79042355357768,64.06278946139975,65.33515536922181,66.60752127704387,67.87988718486594,69.152253092688,70.42461900051006,71.69698490833213,72.96935081615419,74.24171672397625,75.51408263179832,76.78644853962038,78.05881444744244,79.33118035526451,80.60354626308657,81.87591217090863,83.1482780787307,84.42064398655276,85.69300989437482,86.96537580219689,88.23774171001895,89.51010761784102,90.78247352566308,92.05483943348514,93.3272053413072,94.59957124912928,95.87193715695132,97.1443030647734,98.41666897259546,99.68903488041754,100.9614007882396,102.23376669606164,103.50613260388371,104.77849851170578,106.05086441952788,107.32323032734992,108.595596235172,109.86796214299406,111.14032805081612,112.4126939586382,113.68505986646024,114.95742577428231,116.22979168210438,117.50215758992644,118.7745234977485,120.04688940557055,121.31925531339265,122.5916212212147,123.86398712903676,125.13635303685882,126.40871894468088,127.68108485250296,128.953450760325,130.22581666814708,131.49818257596914,132.7705484837912,134.04291439161327,135.31528029943533,136.5876462072574,137.86001211507946
