model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,namibia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,1188.0001499999998,1299.59975,1540.8004999999998,1335.6009,1965.59895,1223.9992,1792.8000000000002,1612.97485,1217.295,980.35455,1108.94,1145.0387036139118,1187.792493030044,1230.5462824461758,1273.300071862308,1316.05386127844,1358.807650694572,1401.561440110704,1444.315229526836,1487.069018942968,1529.8228083591,1572.576597775232,1615.330387191364,1658.084176607496,1700.837966023628,1743.5917554397602,1786.345544855892,1829.099334272024,1871.853123688156,1914.606913104288,1957.36070252042,2000.114491936552,2042.868281352684,2085.622070768816,2128.375860184948,2171.12964960108,2213.8834390172124,2256.6372284333443,2299.391017849476,2342.1448072656085,2384.89859668174,2427.6523860978723,2470.406175514004,2513.159964930136,2555.9137543462684,2598.6675437624003,2641.421333178532,2684.175122594665,2726.9289120107965,2769.6827014269284,2812.4364908430607,2855.190280259192,2897.9440696753245,2940.6978590914564,2983.4516485075883,3026.2054379237206,3068.9592273398525,3111.7130167559844,3154.466806172117,3197.2205955882487,3239.974385004381,3282.7281744205125,3325.481963836645,3368.2357532527767,3410.9895426689086,3453.7433320850405,3496.497121501173,3539.2509109173047,3582.0047003334366,3624.758489749569,3667.512279165701,3710.2660685818328,3753.0198579979647,3795.773647414097,3838.527436830229,3881.281226246361,3924.0350156624927,3966.788805078625,4009.542594494757,4052.296383910889,4095.0501733270207,4137.8039627431535,4180.557752159285,4223.311541575416,4266.065330991549,4308.819120407681,4351.5729098238135,4394.326699239945,4437.080488656076,4479.834278072209,4522.588067488341
PD22,baseline,namibia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,namibia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,4489.2,5054.400000000001,5785.2,4579.2,5346.0,5407.2,4892.400000000001,5734.8,4118.400000000001,3434.4,5418.0,5594.369123830121,5803.253311483739,6012.137499137358,6221.021686790976,6429.905874444594,6638.790062098213,6847.674249751831,7056.558437405449,7265.442625059067,7474.326812712685,7683.211000366304,7892.095188019922,8100.97937567354,8309.863563327159,8518.747750980776,8727.631938634395,8936.516126288014,9145.40031394163,9354.28450159525,9563.168689248869,9772.052876902486,9980.937064556105,10189.821252209724,10398.70543986334,10607.58962751696,10816.47381517058,11025.358002824196,11234.242190477817,11443.126378131434,11652.01056578505,11860.894753438668,12069.778941092289,12278.663128745906,12487.547316399525,12696.431504053144,12905.31569170676,13114.199879360378,13323.084067013997,13531.968254667616,13740.852442321231,13949.736629974854,14158.62081762847,14367.505005282088,14576.389192935709,14785.273380589326,14994.157568242945,15203.04175589656,15411.92594355018,15620.810131203798,15829.694318857417,16038.578506511036,16247.462694164651,16456.34688181827,16665.23106947189,16874.115257125508,17082.999444779125,17291.883632432746,17500.767820086363,17709.65200773998,17918.5361953936,18127.420383047214,18336.304570700835,18545.188758354456,18754.072946008077,18962.95713366169,19171.84132131531,19380.725508968928,19589.609696622545,19798.49388427617,20007.378071929783,20216.2622595834,20425.146447237017,20634.03063489064,20842.91482254425,21051.799010197872,21260.683197851493,21469.56738550511,21678.451573158727,21887.335760812348,22096.219948465965
PD22,baseline,namibia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,4489.2,5054.40065,5785.1994,4579.19975,5345.99965,5407.201,4892.4007,5734.79905,4118.4001,3434.39925,5418.0,5594.369123830121,5803.253311483739,6012.137499137358,6221.021686790976,6429.905874444594,6638.790062098213,6847.674249751831,7056.558437405449,7265.442625059067,7474.326812712685,7683.211000366304,7892.095188019922,8100.97937567354,8309.863563327159,8518.747750980776,8727.631938634395,8936.516126288014,9145.40031394163,9354.28450159525,9563.168689248869,9772.052876902486,9980.937064556105,10189.821252209724,10398.70543986334,10607.58962751696,10816.47381517058,11025.358002824196,11234.242190477817,11443.126378131434,11652.01056578505,11860.894753438668,12069.778941092289,12278.663128745906,12487.547316399525,12696.431504053144,12905.31569170676,13114.199879360378,13323.084067013997,13531.968254667616,13740.852442321231,13949.736629974854,14158.62081762847,14367.505005282088,14576.389192935709,14785.273380589326,14994.157568242945,15203.04175589656,15411.92594355018,15620.810131203798,15829.694318857417,16038.578506511036,16247.462694164651,16456.34688181827,16665.23106947189,16874.115257125508,17082.999444779125,17291.883632432746,17500.767820086363,17709.65200773998,17918.5361953936,18127.420383047214,18336.304570700835,18545.188758354456,18754.072946008077,18962.95713366169,19171.84132131531,19380.725508968928,19589.609696622545,19798.49388427617,20007.378071929783,20216.2622595834,20425.146447237017,20634.03063489064,20842.91482254425,21051.799010197872,21260.683197851493,21469.56738550511,21678.451573158727,21887.335760812348,22096.219948465965
PD22,baseline,namibia,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,namibia,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2.052,2.052,2.088,2.088,2.088,2.088,2.088,77.868,77.868,77.868,77.868,80.40279345411662,83.40489643016164,86.40699940620667,89.40910238225169,92.41120535829673,95.41330833434174,98.41541131038676,101.41751428643178,104.4196172624768,107.42172023852184,110.42382321456684,113.42592619061188,116.42802916665688,119.43013214270192,122.43223511874692,125.43433809479195,128.43644107083696,131.438544046882,134.440647022927,137.44274999897203,140.44485297501706,143.44695595106208,146.4490589271071,149.45116190315213,152.45326487919715,155.45536785524217,158.4574708312872,161.45957380733222,164.46167678337724,167.46377975942227,170.4658827354673,173.4679857115123,176.47008868755734,179.47219166360236,182.47429463964735,185.4763976156924,188.47850059173743,191.48060356778245,194.48270654382748,197.4848095198725,200.48691249591752,203.48901547196252,206.4911184480076,209.4932214240526,212.4953244000976,215.49742737614264,218.4995303521877,221.50163332823269,224.50373630427768,227.5058392803227,230.50794225636773,233.51004523241275,236.51214820845777,239.5142511845028,242.51635416054785,245.51845713659284,248.52056011263787,251.5226630886829,254.5247660647279,257.5268690407729,260.528972016818,263.5310749928629,266.53317796890803,269.535280944953,272.5373839209981,275.53948689704305,278.5415898730881,281.5436928491331,284.5457958251782,287.54789880122314,290.5500017772682,293.5521047533132,296.55420772935827,299.55631070540323,302.5584136814483,305.5605166574933,308.5626196335384,311.5647226095833,314.5668255856284,317.5689285616734
PD22,baseline,namibia,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,6.048000000000001,6.912,12.096000000000002,19.008000000000003,25.056,33.696,49.248,93.52800000000002,201.16512000000003,300.61152000000004,318.95424,329.336978990532,341.6338592638943,353.93073953725667,366.227619810619,378.5245000839813,390.8213803573436,403.118260630706,415.4151409040683,427.7120211774306,440.008901450793,452.30578172415534,464.60266199751766,476.89954227088,489.1964225442424,501.4933028176047,513.790183090967,526.0870633643294,538.3839436376917,550.6808239110541,562.9777041844163,575.2745844577787,587.5714647311411,599.8683450045035,612.1652252778657,624.4621055512281,636.7589858245904,649.0558660979527,661.3527463713151,673.6496266446775,685.9465069180397,698.243387191402,710.5402674647644,722.8371477381268,735.1340280114891,747.4309082848515,759.7277885582138,772.024668831576,784.3215491049384,796.6184293783008,808.9153096516632,821.2121899250254,833.5090701983878,845.8059504717502,858.1028307451124,870.3997110184748,882.6965912918372,894.9934715651995,907.2903518385618,919.5872321119242,931.8841123852864,944.1809926586488,956.4778729320112,968.7747532053736,981.071633478736,993.368513752098,1005.6653940254604,1017.9622742988228,1030.2591545721853,1042.5560348455474,1054.85291511891,1067.1497953922722,1079.4466756656343,1091.743555938997,1104.040436212359,1116.3373164857217,1128.6341967590838,1140.9310770324462,1153.2279573058086,1165.524837579171,1177.8217178525333,1190.1185981258957,1202.415478399258,1214.7123586726202,1227.0092389459826,1239.306119219345,1251.602999492707,1263.8998797660695,1276.196760039432,1288.4936403127942,1300.7905205861566
PD22,baseline,namibia,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,6.048,6.912000000000001,12.096,19.008000000000003,25.056,33.696,49.248,93.5232,201.1608,300.6144,318.9504,329.3330139891596,341.62974621614313,353.9264784431266,366.2232106701101,378.5199428970936,390.8166751240771,403.1134073510606,415.4101395780441,427.7068718050276,440.0036040320111,452.3003362589946,464.59706848597807,476.8938007129616,489.1905329399451,501.48726516692864,513.7839973939122,526.0807296208956,538.3774618478791,550.6741940748626,562.9709263018461,575.2676585288295,587.5643907558131,599.8611229827966,612.1578552097801,624.4545874367636,636.7513196637472,649.0480518907306,661.3447841177141,673.6415163446976,685.938248571681,698.2349807986645,710.5317130256481,722.8284452526316,735.1251774796151,747.4219097065986,759.7186419335821,772.0153741605656,784.3121063875491,796.6088386145326,808.905570841516,821.2023030684995,833.499035295483,845.7957675224666,858.0924997494501,870.3892319764336,882.6859642034171,894.9826964304007,907.279428657384,919.5761608843676,931.872893111351,944.1696253383344,956.466357565318,968.7630897923016,981.0598220192852,993.3565542462686,1005.653286473252,1017.9500187002355,1030.246750927219,1042.5434831542025,1054.840215381186,1067.1369476081695,1079.433679835153,1091.7304120621366,1104.02714428912,1116.3238765161036,1128.6206087430871,1140.9173409700709,1153.214073197054,1165.5108054240377,1177.807537651021,1190.1042698780043,1202.401002104988,1214.6977343319716,1226.994466558955,1239.2911987859386,1251.587931012922,1263.8846632399056,1276.181395466889,1288.4781276938725,1300.774859920856
PD22,baseline,namibia,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,15.12,17.28,30.24,47.52,62.63999999999999,84.24,123.12,233.82,502.91280000000006,751.5288,797.3856000000001,823.34244747633,854.0846481597358,884.8268488431416,915.5690495265476,946.3112502099534,977.0534508933592,1007.7956515767652,1038.537852260171,1069.2800529435767,1100.0222536269823,1130.7644543103884,1161.5066549937942,1192.2488556772,1222.991056360606,1253.733257044012,1284.4754577274175,1315.2176584108236,1345.9598590942294,1376.7020597776352,1407.4442604610413,1438.186461144447,1468.928661827853,1499.6708625112587,1530.4130631946646,1561.1552638780704,1591.8974645614762,1622.639665244882,1653.381865928288,1684.1240666116937,1714.8662672950995,1745.6084679785054,1776.3506686619112,1807.092869345317,1837.8350700287228,1868.577270712129,1899.3194713955345,1930.0616720789403,1960.803872762346,1991.5460734457524,2022.2882741291585,2053.030474812564,2083.77267549597,2114.514876179376,2145.2570768627816,2175.9992775461874,2206.741478229593,2237.483678912999,2268.225879596405,2298.9680802798107,2329.7102809632165,2360.4524816466223,2391.194682330028,2421.936883013434,2452.67908369684,2483.4212843802457,2514.1634850636515,2544.9056857470573,2575.647886430463,2606.390087113869,2637.1322877972752,2667.874488480681,2698.616689164087,2729.3588898474927,2760.1010905308985,2790.8432912143044,2821.58549189771,2852.327692581116,2883.069893264522,2913.812093947928,2944.554294631333,2975.29649531474,3006.038695998145,3036.780896681551,3067.523097364957,3098.265298048362,3129.007498731769,3159.7496994151747,3190.491900098581,3221.2341007819864,3251.976301465392
PD22,baseline,namibia,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,15.12,17.28,30.24,47.52,62.64,84.24,123.12,233.808,502.90199999999993,751.536,797.376,823.3325349728989,854.0743655403576,884.8161961078163,915.558026675275,946.2998572427338,977.0416878101925,1007.7835183776511,1038.52534894511,1069.2671795125686,1100.009010080027,1130.750840647486,1161.4926712149447,1192.2345017824034,1222.976332349862,1253.7181629173208,1284.4599934847795,1315.2018240522384,1345.943654619697,1376.6854851871558,1407.4273157546145,1438.1691463220732,1468.910976889532,1499.6528074569906,1530.3946380244493,1561.136468591908,1591.8782991593666,1622.620129726825,1653.361960294284,1684.1037908617427,1714.8456214292014,1745.5874519966603,1776.329282564119,1807.0711131315777,1837.8129436990364,1868.554774266495,1899.2966048339536,1930.0384354014125,1960.7802659688712,1991.52209653633,2022.2639271037888,2053.0057576712475,2083.747588238706,2114.489418806165,2145.2312493736235,2175.9730799410822,2206.714910508541,2237.456741076,2268.1985716434583,2298.940402210917,2329.682232778376,2360.424063345835,2391.165893913293,2421.907724480752,2452.6495550482105,2483.3913856156696,2514.133216183128,2544.875046750587,2575.616877318045,2606.3587078855044,2637.100538452963,2667.8423690204218,2698.5841995878804,2729.326030155339,2760.067860722798,2790.8096912902565,2821.551521857715,2852.293352425174,2883.0351829926326,2913.7770135600917,2944.51884412755,2975.2606746950087,3006.002505262468,3036.744335829926,3067.4861663973847,3098.2279969648434,3128.9698275323026,3159.7116580997613,3190.45348866722,3221.1953192346787,3251.9371498021374
