model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,nethland,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,nethland,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,nethland,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,nethland,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,nethland,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer CHP plants,ELAUTOC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,nethland,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -main activity producer CHP plants,ELMAINC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,nethland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,20278.79965,18712.79895,18687.831,18478.80095,17762.399250000002,18951.992,19561.8007,19491.4023,19201.7588,18210.989500000003,17079.87,17204.853152538162,17427.640400241115,17650.427647944067,17873.21489564702,18096.00214334997,18318.78939105292,18541.576638755872,18764.363886458825,18987.151134161777,19209.93838186473,19432.72562956768,19655.512877270638,19878.300124973583,20101.08737267653,20323.874620379487,20546.66186808244,20769.44911578539,20992.236363488344,21215.023611191296,21437.81085889425,21660.5981065972,21883.385354300157,22106.172602003106,22328.95984970605,22551.747097409007,22774.53434511196,22997.32159281491,23220.10884051786,23442.89608822081,23665.683335923764,23888.47058362672,24111.25783132967,24334.04507903262,24556.832326735574,24779.61957443853,25002.40682214148,25225.19406984443,25447.981317547383,25670.76856525033,25893.555812953284,26116.34306065624,26339.13030835919,26561.91755606214,26784.70480376509,27007.49205146804,27230.279299170998,27453.066546873943,27675.8537945769,27898.64104227985,28121.428289982803,28344.215537685755,28567.002785388708,28789.79003309166,29012.57728079461,29235.36452849756,29458.151776200517,29680.939023903466,29903.726271606414,30126.51351930937,30349.30076701232,30572.08801471527,30794.875262418223,31017.662510121176,31240.449757824128,31463.23700552708,31686.024253230036,31908.811500932985,32131.598748635937,32354.38599633889,32577.17324404184,32799.96049174479,33022.74773944775,33245.53498715069,33468.32223485365,33691.1094825566,33913.89673025956,34136.6839779625,34359.47122566545,34582.258473368405,34805.04572107136
PD22,baseline,nethland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,15999.4,17344.8,14616.55,15049.58,16718.4,16128.36,15044.14,13651.94,12295.64,12585.7,12228.4,12317.88217887476,12477.387583764305,12636.89298865385,12796.398393543392,12955.903798432935,13115.409203322482,13274.914608212026,13434.42001310157,13593.925417991117,13753.43082288066,13912.936227770202,14072.441632659746,14231.947037549293,14391.452442438836,14550.95784732838,14710.463252217924,14869.968657107467,15029.47406199701,15188.979466886554,15348.4848717761,15507.990276665643,15667.495681555189,15827.001086444732,15986.506491334276,16146.01189622382,16305.517301113365,16465.022706002906,16624.528110892454,16784.033515781997,16943.53892067154,17103.044325561084,17262.549730450628,17422.055135340175,17581.56054022972,17741.065945119262,17900.571350008806,18060.07675489835,18219.582159787893,18379.08756467744,18538.592969566984,18698.098374456527,18857.60377934607,19017.10918423561,19176.61458912516,19336.119994014705,19495.625398904245,19655.130803793792,19814.636208683336,19974.14161357288,20133.647018462423,20293.152423351967,20452.657828241518,20612.16323313105,20771.6686380206,20931.174042910145,21090.67944779969,21250.184852689235,21409.69025757877,21569.195662468323,21728.701067357862,21888.20647224741,22047.711877136957,22207.217282026497,22366.722686916044,22526.228091805584,22685.73349669513,22845.238901584675,23004.74430647422,23164.24971136376,23323.755116253305,23483.260521142853,23642.765926032396,23802.27133092194,23961.776735811483,24121.282140701027,24280.78754559057,24440.292950480118,24599.79835536966,24759.3037602592,24918.80916514875
PD22,baseline,nethland,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nethland,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
