model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,peru,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,peru,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,peru,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,13082.40095,8197.200850000001,12168.00025,16430.400800000003,18057.6007,19155.59905,19810.7994,19943.3811,21476.2588,23067.699,23078.83,23063.98121774754,23443.85919929507,23823.737180842603,24203.61516239013,24583.493143937667,24963.3711254852,25343.24910703273,25723.127088580262,26103.0050701278,26482.88305167533,26862.76103322286,27242.639014770397,27622.516996317925,28002.394977865457,28382.27295941299,28762.15094096052,29142.028922508056,29521.906904055584,29901.78488560312,30281.66286715065,30661.540848698183,31041.418830245715,31421.296811793247,31801.17479334078,32181.05277488831,32560.93075643585,32940.808737983374,33320.68671953091,33700.56470107844,34080.44268262597,34460.3206641735,34840.19864572104,35220.07662726857,35599.9546088161,35979.83259036363,36359.71057191117,36739.5885534587,37119.46653500623,37499.34451655376,37879.22249810129,38259.10047964883,38638.97846119636,39018.85644274389,39398.73442429143,39778.61240583896,40158.49038738648,40538.36836893402,40918.24635048155,41298.12433202908,41678.00231357662,42057.88029512415,42437.75827667168,42817.63625821921,43197.51423976674,43577.39222131428,43957.27020286181,44337.148184409336,44717.02616595687,45096.90414750441,45476.782129051935,45856.66011059947,46236.538092147006,46616.41607369453,46996.29405524206,47376.1720367896,47756.05001833713,48135.92799988466,48515.80598143219,48895.683962979725,49275.56194452726,49655.43992607479,50035.31790762232,50415.19588916986,50795.07387071739,51174.95185226492,51554.82983381245,51934.70781535999,52314.58579690752,52694.46377845504,53074.34176000258
PD22,baseline,peru,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,2026.8,1195.2,2030.4,1746.0,2880.0,2037.6,2674.8,2705.36,2673.15,3081.9,2669.21,2667.4926461273776,2711.42789358691,2755.363141046443,2799.298388505976,2843.2336359655083,2887.168883425041,2931.104130884574,2975.0393783441064,3018.974625803639,3062.909873263172,3106.8451207227045,3150.780368182237,3194.715615641769,3238.6508631013025,3282.586110560835,3326.521358020368,3370.4566054799006,3414.391852939433,3458.3271003989657,3502.2623478584987,3546.1975953180317,3590.132842777564,3634.068090237097,3678.003337696629,3721.938585156162,3765.8738326156954,3809.809080075227,3853.74432753476,3897.679574994293,3941.6148224538256,3985.550069913358,4029.48531737289,4073.420564832423,4117.355812291957,4161.291059751489,4205.226307211022,4249.161554670554,4293.096802130087,4337.032049589619,4380.967297049152,4424.9025445086845,4468.837791968217,4512.773039427751,4556.708286887283,4600.643534346816,4644.578781806348,4688.514029265881,4732.449276725414,4776.384524184947,4820.319771644479,4864.255019104012,4908.190266563544,4952.125514023077,4996.060761482609,5039.996008942142,5083.931256401675,5127.866503861208,5171.801751320741,5215.736998780273,5259.672246239807,5303.607493699339,5347.542741158872,5391.477988618404,5435.413236077937,5479.348483537469,5523.283730997002,5567.218978456534,5611.154225916067,5655.0894733756,5699.024720835132,5742.9599682946655,5786.895215754198,5830.830463213731,5874.765710673264,5918.700958132797,5962.636205592329,6006.571453051862,6050.506700511394,6094.441947970927,6138.377195430459
PD22,baseline,peru,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,peru,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,peru,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1742.4,1951.2,1756.8,2196.0,2156.4,2142.0,1861.2,2452.2102,2691.9342,2493.1134,2212.344,2210.9205910003434,2247.335815394682,2283.7510397890205,2320.166264183359,2356.5814885776977,2392.996712972036,2429.4119373663752,2465.827161760714,2502.2423861550524,2538.657610549391,2575.072834943729,2611.488059338068,2647.903283732406,2684.318508126745,2720.733732521084,2757.148956915423,2793.564181309761,2829.9794057041,2866.3946300984385,2902.809854492777,2939.225078887116,2975.640303281454,3012.0555276757927,3048.4707520701318,3084.88597646447,3121.3012008588084,3157.7164252531475,3194.1316496474856,3230.5468740418246,3266.9620984361627,3303.3773228305017,3339.7925472248403,3376.207771619179,3412.6229960135174,3449.038220407856,3485.453444802195,3521.868669196533,3558.283893590872,3594.6991179852103,3631.114342379549,3667.529566773888,3703.9447911682255,3740.360015562565,3776.775239956904,3813.190464351242,3849.6056887455807,3886.02091313992,3922.436137534258,3958.851361928597,3995.266586322935,4031.681810717274,4068.097035111613,4104.512259505951,4140.92748390029,4177.342708294628,4213.757932688966,4250.173157083305,4286.588381477644,4323.003605871983,4359.4188302663215,4395.83405466066,4432.249279054999,4468.664503449338,4505.079727843676,4541.494952238014,4577.910176632353,4614.325401026692,4650.74062542103,4687.155849815368,4723.571074209707,4759.986298604046,4796.401522998385,4832.816747392723,4869.231971787061,4905.6471961814,4942.062420575739,4978.477644970078,5014.892869364416,5051.308093758755,5087.723318153094
PD22,baseline,peru,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,70408.8,75762.0,75117.6,78116.40000000001,77760.0,83217.6,85107.6,102164.8752,107908.8408,110715.0444,107571.06,107501.84941841476,109272.47111569007,111043.0928129654,112813.71451024072,114584.33620751604,116354.95790479134,118125.57960206666,119896.20129934198,121666.8229966173,123437.4446938926,125208.06639116791,126978.68808844325,128749.30978571856,130519.93148299388,132290.55318026917,134061.1748775445,135831.7965748198,137602.41827209512,139373.03996937044,141143.66166664576,142914.28336392107,144684.9050611964,146455.5267584717,148226.14845574702,149996.7701530223,151767.39185029763,153538.01354757295,155308.63524484826,157079.25694212358,158849.8786393989,160620.50033667422,162391.12203394953,164161.74373122485,165932.36542850017,167702.9871257755,169473.6088230508,171244.23052032612,173014.85221760144,174785.47391487675,176556.09561215207,178326.7173094274,180097.3390067027,181867.960703978,183638.5824012533,185409.20409852863,187179.82579580395,188950.4474930793,190721.06919035455,192491.69088762987,194262.3125849052,196032.9342821805,197803.55597945585,199574.17767673117,201344.79937400648,203115.42107128177,204886.0427685571,206656.6644658324,208427.28616310767,210197.90786038304,211968.5295576584,213739.15125493368,215509.772952209,217280.3946494843,219051.01634675963,220821.63804403492,222592.25974131023,224362.8814385856,226133.5031358609,227904.1248331362,229674.7465304115,231445.3682276868,233215.9899249621,234986.61162223743,236757.2333195128,238527.8550167881,240298.47671406335,242069.0984113387,243839.720108614,245610.34180588933,247380.96350316465
PD22,baseline,peru,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1742.3998,1951.19975,1756.799,2196.00085,2156.3994,2142.0002,1861.20005,2452.2094,2691.9312,2493.119,2212.36,2210.9365807060385,2247.352068460682,2283.7675562153254,2320.183043969969,2356.5985317246123,2393.014019479256,2429.429507233899,2465.8449949885426,2502.260482743186,2538.675970497829,2575.091458252473,2611.5069460071163,2647.92243376176,2684.337921516403,2720.7534092710466,2757.16889702569,2793.584384780333,2829.999872534977,2866.4153602896204,2902.830848044264,2939.2463357989072,2975.6618235535507,3012.077311308194,3048.492799062837,3084.908286817481,3121.3237745721244,3157.739262326768,3194.1547500814117,3230.5702378360547,3266.985725590698,3303.4012133453416,3339.816701099985,3376.2321888546285,3412.647676609272,3449.063164363916,3485.478652118559,3521.894139873202,3558.3096276278457,3594.725115382489,3631.140603137133,3667.556090891776,3703.9715786464194,3740.387066401063,3776.802554155706,3813.2180419103497,3849.633529664993,3886.0490174196366,3922.46450517428,3958.879992928924,3995.295480683567,4031.7109684382094,4068.1264561928538,4104.541943947497,4140.957431702141,4177.372919456784,4213.788407211428,4250.203894966071,4286.619382720714,4323.034870475358,4359.450358230001,4395.865845984645,4432.281333739288,4468.696821493932,4505.112309248575,4541.527797003218,4577.943284757862,4614.358772512505,4650.774260267149,4687.189748021792,4723.605235776436,4760.020723531079,4796.4362112857225,4832.851699040366,4869.267186795009,4905.682674549653,4942.098162304296,4978.51365005894,5014.929137813583,5051.344625568227,5087.76011332287
PD22,baseline,peru,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,70408.80004999999,75762.00039999999,75117.601,78116.40085,77760.00015,83217.5994,85107.59995,102164.8813,107908.83155,110715.04,107571.05,107501.83942484872,109272.46095752384,111043.08249019895,112813.7040228741,114584.32555554922,116354.94708822436,118125.56862089946,119896.1901535746,121666.81168624973,123437.43321892484,125208.05475159996,126978.67628427508,128749.29781695022,130519.91934962534,132290.54088230047,134061.16241497558,135831.78394765072,137602.40548032583,139373.02701300097,141143.6485456761,142914.2700783512,144684.89161102634,146455.51314370148,148226.1346763766,149996.7562090517,151767.37774172684,153537.99927440195,155308.6208070771,157079.2423397522,158849.86387242735,160620.48540510246,162391.1069377776,164161.7284704527,165932.35000312782,167702.97153580296,169473.59306847808,171244.21460115322,173014.83613382833,174785.45766650344,176556.07919917858,178326.70073185372,180097.32226452883,181867.94379720397,183638.5653298791,185409.18686255423,187179.8083952293,188950.42992790445,190721.0514605796,192491.67299325476,194262.29452592984,196032.91605860493,197803.53759128007,199574.1591239552,201344.78065663035,203115.40218930543,204886.02372198057,206656.6452546557,208427.26678733085,210197.888320006,211968.50985268108,213739.1313853562,215509.75291803133,217280.37445070647,219050.9959833816,220821.6175160567,222592.23904873183,224362.86058140697,226133.4821140821,227904.1036467572,229674.72517943237,231445.34671210745,233215.9682447826,234986.5897774577,236757.2113101328,238527.83284280795,240298.4543754831,242069.0759081582,243839.6974408333,245610.31897350843,247380.9405061836
