model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,poland,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,poland,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,poland,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,poland,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,poland,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,poland,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer CHP plants,ELAUTOC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,poland,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -main activity producer CHP plants,ELMAINC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,poland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,42663.60045,38296.80100000001,39182.39905,36889.1999,36900.00085,37922.40075,34181.9991,35985.6002,32018.39905,32223.60075,35982.0,36245.30082106176,36714.64460101135,37183.98838096095,37653.33216091053,38122.67594086013,38592.01972080972,39061.3635007593,39530.7072807089,40000.05106065849,40469.39484060808,40938.73862055767,41408.08240050726,41877.42618045685,42346.76996040644,42816.11374035603,43285.45752030562,43754.80130025521,44224.145080204806,44693.48886015439,45162.83264010398,45632.176420053576,46101.52020000317,46570.86397995276,47040.20775990235,47509.551539851935,47978.89531980153,48448.23909975112,48917.58287970071,49386.9266596503,49856.27043959989,50325.61421954948,50794.95799949907,51264.301779448666,51733.645559398254,52202.98933934784,52672.33311929743,53141.676899247024,53611.02067919662,54080.36445914621,54549.7082390958,55019.05201904538,55488.39579899498,55957.73957894457,56427.08335889416,56896.42713884375,57365.770918793336,57835.11469874293,58304.458478692526,58773.802258642114,59243.1460385917,59712.48981854129,60181.83359849088,60651.17737844048,61120.52115839007,61589.864938339655,62059.20871828924,62528.55249823884,62997.89627818843,63467.24005813802,63936.58383808761,64405.9276180372,64875.27139798679,65344.61517793638,65813.95895788597,66283.30273783556,66752.64651778515,67221.99029773474,67691.33407768433,68160.67785763393,68630.02163758352,69099.3654175331,69568.7091974827,70038.0529774323,70507.39675738188,70976.74053733147,71446.08431728106,71915.42809723064,72384.77187718023,72854.11565712982,73323.45943707942
PD22,baseline,poland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,51120.0,52686.0,52164.0,52203.6,49842.0,51296.4,52675.2,56145.63,53207.24,45451.91,42811.88,43125.15894934127,43683.59065369201,44242.02235804275,44800.45406239349,45358.88576674422,45917.31747109496,46475.7491754457,47034.18087979644,47592.61258414718,48151.04428849791,48709.47599284865,49267.90769719939,49826.33940155013,50384.77110590087,50943.20281025161,51501.63451460235,52060.066218953085,52618.49792330383,53176.929627654565,53735.361332005305,54293.793036356044,54852.22474070678,55410.65644505752,55969.08814940826,56527.519853759,57085.95155810974,57644.38326246047,58202.81496681121,58761.24667116195,59319.67837551269,59878.11007986343,60436.54178421416,60994.97348856491,61553.40519291564,62111.83689726638,62670.26860161712,63228.70030596786,63787.1320103186,64345.56371466933,64903.99541902008,65462.42712337081,66020.85882772156,66579.2905320723,67137.72223642303,67696.15394077377,68254.5856451245,68813.01734947524,69371.44905382599,69929.88075817673,70488.31246252746,71046.7441668782,71605.17587122894,72163.60757557968,72722.03927993041,73280.47098428116,73838.90268863189,74397.33439298264,74955.76609733337,75514.19780168412,76072.62950603485,76631.06121038558,77189.49291473633,77747.92461908706,78306.3563234378,78864.78802778854,79423.21973213929,79981.65143649002,80540.08314084075,81098.5148451915,81656.94654954223,82215.37825389297,82773.80995824371,83332.24166259446,83890.67336694518,84449.10507129593,85007.53677564667,85565.9684799974,86124.40018434814,86682.83188869889,87241.26359304962
PD22,baseline,poland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,936.0,774.0,788.4,979.2,975.6,1069.2,943.2,938.0,877.85,1174.18,1304.51,1314.055843868692,1331.071675517351,1348.0875071660098,1365.1033388146684,1382.1191704633272,1399.135002111986,1416.150833760645,1433.1666654093035,1450.1824970579626,1467.1983287066214,1484.21416035528,1501.2299920039388,1518.2458236525977,1535.2616553012565,1552.277486949915,1569.293318598574,1586.3091502472328,1603.3249818958916,1620.3408135445504,1637.3566451932093,1654.372476841868,1671.388308490527,1688.4041401391855,1705.4199717878444,1722.4358034365032,1739.451635085162,1756.4674667338209,1773.4832983824797,1790.4991300311383,1807.514961679797,1824.530793328456,1841.5466249771148,1858.5624566257732,1875.5782882744325,1892.594119923091,1909.60995157175,1926.6257832204087,1943.6416148690676,1960.6574465177264,1977.673278166385,1994.689109815044,2011.7049414637029,2028.7207731123613,2045.7366047610203,2062.752436409679,2079.768268058338,2096.7840997069966,2113.799931355656,2130.8157630043142,2147.831594652973,2164.847426301632,2181.8632579502905,2198.8790895989496,2215.894921247608,2232.910752896267,2249.926584544926,2266.9424161935844,2283.9582478422435,2300.974079490902,2317.9899111395607,2335.00574278822,2352.021574436879,2369.037406085537,2386.053237734196,2403.0690693828547,2420.0849010315137,2437.1007326801728,2454.1165643288314,2471.13239597749,2488.1482276261486,2505.164059274808,2522.1798909234667,2539.1957225721253,2556.211554220784,2573.2273858694425,2590.2432175181016,2607.2590491667606,2624.2748808154192,2641.290712464078,2658.306544112737
