model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,romania,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,romania,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,romania,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,romania,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,romania,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,romania,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer CHP plants,ELAUTOC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9931590963819078,1.0038278827221885,1.0144966690624693,1.02516545540275,1.0358342417430308,1.0465030280833114,1.0571718144235922,1.067840600763873,1.0785093871041538,1.0891781734444346,1.0998469597847151,1.110515746124996,1.1211845324652767,1.1318533188055575,1.1425221051458383,1.1531908914861189,1.1638596778263997,1.1745284641666804,1.1851972505069612,1.195866036847242,1.2065348231875226,1.2172036095278034,1.2278723958680842,1.238541182208365,1.2492099685486455,1.2598787548889263,1.270547541229207,1.281216327569488,1.291885113909769,1.3025539002500497,1.31322268659033,1.3238914729306108,1.3345602592708916,1.3452290456111724,1.3558978319514532,1.366566618291734,1.3772354046320143,1.3879041909722951,1.398572977312576,1.409241763652857,1.4199105499931377,1.4305793363334185,1.441248122673699,1.45191690901398,1.4625856953542606,1.4732544816945414,1.4839232680348222,1.4945920543751028,1.5052608407153836,1.515929627055664,1.526598413395945,1.5372671997362255,1.5479359860765065,1.5586047724167873,1.569273558757068,1.5799423450973489,1.5906111314376297,1.6012799177779102,1.611948704118191,1.6226174904584718,1.6332862767987524,1.6439550631390332,1.654623849479314,1.6652926358195947,1.6759614221598755,1.6866302085001563,1.6972989948404371,1.7079677811807177,1.7186365675209985,1.7293053538612793,1.7399741402015598,1.7506429265418406,1.7613117128821214,1.7719804992224022,1.782649285562683,1.7933180719029638,1.8039868582432448,1.8146556445835251,1.825324430923806
PD22,baseline,romania,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9931590963819078,1.0038278827221885,1.0144966690624693,1.02516545540275,1.0358342417430308,1.0465030280833114,1.0571718144235922,1.067840600763873,1.0785093871041538,1.0891781734444346,1.0998469597847151,1.110515746124996,1.1211845324652767,1.1318533188055575,1.1425221051458383,1.1531908914861189,1.1638596778263997,1.1745284641666804,1.1851972505069612,1.195866036847242,1.2065348231875226,1.2172036095278034,1.2278723958680842,1.238541182208365,1.2492099685486455,1.2598787548889263,1.270547541229207,1.281216327569488,1.291885113909769,1.3025539002500497,1.31322268659033,1.3238914729306108,1.3345602592708916,1.3452290456111724,1.3558978319514532,1.366566618291734,1.3772354046320143,1.3879041909722951,1.398572977312576,1.409241763652857,1.4199105499931377,1.4305793363334185,1.441248122673699,1.45191690901398,1.4625856953542606,1.4732544816945414,1.4839232680348222,1.4945920543751028,1.5052608407153836,1.515929627055664,1.526598413395945,1.5372671997362255,1.5479359860765065,1.5586047724167873,1.569273558757068,1.5799423450973489,1.5906111314376297,1.6012799177779102,1.611948704118191,1.6226174904584718,1.6332862767987524,1.6439550631390332,1.654623849479314,1.6652926358195947,1.6759614221598755,1.6866302085001563,1.6972989948404371,1.7079677811807177,1.7186365675209985,1.7293053538612793,1.7399741402015598,1.7506429265418406,1.7613117128821214,1.7719804992224022,1.782649285562683,1.7933180719029638,1.8039868582432448,1.8146556445835251,1.825324430923806
PD22,baseline,romania,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -main activity producer CHP plants,ELMAINC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9931590963819078,1.0038278827221885,1.0144966690624693,1.02516545540275,1.0358342417430308,1.0465030280833114,1.0571718144235922,1.067840600763873,1.0785093871041538,1.0891781734444346,1.0998469597847151,1.110515746124996,1.1211845324652767,1.1318533188055575,1.1425221051458383,1.1531908914861189,1.1638596778263997,1.1745284641666804,1.1851972505069612,1.195866036847242,1.2065348231875226,1.2172036095278034,1.2278723958680842,1.238541182208365,1.2492099685486455,1.2598787548889263,1.270547541229207,1.281216327569488,1.291885113909769,1.3025539002500497,1.31322268659033,1.3238914729306108,1.3345602592708916,1.3452290456111724,1.3558978319514532,1.366566618291734,1.3772354046320143,1.3879041909722951,1.398572977312576,1.409241763652857,1.4199105499931377,1.4305793363334185,1.441248122673699,1.45191690901398,1.4625856953542606,1.4732544816945414,1.4839232680348222,1.4945920543751028,1.5052608407153836,1.515929627055664,1.526598413395945,1.5372671997362255,1.5479359860765065,1.5586047724167873,1.569273558757068,1.5799423450973489,1.5906111314376297,1.6012799177779102,1.611948704118191,1.6226174904584718,1.6332862767987524,1.6439550631390332,1.654623849479314,1.6652926358195947,1.6759614221598755,1.6866302085001563,1.6972989948404371,1.7079677811807177,1.7186365675209985,1.7293053538612793,1.7399741402015598,1.7506429265418406,1.7613117128821214,1.7719804992224022,1.782649285562683,1.7933180719029638,1.8039868582432448,1.8146556445835251,1.825324430923806
PD22,baseline,romania,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,25408.8008,25707.6005,25423.2,25275.5993,25549.20085,25779.6007,25649.9995,25178.1412,25403.30215,23404.7899,22327.34,21936.39519900482,22174.600819011623,22412.806439018423,22651.012059025237,22889.21767903204,23127.42329903884,23365.628919045645,23603.83453905245,23842.04015905925,24080.245779066056,24318.451399072863,24556.657019079663,24794.86263908647,25033.068259093277,25271.27387910008,25509.479499106885,25747.68511911369,25985.89073912049,26224.096359127296,26462.3019791341,26700.507599140903,26938.713219147707,27176.91883915451,27415.12445916132,27653.33007916812,27891.535699174925,28129.74131918173,28367.946939188536,28606.15255919534,28844.358179202143,29082.563799208947,29320.76941921575,29558.975039222554,29797.18065922936,30035.38627923616,30273.591899242965,30511.79751924977,30750.003139256576,30988.20875926338,31226.414379270187,31464.61999927699,31702.825619283794,31941.0312392906,32179.2368592974,32417.442479304205,32655.64809931101,32893.85371931781,33132.059339324616,33370.26495933143,33608.47057933823,33846.676199345035,34084.88181935184,34323.08743935864,34561.293059365446,34799.49867937225,35037.70429937905,35275.90991938586,35514.11553939266,35752.321159399464,35990.52677940627,36228.73239941307,36466.93801941988,36705.14363942668,36943.34925943349,37181.55487944029,37419.7604994471,37657.9661194539,37896.171739460704,38134.37735946751,38372.58297947431,38610.78859948112,38848.994219487926,39087.19983949473,39325.40545950153,39563.61107950834,39801.81669951514,40040.02231952194,40278.22793952875,40516.43355953555,40754.63917954236
PD22,baseline,romania,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Nuclear industry,ENUC,TJ,79.2,68.4,61.2,61.2,57.6,54.0,43.2,45.89,73.33,98.78,38.87,38.18939835131804,38.60409407636475,39.018789801411465,39.43348552645818,39.84818125150489,40.2628769765516,40.67757270159832,41.09226842664503,41.50696415169175,41.92165987673846,42.33635560178517,42.751051326831885,43.1657470518786,43.58044277692531,43.99513850197202,44.409834227018735,44.82452995206545,45.23922567711216,45.65392140215887,46.068617127205584,46.4833128522523,46.89800857729901,47.31270430234572,47.727400027392434,48.14209575243915,48.55679147748586,48.97148720253257,49.38618292757929,49.800878652626,50.21557437767272,50.63027010271943,51.04496582776614,51.45966155281285,51.874357277859566,52.28905300290628,52.70374872795299,53.1184444529997,53.533140178046416,53.947835903093136,54.36253162813985,54.77722735318656,55.19192307823327,55.60661880327999,56.0213145283267,56.43601025337341,56.85070597842012,57.26540170346684,57.68009742851355,58.09479315356026,58.50948887860697,58.924184603653686,59.3388803287004,59.75357605374711,60.16827177879382,60.582967503840536,60.99766322888725,61.41235895393396,61.82705467898067,62.241750404027385,62.6564461290741,63.07114185412082,63.48583757916753,63.90053330421424,64.31522902926096,64.72992475430766,65.14462047935439,65.55931620440109,65.97401192944781,66.38870765449451,66.80340337954124,67.21809910458795,67.63279482963466,68.04749055468137,68.46218627972809,68.8768820047748,69.29157772982151,69.70627345486822,70.12096917991494,70.53566490496165,70.95036063000836
