model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,spain,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,spain,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,spain,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,spain,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer CHP plants,ELAUTOC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,98639.9995,93697.20055,92429.99955,96098.401,95014.7998,95432.3997,96191.999,85762.8003,92145.59905,89243.99960000001,92271.6,92946.80393643164,94150.38076723584,95353.95759804004,96557.53442884424,97761.11125964845,98964.68809045262,100168.26492125682,101371.84175206102,102575.4185828652,103778.9954136694,104982.57224447362,106186.14907527782,107389.725906082,108593.3027368862,109796.8795676904,111000.4563984946,112204.0332292988,113407.610060103,114611.1868909072,115814.7637217114,117018.3405525156,118221.9173833198,119425.494214124,120629.0710449282,121832.6478757324,123036.22470653658,124239.80153734078,125443.37836814496,126646.95519894916,127850.53202975338,129054.10886055758,130257.68569136178,131461.26252216595,132664.83935297016,133868.41618377436,135071.99301457856,136275.56984538276,137479.14667618697,138682.72350699117,139886.30033779534,141089.87716859957,142293.45399940375,143497.03083020795,144700.60766101215,145904.18449181633,147107.76132262056,148311.33815342473,149514.91498422893,150718.49181503314,151922.06864583734,153125.64547664154,154329.2223074457,155532.79913824995,156736.37596905412,157939.95279985832,159143.52963066252,160347.1064614667,161550.68329227093,162754.2601230751,163957.83695387933,165161.4137846835,166364.9906154877,167568.5674462919,168772.1442770961,169975.72110790032,171179.2979387045,172382.8747695087,173586.4516003129,174790.0284311171,175993.6052619213,177197.18209272547,178400.7589235297,179604.33575433388,180807.91258513808,182011.48941594228,183215.0662467465,184418.6430775507,185622.2199083549,186825.7967391591,188029.37356996327
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Nuclear industry,ENUC,TJ,601.2,565.2,558.0,543.6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,38074.32,38048.4,39544.65,36835.63,37329.42,40177.63,37539.96,38908.8,38250.0,34059.6,31615.2,31846.546454283583,32258.930353785065,32671.314253286542,33083.69815278803,33496.08205228951,33908.465951791,34320.84985129248,34733.23375079396,35145.61765029544,35558.00154979692,35970.3854492984,36382.76934879989,36795.153248301365,37207.53714780285,37619.921047304335,38032.304946805816,38444.6888463073,38857.07274580878,39269.45664531026,39681.84054481174,40094.22444431322,40506.6083438147,40918.992243316185,41331.37614281767,41743.760042319154,42156.14394182064,42568.52784132212,42980.9117408236,43393.29564032508,43805.67953982657,44218.06343932805,44630.44733882953,45042.83123833101,45455.21513783249,45867.59903733397,46279.982936835455,46692.366836336936,47104.75073583842,47517.1346353399,47929.51853484138,48341.90243434286,48754.28633384435,49166.67023334583,49579.05413284731,49991.43803234879,50403.82193185028,50816.20583135176,51228.58973085325,51640.973630354725,52053.35752985621,52465.74142935769,52878.12532885917,53290.50922836065,53702.89312786213,54115.27702736361,54527.66092686509,54940.044826366575,55352.428725868056,55764.812625369545,56177.19652487103,56589.58042437251,57001.96432387399,57414.34822337548,57826.73212287696,58239.11602237844,58651.49992187992,59063.8838213814,59476.26772088288,59888.65162038437,60301.035519885845,60713.419419387326,61125.80331888881,61538.18721839029,61950.57111789177,62362.95501739325,62775.33891689474,63187.72281639622,63600.1067158977,64012.49061539918,64424.874514900665
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,4503.6,3240.0,5061.6,6194.67,5042.33,4651.2,4857.55,3092.4,2628.0,2869.2,4064.4,4094.141533464605,4147.156953931148,4200.172374397689,4253.187794864231,4306.203215330774,4359.218635797316,4412.234056263858,4465.2494767304,4518.264897196942,4571.280317663484,4624.295738130026,4677.311158596568,4730.32657906311,4783.341999529653,4836.357419996195,4889.372840462736,4942.388260929279,4995.403681395821,5048.419101862362,5101.434522328905,5154.449942795447,5207.465363261989,5260.480783728532,5313.496204195073,5366.511624661615,5419.527045128158,5472.542465594699,5525.557886061241,5578.573306527784,5631.588726994326,5684.604147460868,5737.61956792741,5790.634988393952,5843.650408860494,5896.665829327036,5949.681249793578,6002.69667026012,6055.712090726663,6108.727511193205,6161.742931659746,6214.758352126289,6267.773772592831,6320.789193059372,6373.804613525915,6426.820033992457,6479.835454458999,6532.850874925542,6585.866295392083,6638.881715858625,6691.897136325168,6744.912556791709,6797.927977258251,6850.943397724794,6903.958818191336,6956.974238657878,7009.98965912442,7063.005079590962,7116.020500057504,7169.035920524046,7222.051340990588,7275.06676145713,7328.082181923673,7381.097602390215,7434.113022856756,7487.128443323299,7540.143863789841,7593.159284256382,7646.174704722925,7699.190125189467,7752.205545656009,7805.220966122551,7858.236386589093,7911.251807055635,7964.267227522178,8017.282647988719,8070.298068455261,8123.313488921804,8176.328909388346,8229.344329854888,8282.35975032143
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,spain,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
