model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,syria,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,syria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,35467.1996,31877.99955,25808.39995,18950.3994,16236.00005,13643.99915,13939.20075,13712.1964,13615.736400000002,13298.6946,12358.11,13043.661186066956,13213.392217633816,13383.123249200678,13552.85428076754,13722.5853123344,13892.316343901262,14062.047375468124,14231.778407034984,14401.509438601846,14571.240470168708,14740.97150173557,14910.70253330243,15080.433564869292,15250.164596436154,15419.895628003016,15589.626659569876,15759.357691136738,15929.0887227036,16098.819754270462,16268.550785837324,16438.281817404186,16608.012848971048,16777.743880537906,16947.474912104768,17117.20594367163,17286.936975238492,17456.668006805354,17626.399038372216,17796.130069939078,17965.861101505936,18135.5921330728,18305.32316463966,18475.05419620652,18644.785227773384,18814.51625934025,18984.247290907108,19153.97832247397,19323.70935404083,19493.44038560769,19663.171417174555,19832.902448741414,20002.633480308275,20172.364511875137,20342.095543442,20511.82657500886,20681.557606575723,20851.288638142585,21021.019669709443,21190.75070127631,21360.481732843167,21530.21276441003,21699.94379597689,21869.674827543757,22039.40585911061,22209.136890677477,22378.86792224434,22548.5989538112,22718.329985378063,22888.06101694492,23057.792048511783,23227.523080078645,23397.254111645507,23566.98514321237,23736.716174779227,23906.447206346093,24076.17823791295,24245.909269479816,24415.640301046675,24585.371332613537,24755.1023641804,24924.83339574726,25094.56442731412,25264.29545888098,25434.026490447846,25603.757522014705,25773.488553581567,25943.21958514843,26112.95061671529,26282.681648282152,26452.41267984901
PD22,baseline,syria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,19090.8,17193.6,13258.8,10339.2,8730.0,7398.0,7462.8,7525.37,7524.52,7262.11,6734.11,7107.676596963883,7200.165451407217,7292.654305850552,7385.1431602938865,7477.632014737221,7570.120869180556,7662.60972362389,7755.098578067225,7847.58743251056,7940.076286953894,8032.565141397229,8125.053995840563,8217.542850283899,8310.031704727233,8402.520559170567,8495.009413613901,8587.498268057236,8679.98712250057,8772.475976943906,8864.96483138724,8957.453685830575,9049.942540273909,9142.431394717243,9234.92024916058,9327.409103603914,9419.897958047248,9512.386812490582,9604.875666933916,9697.36452137725,9789.853375820589,9882.34223026392,9974.831084707255,10067.31993915059,10159.808793593926,10252.29764803726,10344.786502480594,10437.275356923928,10529.764211367265,10622.253065810595,10714.741920253931,10807.230774697267,10899.719629140602,10992.208483583936,11084.69733802727,11177.186192470606,11269.67504691394,11362.163901357277,11454.65275580061,11547.141610243943,11639.630464687278,11732.119319130612,11824.608173573946,11917.097028017282,12009.585882460617,12102.07473690395,12194.563591347289,12287.05244579062,12379.541300233956,12472.03015467729,12564.519009120624,12657.007863563958,12749.496718007293,12841.985572450629,12934.474426893965,13026.963281337295,13119.452135780632,13211.940990223968,13304.429844667302,13396.918699110636,13489.40755355397,13581.896407997305,13674.38526244064,13766.874116883972,13859.362971327308,13951.851825770644,14044.340680213978,14136.829534657312,14229.318389100648,14321.807243543984,14414.296097987317
PD22,baseline,syria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,syria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,syria,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,9331.2,10792.8,10641.6,10800.0,8424.0,1486.8,3344.4,2714.4,2714.4,2714.4,2714.4,2864.978052749178,2902.25866540638,2939.539278063581,2976.819890720783,3014.1005033779843,3051.381116035186,3088.6617286923874,3125.942341349589,3163.222954006791,3200.5035666639924,3237.784179321194,3275.0647919783955,3312.3454046355973,3349.6260172927987,3386.9066299500005,3424.1872426072023,3461.467855264404,3498.748467921605,3536.0290805788068,3573.309693236009,3610.59030589321,3647.870918550412,3685.1515312076135,3722.432143864815,3759.712756522016,3796.993369179218,3834.27398183642,3871.554594493621,3908.835207150823,3946.1158198080248,3983.396432465226,4020.677045122427,4057.957657779629,4095.238270436831,4132.518883094032,4169.799495751234,4207.080108408436,4244.360721065637,4281.641333722839,4318.92194638004,4356.202559037242,4393.483171694444,4430.763784351645,4468.044397008847,4505.325009666049,4542.60562232325,4579.886234980451,4617.1668476376535,4654.447460294855,4691.728072952056,4729.0086856092585,4766.28929826646,4803.569910923661,4840.850523580863,4878.131136238065,4915.411748895266,4952.692361552468,4989.97297420967,5027.253586866871,5064.534199524072,5101.814812181274,5139.095424838475,5176.376037495677,5213.656650152879,5250.937262810081,5288.217875467282,5325.498488124484,5362.779100781685,5400.059713438886,5437.340326096089,5474.62093875329,5511.901551410492,5549.1821640676935,5586.462776724895,5623.743389382096,5661.024002039298,5698.3046146965,5735.585227353701,5772.865840010903,5810.146452668105
PD22,baseline,syria,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,9331.20035,10792.8,10641.59895,10800.00065,8424.00035,1486.79985,3344.39955,2714.39935,2714.39935,2714.39935,2714.4,2864.978052749178,2902.25866540638,2939.539278063581,2976.819890720783,3014.1005033779843,3051.381116035186,3088.6617286923874,3125.942341349589,3163.222954006791,3200.5035666639924,3237.784179321194,3275.0647919783955,3312.3454046355973,3349.6260172927987,3386.9066299500005,3424.1872426072023,3461.467855264404,3498.748467921605,3536.0290805788068,3573.309693236009,3610.59030589321,3647.870918550412,3685.1515312076135,3722.432143864815,3759.712756522016,3796.993369179218,3834.27398183642,3871.554594493621,3908.835207150823,3946.1158198080248,3983.396432465226,4020.677045122427,4057.957657779629,4095.238270436831,4132.518883094032,4169.799495751234,4207.080108408436,4244.360721065637,4281.641333722839,4318.92194638004,4356.202559037242,4393.483171694444,4430.763784351645,4468.044397008847,4505.325009666049,4542.60562232325,4579.886234980451,4617.1668476376535,4654.447460294855,4691.728072952056,4729.0086856092585,4766.28929826646,4803.569910923661,4840.850523580863,4878.131136238065,4915.411748895266,4952.692361552468,4989.97297420967,5027.253586866871,5064.534199524072,5101.814812181274,5139.095424838475,5176.376037495677,5213.656650152879,5250.937262810081,5288.217875467282,5325.498488124484,5362.779100781685,5400.059713438886,5437.340326096089,5474.62093875329,5511.901551410492,5549.1821640676935,5586.462776724895,5623.743389382096,5661.024002039298,5698.3046146965,5735.585227353701,5772.865840010903,5810.146452668105
PD22,baseline,syria,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,syria,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.989690922263444,4.041606894796683,4.093522867329921,4.145438839863159,4.197354812396397,4.249270784929635,4.301186757462873,4.353102729996111,4.40501870252935,4.4569346750625884,4.5088506475958265,4.560766620129065,4.612682592662303,4.664598565195541,4.716514537728779,4.768430510262018,4.820346482795256,4.872262455328494,4.924178427861732,4.97609440039497,5.028010372928208,5.079926345461447,5.1318423179946855,5.183758290527924,5.235674263061162,5.2875902355944,5.339506208127638,5.391422180660876,5.443338153194114,5.495254125727353,5.547170098260591,5.599086070793829,5.651002043327067,5.7029180158603054,5.754833988393544,5.806749960926782,5.858665933460021,5.910581905993259,5.962497878526497,6.014413851059735,6.066329823592973,6.118245796126212,6.170161768659449,6.222077741192688,6.273993713725925,6.325909686259164,6.3778256587924025,6.429741631325641,6.48165760385888,6.533573576392117,6.585489548925356,6.637405521458593,6.689321493991832,6.74123746652507,6.793153439058308,6.845069411591546,6.896985384124784,6.948901356658023,7.0008173291912605,7.0527333017245,7.104649274257738,7.156565246790976,7.208481219324214,7.260397191857452,7.312313164390691,7.364229136923928,7.416145109457167,7.468061081990405,7.519977054523643,7.571893027056881,7.623808999590119,7.6757249721233585,7.727640944656596,7.779556917189835,7.831472889723073,7.883388862256311,7.935304834789549,7.987220807322787,8.039136779856026,8.091052752389263
PD22,baseline,syria,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Final consumption not elsewhere specified,ONONSPEC,TJ,12405.6007,11151.0002,9028.800050000002,6629.4002,5679.0005,4771.800499999999,4874.40005,4795.024649999999,4761.281650000001,4650.416499999999,4319.74,4471.337858662152,4491.91326715524,4512.488675648327,4533.064084141414,4553.639492634502,4574.21490112759,4594.790309620677,4615.365718113764,4635.941126606852,4656.51653509994,4677.091943593027,4697.667352086115,4718.242760579202,4738.8181690722895,4759.393577565377,4779.968986058465,4800.544394551553,4821.119803044639,4841.695211537727,4862.270620030815,4882.846028523903,4903.42143701699,4923.996845510077,4944.572254003165,4965.147662496252,4985.72307098934,5006.298479482427,5026.873887975515,5047.449296468602,5068.02470496169,5088.600113454777,5109.175521947865,5129.750930440952,5150.32633893404,5170.901747427128,5191.477155920215,5212.052564413302,5232.62797290639,5253.203381399478,5273.778789892565,5294.354198385652,5314.92960687874,5335.505015371828,5356.080423864915,5376.655832358003,5397.23124085109,5417.8066493441775,5438.382057837265,5458.957466330353,5479.532874823441,5500.108283316527,5520.683691809615,5541.259100302703,5561.83450879579,5582.409917288878,5602.985325781965,5623.560734275053,5644.13614276814,5664.711551261227,5685.286959754315,5705.862368247403,5726.43777674049,5747.013185233578,5767.588593726665,5788.164002219753,5808.73941071284,5829.314819205928,5849.890227699016,5870.465636192103,5891.04104468519,5911.616453178278,5932.191861671366,5952.767270164453,5973.34267865754,5993.918087150628,6014.493495643716,6035.068904136803,6055.644312629891,6076.219721122978,6096.795129616065
