model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,taipei,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,taipei,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,taipei,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,taipei,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,taipei,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,34793.99975,36539.99985,33703.199949999995,26107.20085,32259.5998,29332.80015,31269.60075,31784.00925,33127.558399999994,32348.2893,34141.4015,35581.211057726345,36793.54515333544,38005.87924894453,39218.21334455363,40430.54744016273,41642.88153577182,42855.21563138092,44067.54972699001,45279.88382259911,46492.2179182082,47704.552013817294,48916.88610942639,50129.22020503548,51341.55430064458,52553.88839625368,53766.222491862776,54978.55658747187,56190.89068308096,57403.224778690055,58615.55887429915,59827.89296990825,61040.22706551734,62252.56116112644,63464.89525673553,64677.22935234463,65889.56344795373,67101.89754356281,68314.23163917192,69526.565734781,70738.8998303901,71951.2339259992,73163.56802160828,74375.9021172174,75588.23621282648,76800.57030843558,78012.90440404468,79225.23849965376,80437.57259526287,81649.90669087195,82862.24078648105,84074.57488209015,85286.90897769925,86499.24307330835,87711.57716891743,88923.91126452654,90136.24536013562,91348.57945574472,92560.91355135382,93773.2476469629,94985.58174257202,96197.9158381811,97410.2499337902,98622.5840293993,99834.91812500838,101047.25222061748,102259.58631622656,103471.92041183569,104684.25450744476,105896.58860305384,107108.92269866297,108321.25679427203,109533.59088988116,110745.92498549024,111958.25908109931,113170.59317670844,114382.92727231752,115595.26136792664,116807.59546353572,118019.9295591448,119232.26365475392,120444.597750363,121656.93184597213,122869.2659415812,124081.60003719028,125293.9341327994,126506.26822840847,127718.6023240176,128930.93641962668,130143.27051523577,131355.60461084486
PD22,baseline,taipei,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,41709.6,41994.0,41353.2,39762.0,41115.6,41540.4,41436.0,42510.2,43992.03,44824.46,43682.01,45524.16564491979,47075.27918335311,48626.39272178642,50177.506260219736,51728.61979865305,53279.73333708637,54830.84687551968,56381.960413953,57933.07395238632,59484.18749081963,61035.30102925294,62586.41456768626,64137.52810611957,65688.64164455289,67239.7551829862,68790.86872141952,70341.98225985284,71893.09579828614,73444.20933671948,74995.32287515278,76546.4364135861,78097.54995201941,79648.66349045273,81199.77702888605,82750.89056731935,84302.00410575268,85853.11764418599,87404.2311826193,88955.34472105262,90506.45825948594,92057.57179791926,93608.68533635256,95159.79887478588,96710.9124132192,98262.02595165253,99813.13949008584,101364.25302851916,102915.36656695246,104466.48010538577,106017.5936438191,107568.7071822524,109119.82072068572,110670.93425911904,112222.04779755235,113773.16133598569,115324.274874419,116875.3884128523,118426.5019512856,119977.61548971893,121528.72902815224,123079.84256658556,124630.95610501888,126182.0696434522,127733.18318188551,129284.29672031882,130835.41025875212,132386.52379718545,133937.63733561878,135488.7508740521,137039.8644124854,138590.97795091872,140142.09148935202,141693.20502778533,143244.31856621866,144795.432104652,146346.5456430853,147897.6591815186,149448.77271995193,150999.88625838523,152550.99979681853,154102.11333525187,155653.2268736852,157204.3404121185,158755.4539505518,160306.56748898514,161857.68102741844,163408.79456585174,164959.90810428507,166511.0216427184,168062.1351811517
PD22,baseline,taipei,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,1954.8,2156.4,1062.0,1407.6,1972.8,2484.0,1792.8,3040.49,2824.83,2798.0,2822.48,2941.5094921106697,3041.733518888679,3141.957545666688,3242.181572444697,3342.4055992227063,3442.629626000716,3542.8536527787246,3643.0776795567335,3743.301706334743,3843.525733112752,3943.749759890761,4043.97378666877,4144.197813446779,4244.421840224789,4344.645867002798,4444.869893780807,4545.0939205588165,4645.3179473368255,4745.541974114834,4845.766000892843,4945.990027670852,5046.214054448861,5146.438081226871,5246.662108004881,5346.88613478289,5447.110161560899,5547.334188338908,5647.5582151169165,5747.782241894925,5848.006268672934,5948.230295450944,6048.454322228954,6148.678349006963,6248.902375784972,6349.126402562981,6449.35042934099,6549.574456118999,6649.798482897008,6750.022509675017,6850.246536453027,6950.470563231036,7050.694590009045,7150.918616787054,7251.142643565063,7351.366670343072,7451.590697121081,7551.814723899091,7652.0387506771,7752.262777455109,7852.486804233118,7952.710831011127,8052.934857789136,8153.158884567145,8253.382911345154,8353.606938123165,8453.830964901174,8554.054991679182,8654.279018457191,8754.5030452352,8854.72707201321,8954.951098791218,9055.175125569229,9155.399152347238,9255.623179125248,9355.847205903256,9456.071232681265,9556.295259459272,9656.519286237282,9756.743313015291,9856.9673397933,9957.191366571313,10057.41539334932,10157.639420127329,10257.863446905338,10358.087473683348,10458.311500461356,10558.535527239364,10658.759554017372,10758.983580795384,10859.207607573391
PD22,baseline,taipei,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,taipei,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,taipei,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,2.7306,6.8796,7.169726163489047,7.414015304465065,7.658304445441083,7.902593586417101,8.14688272739312,8.391171868369137,8.635461009345155,8.879750150321174,9.12403929129719,9.36832843227321,9.612617573249228,9.856906714225246,10.101195855201263,10.345484996177282,10.5897741371533,10.834063278129316,11.078352419105336,11.322641560081356,11.566930701057371,11.81121984203339,12.055508983009409,12.299798123985424,12.544087264961444,12.788376405937464,13.03266554691348,13.276954687889498,13.521243828865517,13.765532969841534,14.009822110817552,14.25411125179357,14.498400392769588,14.742689533745606,14.986978674721623,15.231267815697642,15.47555695667366,15.71984609764968,15.964135238625696,16.208424379601716,16.45271352057773,16.69700266155375,16.94129180252977,17.185580943505787,17.429870084481806,17.67415922545782,17.918448366433843,18.162737507409854,18.40702664838588,18.65131578936189,18.89560493033791,19.13989407131393,19.384183212289948,19.62847235326597,19.872761494241985,20.117050635218003,20.361339776194026,20.60562891717004,20.84991805814606,21.094207199122074,21.338496340098093,21.58278548107411,21.827074622050127,22.07136376302615,22.315652904002164,22.559942044978182,22.8042311859542,23.04852032693022,23.29280946790624,23.537098608882253,23.78138774985828,24.02567689083429,24.269966031810316,24.514255172786328,24.758544313762343,25.002833454738365,25.24712259571438,25.4914117366904,25.735700877666417,25.979990018642432,26.22427915961845,26.468568300594477
PD22,baseline,taipei,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0421719523648243,1.0776811594373312,1.1131903665098382,1.1486995735823449,1.1842087806548518,1.2197179877273585,1.2552271947998652,1.2907364018723722,1.3262456089448789,1.3617548160173858,1.3972640230898925,1.4327732301623994,1.468282437234906,1.5037916443074129,1.5393008513799198,1.5748100584524265,1.6103192655249332,1.64582847259744,1.681337679669947,1.7168468867424536,1.7523560938149605,1.7878653008874674,1.823374507959974,1.8588837150324808,1.894392922104988,1.9299021291774945,1.9654113362500008,2.000920543322508,2.036429750395015,2.071938957467521,2.1074481645400285,2.1429573716125354,2.1784665786850423,2.213975785757549,2.249484992830056,2.2849941999025623,2.320503406975069,2.356012614047576,2.391521821120083,2.42703102819259,2.4625402352650965,2.4980494423376034,2.53355864941011,2.569067856482617,2.604577063555124,2.6400862706276307,2.6755954777001376,2.711104684772644,2.746613891845151,2.782123098917657,2.8176323059901645,2.8531415130626714,2.8886507201351783,2.9241599272076853,2.959669134280192,2.9951783413526982,3.030687548425205,3.066196755497712,3.101705962570219,3.137215169642725,3.1727243767152324,3.20823358378774,3.2437427908602463,3.279251997932753,3.31476120500526,3.3502704120777667,3.385779619150273,3.42128882622278,3.456798033295287,3.492307240367794,3.5278164474403004,3.563325654512808,3.5988348615853143,3.634344068657821,3.669853275730328,3.705362482802834,3.740871689875341,3.776380896947848,3.811890104020355,3.847399311092862
PD22,baseline,taipei,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,0.0388499999999999,27.25095,68.8305,71.73321656724706,74.17733304465123,76.62144952205541,79.0655659994596,81.50968247686377,83.95379895426795,86.39791543167213,88.8420319090763,91.28614838648048,93.73026486388466,96.17438134128884,98.61849781869302,101.0626142960972,103.50673077350136,105.95084725090555,108.39496372830972,110.83908020571393,113.28319668311808,115.72731316052229,118.17142963792644,120.61554611533064,123.0596625927348,125.503779070139,127.94789554754315,130.39201202494735,132.83612850235153,135.2802449797557,137.7243614571599,140.16847793456407,142.61259441196825,145.05671088937245,147.5008273667766,149.94494384418078,152.38906032158496,154.83317679898914,157.27729327639332,159.7214097537975,162.16552623120168,164.60964270860586,167.05375918601004,169.49787566341422,171.94199214081837,174.38610861822255,176.83022509562673,179.2743415730309,181.7184580504351,184.16257452783927,186.60669100524345,189.05080748264763,191.4949239600518,193.939040437456,196.38315691486017,198.82727339226437,201.2713898696685,203.71550634707268,206.15962282447688,208.60373930188103,211.0478557792852,213.4919722566894,215.9360887340936,218.38020521149772,220.82432168890196,223.2684381663061,225.7125546437103,228.15667112111447,230.60078759851865,233.04490407592283,235.489020553327,237.9331370307312,240.37725350813537,242.82136998553955,245.26548646294373,247.7096029403479,250.1537194177521,252.5978358951563,255.04195237256044,257.4860688499646,259.9301853273688,262.374301804773,264.8184182821772
PD22,baseline,taipei,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0421719523648243,1.0776811594373312,1.1131903665098382,1.1486995735823449,1.1842087806548518,1.2197179877273585,1.2552271947998652,1.2907364018723722,1.3262456089448789,1.3617548160173858,1.3972640230898925,1.4327732301623994,1.468282437234906,1.5037916443074129,1.5393008513799198,1.5748100584524265,1.6103192655249332,1.64582847259744,1.681337679669947,1.7168468867424536,1.7523560938149605,1.7878653008874674,1.823374507959974,1.8588837150324808,1.894392922104988,1.9299021291774945,1.9654113362500008,2.000920543322508,2.036429750395015,2.071938957467521,2.1074481645400285,2.1429573716125354,2.1784665786850423,2.213975785757549,2.249484992830056,2.2849941999025623,2.320503406975069,2.356012614047576,2.391521821120083,2.42703102819259,2.4625402352650965,2.4980494423376034,2.53355864941011,2.569067856482617,2.604577063555124,2.6400862706276307,2.6755954777001376,2.711104684772644,2.746613891845151,2.782123098917657,2.8176323059901645,2.8531415130626714,2.8886507201351783,2.9241599272076853,2.959669134280192,2.9951783413526982,3.030687548425205,3.066196755497712,3.101705962570219,3.137215169642725,3.1727243767152324,3.20823358378774,3.2437427908602463,3.279251997932753,3.31476120500526,3.3502704120777667,3.385779619150273,3.42128882622278,3.456798033295287,3.492307240367794,3.5278164474403004,3.563325654512808,3.5988348615853143,3.634344068657821,3.669853275730328,3.705362482802834,3.740871689875341,3.776380896947848,3.811890104020355,3.847399311092862
PD22,baseline,taipei,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,15094.8,14396.4,20408.4,19519.2,15541.2,16088.4,23623.2,19606.383,16131.522599999998,19959.1902,10865.7774,11324.008446919586,11709.84358661995,12095.678726320317,12481.51386602068,12867.349005721046,13253.18414542141,13639.019285121774,14024.85442482214,14410.689564522503,14796.52470422287,15182.359843923234,15568.194983623598,15954.030123323962,16339.865263024329,16725.70040272469,17111.53554242506,17497.370682125424,17883.205821825788,18269.040961526152,18654.87610122652,19040.71124092688,19426.54638062725,19812.38152032761,20198.21666002797,20584.05179972834,20969.886939428703,21355.722079129067,21741.55721882943,22127.3923585298,22513.22749823016,22899.06263793053,23284.897777630893,23670.732917331257,24056.56805703162,24442.403196731982,24828.238336432358,25214.07347613272,25599.908615833083,25985.743755533447,26371.57889523381,26757.414034934176,27143.24917463454,27529.084314334905,27914.91945403527,28300.754593735637,28686.589733436,29072.42487313636,29458.260012836727,29844.09515253709,30229.93029223746,30615.765431937823,31001.600571638188,31387.435711338552,31773.27085103892,32159.10599073928,32544.941130439645,32930.776270140006,33316.61140984038,33702.446549540735,34088.28168924111,34474.11682894147,34859.951968641835,35245.7871083422,35631.622248042564,36017.45738774293,36403.29252744329,36789.12766714366,37174.96280684402,37560.79794654439,37946.63308624475,38332.46822594512,38718.30336564548,39104.13850534585,39489.97364504621,39875.80878474658,40261.64392444694,40647.47906414731,41033.31420384767,41419.14934354804,41804.9844832484
