model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,tajikistan,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,8387.9992,8175.601000000001,8802.00085,9100.80055,10094.39995,9612.0005,9885.6,10382.40075,10360.800899999998,8744.3999,9176.4,9015.724081065986,9113.625132038938,9211.52618301189,9309.427233984845,9407.328284957794,9505.229335930746,9603.130386903698,9701.03143787665,9798.932488849605,9896.833539822555,9994.734590795506,10092.635641768458,10190.53669274141,10288.437743714365,10386.338794687315,10484.239845660268,10582.14089663322,10680.041947606172,10777.942998579125,10875.844049552075,10973.745100525028,11071.64615149798,11169.547202470932,11267.448253443885,11365.349304416835,11463.250355389788,11561.15140636274,11659.052457335692,11756.953508308645,11854.854559281595,11952.75561025455,12050.656661227502,12148.557712200452,12246.458763173405,12344.359814146355,12442.26086511931,12540.161916092262,12638.062967065212,12735.964018038165,12833.865069011115,12931.76611998407,13029.667170957022,13127.568221929974,13225.469272902928,13323.37032387588,13421.271374848831,13519.172425821782,13617.073476794734,13714.974527767688,13812.875578740635,13910.77662971359,14008.677680686542,14106.578731659494,14204.479782632448,14302.3808336054,14400.281884578351,14498.182935551304,14596.083986524256,14693.985037497208,14791.88608847016,14889.787139443111,14987.688190416064,15085.589241389016,15183.490292361968,15281.39134333492,15379.292394307871,15477.193445280824,15575.094496253776,15672.995547226728,15770.89659819968,15868.797649172631,15966.698700145584,16064.599751118538,16162.500802091488,16260.40185306444,16358.302904037391,16456.203955010344,16554.105005983296,16652.00605695625,16749.9071079292
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,331.2,324.0,327.6,324.0,86.4,507.6,590.4,718.2,735.84,1777.1,2307.96,2267.5483359636737,2292.171468085588,2316.7946002075023,2341.4177323294166,2366.040864451331,2390.6639965732456,2415.28712869516,2439.9102608170742,2464.5333929389885,2489.156525060903,2513.779657182817,2538.4027893047314,2563.0259214266457,2587.64905354856,2612.2721856704748,2636.895317792389,2661.518449914304,2686.1415820362176,2710.764714158132,2735.3878462800462,2760.0109784019605,2784.6341105238757,2809.257242645789,2833.880374767704,2858.503506889618,2883.1266390115325,2907.7497711334468,2932.372903255361,2956.996035377276,2981.6191674991896,3006.2422996211044,3030.8654317430187,3055.488563864933,3080.1116959868477,3104.7348281087616,3129.357960230676,3153.98109235259,3178.6042244745045,3203.2273565964188,3227.850488718333,3252.473620840248,3277.096752962162,3301.7198850840764,3326.3430172059907,3350.966149327905,3375.5892814498197,3400.212413571734,3424.835545693648,3449.4586778155626,3474.0818099374765,3498.704942059391,3523.328074181305,3547.95120630322,3572.574338425134,3597.1974705470484,3621.820602668963,3646.443734790877,3671.066866912792,3695.689999034706,3720.31313115662,3744.936263278535,3769.559395400449,3794.182527522364,3818.8056596442775,3843.428791766192,3868.051923888106,3892.675056010021,3917.298188131935,3941.9213202538494,3966.544452375764,3991.167584497678,4015.790716619593,4040.4138487415066,4065.036980863421,4089.660112985335,4114.28324510725,4138.906377229165,4163.529509351079,4188.152641472992,4212.775773594907
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,59040.0,58320.0,60840.0,61455.6,57600.0,61200.0,59875.2,61679.52,66219.84000000001,69012.0,65209.68,64067.87872091529,64763.58686415337,65459.29500739145,66155.00315062952,66850.7112938676,67546.41943710568,68242.12758034376,68937.83572358184,69633.54386681992,70329.252010058,71024.96015329607,71720.66829653415,72416.37643977223,73112.0845830103,73807.79272624839,74503.50086948647,75199.20901272455,75894.91715596263,76590.6252992007,77286.33344243877,77982.04158567685,78677.74972891493,79373.45787215301,80069.16601539109,80764.87415862917,81460.58230186725,82156.29044510533,82851.99858834341,83547.70673158148,84243.41487481956,84939.12301805764,85634.83116129572,86330.5393045338,87026.24744777188,87721.95559100996,88417.66373424804,89113.37187748612,89809.08002072418,90504.78816396226,91200.49630720034,91896.20445043842,92591.9125936765,93287.62073691458,93983.32888015268,94679.03702339076,95374.74516662884,96070.45330986688,96766.16145310496,97461.86959634304,98157.57773958112,98853.2858828192,99548.99402605728,100244.70216929536,100940.41031253344,101636.11845577152,102331.8265990096,103027.53474224768,103723.24288548576,104418.95102872384,105114.65917196192,105810.3673152,106506.07545843808,107201.78360167614,107897.49174491424,108593.1998881523,109288.9080313904,109984.61617462846,110680.32431786654,111376.03246110462,112071.7406043427,112767.44874758078,113463.15689081883,114158.86503405694,114854.573177295,115550.2813205331,116245.98946377115,116941.69760700924,117637.40575024732,118333.1138934854,119028.82203672348
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,59040.00055,58320.00065,60839.99925,61455.60025,57600.00075,61200.00025,59875.20035,61679.51945,66219.83989999999,69011.99995,65209.68,64067.87872091529,64763.58686415337,65459.29500739145,66155.00315062952,66850.7112938676,67546.41943710568,68242.12758034376,68937.83572358184,69633.54386681992,70329.252010058,71024.96015329607,71720.66829653415,72416.37643977223,73112.0845830103,73807.79272624839,74503.50086948647,75199.20901272455,75894.91715596263,76590.6252992007,77286.33344243877,77982.04158567685,78677.74972891493,79373.45787215301,80069.16601539109,80764.87415862917,81460.58230186725,82156.29044510533,82851.99858834341,83547.70673158148,84243.41487481956,84939.12301805764,85634.83116129572,86330.5393045338,87026.24744777188,87721.95559100996,88417.66373424804,89113.37187748612,89809.08002072418,90504.78816396226,91200.49630720034,91896.20445043842,92591.9125936765,93287.62073691458,93983.32888015268,94679.03702339076,95374.74516662884,96070.45330986688,96766.16145310496,97461.86959634304,98157.57773958112,98853.2858828192,99548.99402605728,100244.70216929536,100940.41031253344,101636.11845577152,102331.8265990096,103027.53474224768,103723.24288548576,104418.95102872384,105114.65917196192,105810.3673152,106506.07545843808,107201.78360167614,107897.49174491424,108593.1998881523,109288.9080313904,109984.61617462846,110680.32431786654,111376.03246110462,112071.7406043427,112767.44874758078,113463.15689081883,114158.86503405694,114854.573177295,115550.2813205331,116245.98946377115,116941.69760700924,117637.40575024732,118333.1138934854,119028.82203672348
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,tajikistan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,tajikistan,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Coal mines,EMINES,TJ,25.2,25.2,25.2,25.2,25.2,25.2,32.4,35.64,36.0,29.16,25.92,26.550862656591207,27.03377984774998,27.516697038908752,27.99961423006752,28.48253142122629,28.965448612385067,29.44836580354384,29.931282994702613,30.414200185861382,30.89711737702016,31.380034568178928,31.8629517593377,32.345868950496474,32.82878614165524,33.31170333281402,33.79462052397279,34.277537715131565,34.760454906290335,35.24337209744911,35.72628928860788,36.20920647976665,36.69212367092543,37.1750408620842,37.657958053242965,38.14087524440174,38.62379243556051,39.10670962671929,39.589626817878056,40.07254400903683,40.5554612001956,41.03837839135437,41.52129558251315,42.00421277367192,42.48712996483069,42.97004715598946,43.45296434714824,43.93588153830701,44.41879872946578,44.90171592062456,45.38463311178332,45.86755030294209,46.35046749410087,46.833384685259645,47.316301876418414,47.799219067577184,48.28213625873596,48.76505344989473,49.2479706410535,49.73088783221228,50.21380502337105,50.69672221452981,51.17963940568859,51.66255659684737,52.145473788006136,52.628390979164905,53.11130817032368,53.59422536148245,54.07714255264122,54.5600597438,55.04297693495877,55.52589412611754,56.00881131727631,56.49172850843509,56.97464569959386,57.45756289075263,57.9404800819114,58.42339727307018,58.90631446422895,59.38923165538772,59.872148846546494,60.355066037705264,60.83798322886403,61.32090042002281,61.80381761118158,62.28673480234036,62.76965199349912,63.25256918465789,63.73548637581667,64.21840356697544,64.70132075813422
PD22,baseline,tajikistan,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,TJ,194.4,190.8,190.8,190.8,180.0,172.8,180.0,180.0,183.6,162.0,162.0,165.94289160369502,168.96112404843734,171.9793564931797,174.997588937922,178.0158213826643,181.03405382740664,184.05228627214893,187.07051871689129,190.0887511616336,193.1069836063759,196.12521605111823,199.14344849586053,202.16168094060288,205.1799133853452,208.19814583008755,211.21637827482985,214.23461071957215,217.2528431643145,220.2710756090568,223.28930805379912,226.30754049854147,229.32577294328377,232.3440053880261,235.3622378327684,238.38047027751077,241.39870272225303,244.4169351669954,247.4351676117377,250.45340005648004,253.4716325012224,256.48986494596465,259.508097390707,262.5263298354493,265.54456228019166,268.56279472493395,271.5810271696763,274.5992596144186,277.6174920591609,280.63572450390325,283.6539569486456,286.6721893933879,289.6904218381302,292.70865428287254,295.7268867276149,298.7451191723572,301.7633516170995,304.78158406184184,307.79981650658414,310.81804895132643,313.8362813960688,316.85451384081114,319.87274628555343,322.8909787302957,325.9092111750381,328.92744361978043,331.9456760645228,334.963908509265,337.9821409540074,341.0003733987497,344.018605843492,347.0368382882343,350.0550707329767,353.07330317771897,356.09153562246127,359.1097680672036,362.128000511946,365.14623295668827,368.16446540143056,371.1826978461729,374.20093029091527,377.2191627356576,380.2373951803999,383.2556276251422,386.2738600698845,389.2920925146268,392.3103249593692,395.3285574041115,398.3467898488538,401.3650222935961,404.3832547383385
