model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,togo,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,togo,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,316.79920000000004,331.20050000000003,331.20050000000003,658.8007,1382.4009,608.40035,719.9999,615.601,709.20105,553.5051,342.0,353.1329347268183,366.3183153428274,379.5036959588365,392.6890765748456,405.87445719085474,419.0598378068638,432.24521842287294,445.43059903888206,458.6159796548912,471.8013602709003,484.9867408869094,498.1721215029185,511.3575021189277,524.5428827349367,537.7282633509458,550.913643966955,564.099024582964,577.2844051989732,590.4697858149823,603.6551664309914,616.8405470470004,630.0259276630096,643.2113082790188,656.3966888950279,669.5820695110369,682.767450127046,695.9528307430552,709.1382113590643,722.3235919750734,735.5089725910825,748.6943532070916,761.8797338231007,775.0651144391098,788.250495055119,801.4358756711281,814.6212562871372,827.8066369031462,840.9920175191554,854.1773981351645,867.3627787511737,880.5481593671827,893.7335399831918,906.9189205992008,920.10430121521,933.2896818312192,946.4750624472284,959.6604430632374,972.8458236792465,986.0312042952556,999.2165849112648,1012.401965527274,1025.587346143283,1038.772726759292,1051.958107375301,1065.1434879913102,1078.3288686073197,1091.5142492233283,1104.6996298393376,1117.885010455347,1131.0703910713555,1144.255771687365,1157.441152303374,1170.6265329193832,1183.8119135353925,1196.997294151401,1210.1826747674104,1223.3680553834197,1236.5534359994288,1249.7388166154378,1262.924197231447,1276.109577847456,1289.2949584634653,1302.4803390794743,1315.6657196954834,1328.8511003114925,1342.0364809275015,1355.2218615435106,1368.40724215952,1381.592622775529,1394.778003391538
PD22,baseline,togo,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,14.4,32.4,32.4,32.4,36.0,3.6,72.0,180.0,54.72,66.77,64.97,67.08493207368825,69.58976885328507,72.0946056328819,74.59944241247871,77.10427919207554,79.60911597167235,82.11395275126918,84.618789530866,87.12362631046281,89.62846309005964,92.13329986965644,94.63813664925328,97.1429734288501,99.64781020844693,102.15264698804371,104.65748376764056,107.1623205472374,109.6671573268342,112.171994106431,114.67683088602784,117.18166766562466,119.68650444522147,122.1913412248183,124.69617800441512,127.20101478401196,129.70585156360875,132.2106883432056,134.7155251228024,137.22036190239922,139.72519868199606,142.23003546159288,144.7348722411897,147.2397090207865,149.74454580038332,152.24938257998014,154.75421935957695,157.2590561391738,159.7638929187706,162.26872969836742,164.77356647796427,167.27840325756108,169.7832400371579,172.2880768167547,174.79291359635153,177.29775037594834,179.80258715554515,182.307423935142,184.8122607147388,187.31709749433568,189.82193427393247,192.32677105352928,194.8316078331261,197.3364446127229,199.84128139231973,202.34611817191652,204.85095495151336,207.35579173111017,209.86062851070704,212.36546529030383,214.87030206990067,217.3751388494975,219.8799756290943,222.38481240869112,224.88964918828796,227.39448596788475,229.8993227474816,232.4041595270784,234.90899630667525,237.4138330862721,239.91866986586888,242.4235066454657,244.9283434250625,247.4331802046593,249.9380169842561,252.44285376385292,254.94769054344977,257.4525273230466,259.95736410264345,262.46220088224027,264.9670376618371
PD22,baseline,togo,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,334.8,381.6,320.40000000000003,133.20000000000002,432.0,201.6,734.4,558.0,360.18,851.112,517.8960000000001,534.7547788400009,554.7216088970438,574.6884389540866,594.6552690111295,614.6220990681724,634.5889291252153,654.555759182258,674.5225892393009,694.4894192963438,714.4562493533867,734.4230794104295,754.3899094674724,774.3567395245152,794.3235695815581,814.290399638601,834.2572296956439,854.2240597526868,874.1908898097296,894.1577198667725,914.1245499238152,934.0913799808582,954.0582100379012,974.025040094944,993.9918701519867,1013.9587002090296,1033.9255302660729,1053.8923603231156,1073.8591903801582,1093.8260204372011,1113.792850494244,1133.759680551287,1153.7265106083296,1173.6933406653725,1193.6601707224154,1213.6270007794585,1233.5938308365012,1253.560660893544,1273.527490950587,1293.49432100763,1313.4611510646728,1333.4279811217157,1353.3948111787583,1373.3616412358012,1393.328471292844,1413.295301349887,1433.2621314069297,1453.2289614639726,1473.1957915210155,1493.1626215780584,1513.1294516351013,1533.0962816921442,1553.063111749187,1573.02994180623,1592.996771863273,1612.9636019203156,1632.9304319773585,1652.8972620344014,1672.8640920914445,1692.8309221484872,1712.79775220553,1732.764582262573,1752.7314123196156,1772.6982423766583,1792.6650724337014,1812.6319024907443,1832.5987325477872,1852.56556260483,1872.532392661873,1892.499222718916,1912.4660527759584,1932.4328828330013,1952.3997128900444,1972.3665429470875,1992.3333730041304,2012.300203061173,2032.267033118216,2052.233863175258,2072.200693232301,2092.1675232893444,2112.134353346388
PD22,baseline,togo,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,334.8008,381.60085,320.39955,133.19945,431.9991,201.5993,734.3991,557.9999,360.17920000000004,851.1118,517.89,534.7485835253565,554.7151822599324,574.6817809945084,594.6483797290842,614.6149784636601,634.5815771982361,654.548175932812,674.5147746673879,694.4813734019639,714.4479721365398,734.4145708711158,754.3811696056916,774.3477683402675,794.3143670748434,814.2809658094194,834.2475645439953,854.2141632785713,874.1807620131472,894.147360747723,914.1139594822988,934.0805582168748,954.0471569514508,974.0137556860268,993.9803544206028,1013.9469531551786,1033.9135518897544,1053.8801506243303,1073.8467493589064,1093.8133480934823,1113.7799468280582,1133.746545562634,1153.71314429721,1173.679743031786,1193.6463417663615,1213.6129405009378,1233.5795392355135,1253.5461379700896,1273.5127367046657,1293.4793354392414,1313.4459341738177,1333.4125329083934,1353.3791316429692,1373.3457303775451,1393.312329112121,1413.2789278466971,1433.2455265812728,1453.2121253158489,1473.1787240504248,1493.1453227850006,1513.1119215195768,1533.0785202541524,1553.0451189887283,1573.0117177233044,1592.9783164578805,1612.9449151924562,1632.911513927032,1652.8781126616082,1672.844711396184,1692.81131013076,1712.7779088653358,1732.7445075999117,1752.7111063344876,1772.6777050690637,1792.6443038036396,1812.6109025382157,1832.5775012727916,1852.5441000073672,1872.5106987419435,1892.4772974765192,1912.443896211095,1932.410494945671,1952.3770936802468,1972.3436924148227,1992.3102911493988,2012.2768898839747,2032.2434886185504,2052.2100873531263,2072.1766860877024,2092.1432848222785,2112.109883556854
PD22,baseline,togo,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.864,0.864,0.864,0.864,0.864,1.728,1.728,2.18592,3.0153600000000003,4.71744,5.82336,6.012924581201066,6.237436914721659,6.461949248242253,6.686461581762846,6.91097391528344,7.135486248804034,7.359998582324627,7.58451091584522,7.809023249365813,8.033535582886408,8.258047916407001,8.482560249927594,8.707072583448188,8.93158491696878,9.156097250489374,9.380609584009967,9.60512191753056,9.829634251051155,10.054146584571749,10.278658918092342,10.503171251612937,10.72768358513353,10.952195918654123,11.176708252174716,11.40122058569531,11.625732919215904,11.850245252736496,12.074757586257087,12.299269919777682,12.523782253298275,12.748294586818869,12.972806920339464,13.197319253860057,13.42183158738065,13.646343920901243,13.870856254421838,14.095368587942431,14.319880921463024,14.544393254983618,14.76890558850421,14.993417922024804,15.217930255545395,15.442442589065992,15.666954922586584,15.89146725610718,16.11597958962777,16.340491923148363,16.565004256668956,16.789516590189553,17.014028923710146,17.23854125723074,17.463053590751333,17.687565924271926,17.91207825779252,18.136590591313112,18.36110292483371,18.585615258354306,18.810127591874892,19.03463992539549,19.25915225891608,19.483664592436675,19.708176925957268,19.93268925947786,20.15720159299845,20.381713926519048,20.60622626003964,20.830738593560238,21.055250927080827,21.27976326060142,21.504275594122014,21.728787927642607,21.9533002611632,22.1778125946838,22.40232492820439,22.626837261724983,22.851349595245576,23.07586192876617,23.300374262286763,23.52488659580736,23.74939892932795
