Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Natural gas,Natural gas,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000174668,12.750074222000002,23.749801108,26.750380668,27.48136861232089,28.20509722257348,28.88409289936409,29.5066399696706,30.05848364747595,30.522578401711257,30.878994212221,31.105104623278265,31.17621550322089,31.06681078864368,30.75256542291081,30.21317368894871,29.43583759639768,28.418962793830293,27.175291466504078,25.733510961177146,24.137490105564627,22.4428041959379,20.711002092297672,19.002820089099995,17.371887526357234,15.860228893099118,14.49619443360184,13.29469605932664,12.259102248812008,11.383974019889491,10.657934946173311,10.066211820014852,9.59262935182914,9.221024430753053,8.9361494947745
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.000224218,98.000978446,136.00114355600002,139.00055644000005,107.000355996,84.00067200000001,80.001084448,91.000839112,73.000917336,76.00033022000001,59.00063866800001,59.00063866800001,59.346120431550894,59.37312204507055,59.4001236585902,59.42712527210985,59.4541268856295,59.48112849914915,59.5081301126688,59.53513172618845,59.56213333970811,59.58913495322776,59.61613656674741,59.643138180267066,59.67013979378672,59.69714140730637,59.72414302082602,59.75114463434567,59.77814624786532,59.805147861384974,59.83214947490463,59.85915108842428,59.88615270194393,59.91315431546358,59.94015592898323,59.96715754250289,59.99415915602254,60.02116076954219,60.04816238306184,60.075163996581495,60.102165610101146,60.1291672236208,60.15616883714045
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Rail,0.0,0.0,0.0,130.167485776,47.333323108,47.333323108,47.333323108,47.333323108,59.16694555400001,59.16694555400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,4224.533601554001,3550.028900004,2840.0221922180003,1952.515842224,2260.18530356,2331.18587156,2402.1864117820005,2473.1869797820004,2840.0221922180003,2911.0227602180003,4165.366656000001,4437.535277776001,4615.0372255580005,4745.204739112,5822.046659334001,5620.878633336,7419.559744892002,7928.397260004001,9277.407802002,9703.411126668,9774.41166689,10164.914151996,9762.578044444,7940.229715774001,8602.901933776,9005.239180226,10768.419452222002,11324.590262664,11396.194418826002,12478.409465366,12787.659463936128,12897.818258598483,12991.40174771751,13064.320105827575,13111.65348980779,13127.58536634445,13105.392927696434,13037.53520927041,12915.890119859145,12732.196194416509,12478.745312150311,12149.338700475451,11740.452286416745,11252.461313544994,10690.670868022416,10065.835270709227,9393.88218204454,8694.719113032268,7990.259785940046,7302.064196580044,6649.11644973255,6046.202677867282,5503.134232236604,5024.7999365678215,4611.836225824956,4261.62704015045,3969.372139734483,3729.0445440052863,3534.1478225938613,3378.254098276306,3255.34581209948
pathway,Transportation,Oil products,Liquified petroleum gases (LPG),Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.6699566660001,460.00390222400006,472.78189333600005,587.7825633340001,741.117206668,680.6267783040001,661.766238532,678.1666627116836,684.0087030283809,688.9717068274538,692.838778804885,695.3490054135337,696.1939190251351,695.0169896505452,691.4182980702768,684.9671062353708,675.2252846980389,661.7840494608525,644.314661638576,622.6302294223159,596.7506530667537,566.9572766746295,533.8204330662752,498.1848122614125,461.1061672958885,423.7466464064263,387.2496386900889,352.621926273013,320.6476606365298,291.84716618826616,266.47971142697145,244.57904834430607,226.00643970003807,210.5073148574357,197.7620455598887,187.4261072667406,179.15861100940833,172.6404281870379
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,4265.590152226001,3666.696194446,1222.2320555560002,1173.342636666,1405.56652222,1442.233871112,1491.1233177800002,1540.0127366700003,2505.575627778,2200.018183338,3923.364192218,3788.9191722220007,3251.1366755520003,3165.5810744460005,3361.1375833300003,3226.692563334,3630.028845554,3740.029753332,3630.028845554,3617.806775556001,3190.025186664,2786.6889322220004,2346.685273332,2420.0188322180006,2297.7958544420003,2358.90734333,2420.0188322180006,2297.7958544420003,2171.3802320140003,2079.3222455560003,2130.853684979412,2149.2098411001757,2164.8039944481657,2176.954642697729,2184.841974696304,2187.496760579719,2183.798754716709,2172.491379057374,2152.2212203342187,2121.6116409157435,2079.3782089134834,2024.4880005588177,1956.3537868982023,1875.038096117336,1781.4249338022094,1677.306331113732,1565.33637139182,1448.8323147888195,1331.4457236549224,1216.7692176289358,1107.9661863632966,1007.5004962870852,917.0070481442318,837.3004842141877,768.4868559438313,710.1302398709114,661.430754772724,621.3841032016496,588.9077616020658,562.9306296754562,542.4499799323968
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.782490704000001,6.8082489100000005,6.97697642062756,7.037079312407839,7.088138679353361,7.127923103281727,7.153748306468426,7.1624407749569805,7.15033252937849,7.113309202103381,7.04693936148469,6.946715533188335,6.808432148778114,6.628707143671752,6.405617775547116,6.139368778159651,5.832854618723441,5.491942879439373,5.125323728483475,4.743858749655308,4.359504120235052,3.984023023535072,3.6277732307950794,3.2988220899050003,3.0025226966784446,2.7415424045874213,2.5162284540123743,2.325153516676961,2.1656985706983303,2.034575281611885,1.9282391820637212,1.843183207453603,1.7761241637737275
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Transformation processes,BKB/peat briquette plants,4265.590152226001,3666.696194446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.561075552,415.558352218,440.003631112,110.000907778,317.780653336,220.001815556,0.0,0.0,48.88941889,1185.564706664,1075.563798886,904.45140222,1332.232963334,1784.458664444,1857.79222333,1588.9021555600002,1711.125133336,1735.5692455540002,1422.8732717840005,225.3795808,230.9651191840053,232.81064560031635,234.31523443814396,235.39396766437773,235.9442204180196,235.84393152247287,234.95089952645907,233.10391488643097,230.1267861913273,225.83647604535503,220.05647312038383,212.6359773021498,203.47426197906452,192.5476613611416,179.9343471172533,165.8302630159417,150.54949747667612,134.50495689959655,118.1702973640692,102.02994769273585,86.52806010259458,72.02736295038505,58.78517391161884,46.94822679781397,36.56302207468514,27.59576982866072,19.955825075939156,13.517963770619978,8.140825079966088,3.680574832226556,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Transformation processes,BKB/peat briquette plants,298.613111108,238.89024444000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Supply,International aviation bunkers,-298.613111108,-238.89024444000003,-191.112667778,-358.33594999800005,-430.00291221800006,-441.94817444600005,-453.892297776,-465.83756000400007,-477.781655556,-477.781655556,-119.445705558,-95.55632,-95.55632,-83.612224448,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-59.722866668,-35.83348111000001,-47.777576662,-71.66696222000002,-119.445705558,-119.445705558,-88.281706248,-107.847029436,-110.51978142345833,-111.619160124981,-112.6164149978786,-113.48633822484338,-114.1986004402194,-114.71733563252164,-115.00107598779574,-115.00328660350443,-114.67381564817462,-113.96160463798476,-112.81894585402613,-111.20736670719502,-109.1048144300682,-106.5132228553528,-103.46490482545508,-100.02581554052456,-96.29392557258466,-92.39193045465716,-88.45512113914806,-84.61682664824264,-80.99465850958224,-77.6804230175296,-74.73523866680831,-72.18978282181999,-70.04837920989804,-68.29515095493777,-66.90062028643918,-65.82763863047965,-65.03608695778414,-64.4862218213024,-64.14080591650925
