Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Domestic navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.406340572,198.873424308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.28602092,554.75193798,554.75193798,617.554440396,743.1594452280001,722.2252777560001,871.63127855,1217.3881279160005,1220.08864952,1259.5828781888072,1269.0016146529945,1276.8041539454302,1282.5937260757205,1285.8936006864994,1286.140881163008,1282.68590130502,1274.8011563370842,1261.7047087848205,1242.6034272420443,1216.7604518893104,1183.5879545068549,1142.7598151690318,1094.3295348894642,1038.8287729143192,977.3158736094636,911.3471221414968,842.8593031038628,773.9773326451534,706.7854345783242,643.1126729809764,584.3773825702118,531.5138274253467,484.9790867562658,444.8194050646008,410.767966482674,382.3488001386663,358.96955878979503,339.9946600410698,324.7970586537854,312.7909729452395
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.973336632,3463.57312503,11506.10927036,15861.993144930002,23646.227251638004,18788.315277542,19908.287431692,21227.133010150003,24199.769679942,28313.311476902003,28009.767215234,31154.167564680003,39182.042814946006,42956.976791954,44347.49269013036,44679.10830171792,44953.82071661937,45157.66042591758,45273.8426698286,45282.54894022515,45160.90573861464,44883.299019847655,44422.19826804492,43749.678850498974,42839.79734893827,41671.85746133263,40234.37713178157,38529.24002816562,36575.164850890586,34409.41387133344,32086.78089960758,29675.456399466857,27250.25458520283,24884.55697216491,22642.761391742995,20574.8046838132,18713.580491299366,17075.181694844912,15661.236474487516,14462.350756247337,13461.766520367017,12638.628358699783,11970.558636471533,11435.480295775733,11012.769089219457
pathway,Transportation,Biofuels and Waste,Biogasoline,Final consumption,Road,7559.877978540001,10228.99363685,13824.449678046,15088.354705872,19413.892171006,20936.858687974003,25176.042712286,31134.451045838003,33144.138123206,37273.41660161401,35428.587287542,37304.81785282201,45021.703254078006,45068.80513089,46277.75794132401,47431.757423246,32296.30084056201,38670.778085972,41088.682595720005,39447.961386722,44071.811905008006,52377.47193309,48185.390952266,60149.30952396001,68415.717988032,67944.698053236,68941.69125134,74970.36048030801,63435.72142615601,65543.17686899801,67664.80730623113,68170.78194192467,68589.93444618954,68900.95033038837,69078.21963401223,69091.50354417271,68905.90198481061,68482.33339067307,67778.7920712687,66752.6709979555,65364.386052405214,63582.35909560987,61389.07096125686,58787.39572443891,55805.89412622946,52501.42043864195,48957.57831947055,45278.41186027796,41578.071582023214,37968.52201290751,34548.020497091966,31392.759992571057,28552.92917687825,26053.08235064439,23895.703769051157,22066.460080490426,20539.78212402588,19283.84899867888,18264.51721057617,17448.101881982482,16803.134813885295
pathway,Transportation,Biofuels and Waste,Other liquid biofuels,Final consumption,Road,60535.699587278,60762.836459914,55641.26098763801,57348.45281173,57854.01646731801,58953.06606520001,58000.55677852,49230.13383792001,45742.48060358401,41793.225482018,32260.794167622003,25234.198983088,25747.088419504005,22318.050848534,28677.890476844004,33550.347039518005,42078.97801802,61488.21001285601,86993.507636938,97698.259302044,95866.50803704,72500.69511203202,67056.73231067801,78164.46900519401,82875.731306102,111443.716237042,92496.086129436,86089.67032296401,119361.71619164602,137886.1155801,142349.48451736246,143413.9260112083,144295.7159000974,144950.01394002303,145322.94331049194,145350.88926702386,144960.43095711918,144069.35074225438,142589.2793707269,140430.5825288446,137509.98533467954,133761.0554434316,129146.93700058712,123673.67632659244,117401.3579311224,110449.5886916059,102994.24936592203,95254.22216759724,87469.65065814894,79876.07962826187,72680.21745187817,66042.35466592766,60068.07543830963,54809.03575056956,50270.46184155444,46422.19999777498,43210.45923062534,40568.29648607908,38423.88256745378,36706.35308936889,35349.50699271483
pathway,Transportation,Biofuels and Waste,Primary solid biofuels,Final consumption,Rail,28.889147778000005,18.055727778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Coal,Sub-bituminous coal,Final consumption,Rail,60.63815176800001,32.796873484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Natural gas,Natural gas,Final consumption,Road,20.500358446000003,20.500358446000003,0.0,255.75157377400004,470.753599332,501.5035675520001,368.50297577800006,481.004375782,1351.0109191120002,1627.262851332,3203.275375998,5854.046887556001,10029.830626892,13591.358202218,16170.379028664,19902.409579114,23606.938465108,26189.960045782,25101.450782222,21551.172991338004,20546.664399778,20182.41104133,19873.408791554,19158.903547780003,18539.648788226004,18058.644412444,18528.397837108,20172.163764908,22635.862918788,23381.594940152005,24778.942189912326,26545.089642073395,28257.01352487672,29899.04639988001,31451.73937749391,32891.34700920426,34189.48103829148,35313.10578530499,36225.10858744952,36885.72200187004,37255.06404229029,37296.948685379866,36983.854676880335,36302.52009950124,35259.136959248746,33882.754972241455,32225.53432384161,30359.093374605596,28367.28422853346,26336.87466232287,24348.272168257707,22468.276102116008,20746.01194613324,19212.144513231466,17880.651231029457,16752.085437971906,15817.32365682039,15061.080932893316,14464.810077541795,14008.865314211362,13673.975669194542
pathway,Transportation,Natural gas,Natural gas,Final consumption,Pipeline transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.793493774,3598.5287324440005,5125.541337336001,9055.072967782,10013.829943332,8995.322212002002,11185.339676446,7937.924614,14779.293122288002,14866.632793222,15755.102912560673,16874.2069557816,17957.07614757821,18993.102833249995,19969.02880577731,20868.523022503105,21671.834782933394,22355.62803813148,22893.14761783088,23254.90963817506,23410.125754657103,23329.03233525372,22986.163774526965,22364.36037645831,21458.95762293103,20281.264300108425,18860.275144265062,17241.756684654592,15484.44661738266,13653.947290171947,11815.617714999122,10028.034032281765,8338.28764229809,6779.710247746956,5371.893839595714,4122.386267980081,3029.2818016410165,2084.0224932197084,1273.9466314722567,584.34985998309,0.0
pathway,Transportation,Oil products,Fuel oil,Final consumption,Domestic navigation,8909.520025590002,8194.971781472,8820.200922154001,10506.087575806,9512.419404302,9143.98037348,11667.22792041,8708.553195646002,8987.673095254002,8777.525469642,7539.52531572,8264.480198646,8632.534254166001,8130.642239062001,9179.038126162002,9469.019390438,8521.002834144001,10818.550964382,12067.70320752,11465.433028286,11207.999746614,11441.732060902,10907.487453646005,11130.088595552,13171.864235182,8420.624642236,10082.442825564,10757.096389416,11348.949485314002,11386.02275412,11754.58792883609,11842.484777756445,11915.29906871681,11969.328093606136,12000.12294397939,12002.4305968973,11970.188284591915,11896.606839792255,11774.389122344528,11596.133528896902,11354.96358971572,11045.393616946756,10664.38021788619,10212.422670810814,9694.482487555597,9120.436272608413,8504.807477462535,7865.67042274988,7222.855096748742,6595.811741675805,6001.609416582233,5453.484201787464,4960.154768733635,4525.886638853338,4151.111371728766,3833.339007682213,3568.127725884538,3349.949666382849,3172.873493274357,3031.04754048663,2919.005218710094
