Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Oil products,Fuel oil,Final consumption,Domestic navigation,33.500490224,33.500490224,55.833752222,78.16701422000001,89.33424244600002,44.66652399600001,122.834704892,145.167994668,122.834704892,212.16778066200004,234.502209336,234.502209336,189.83451866400003,78.16701422000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,-390.836265554,-871.0067457760001,-1049.67520289,-848.6734837780001,-1038.508002442,-859.840684226,-826.3401940020001,-837.5062555520001,-848.6734837780001,-826.3401940020001,-871.0067457760001,-871.0067457760001,-848.6734837780001,-848.6734837780001,-848.6734837780001,-848.6734837780001,-558.3374944420001,-558.3374944420001,-268.00269956000005,-178.668457114,-212.16778066200004,-134.000766442,-223.335008888,-189.83451866400003,-33.500490224,-67.00095267,-67.00095267,-71.93676993400001,-76.82722572400002,-82.08635113000001,-86.27757021630873,-89.46758171180326,-92.5587793895061,-95.5244381993429,-98.33175105768834,-100.94108476527234,-103.30553238610524,-105.37103655621654,-107.07745014466364,-108.36096472399292,-109.15831795501856,-109.41301222718798,-109.08336665139124,-108.15156963075012,-106.6321206981711,-104.5774491449712,-102.07848897733794,-99.25888113038762,-96.2631686787618,-93.24123459690476,-90.33243622233783,-87.65283077395313,-85.28765074827085,-83.28944828181695,-81.68086550551833,-80.46025340686528,-79.60835515368514,-79.0947124380399,-78.88302646575056,-78.93519521399382,-79.21407253013439
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Domestic navigation,360.83644222400005,384.89210689,360.83644222400005,348.80859600200006,336.78074978000006,396.919953112,384.89210689,445.031338,360.83644222400005,517.1983875540001,493.1426951100001,481.1148488880001,457.059156444,396.919953112,481.1148488880001,493.1426951100001,469.087002666,505.1705413320001,625.448947996,625.448947996,637.476794218,637.476794218,890.0626482220001,950.2018515540002,962.2296977760002,1130.620656004,1094.53597844,1176.903776266,1266.5113264540005,1308.415717242,1375.2216703808624,1424.1868045219655,1470.942479505422,1514.8913239974677,1555.3001402040284,1591.283366679654,1621.7932153192069,1645.622629798186,1661.4292619040823,1667.790077198783,1663.2957378669005,1646.6898680014103,1617.0490826517544,1573.984988007118,1517.8319815631824,1449.7713676823917,1371.842351399494,1286.810650436115,1197.9034826452328,1108.461680704423,1021.5862519639844,939.8549259566596,865.156327923575,798.6505244726071,740.8322376932032,691.6569136389195,650.6899209941615,617.2491527199375,590.5241029681209,569.6653747512664,553.8457347858354
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Rail,192.445483996,204.47333021800003,192.445483996,192.445483996,192.445483996,228.53016156,228.53016156,264.61370022600005,216.50114866200005,312.7250573360001,300.697211114,288.66936489200003,276.64154644800004,240.558007782,144.33409910800003,144.33409910800003,36.083538666,84.19489577600001,120.278434442,0.0,72.16704955400002,72.16704955400002,96.222741998,108.25058822,108.25058822,132.306252886,132.306252886,142.265110334,153.10319703800002,158.166931992,166.24272358295417,172.16184006834763,177.813867606611,183.126593375874,188.01138526624703,192.3611927928792,196.049354812998,198.9299571549284,200.8407309803803,201.60965375230424,201.0663586404469,199.0589695093997,195.4758636059712,190.2700902120893,183.48207273849488,175.25461234868223,165.83421693750364,155.55521838512593,144.80773669694852,133.9956261281197,123.49374981442868,113.61371481342329,104.58382628540932,96.54431808256116,89.55499434361336,83.61046919546438,78.6582025311518,74.6157383114934,71.38509909577957,68.86360611473442,66.95125984314994
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,1900.403730886,1996.6276117820005,1888.375884664,1840.264499776,1792.153142666,2140.961738668,2080.8225075580003,2405.5742722180003,1960.5429342180005,2838.577736218,2706.271483332001,2634.1044337780004,2489.770306892,2285.295837776,2790.466379108,2838.577736218,2694.24363711,2886.6902877820003,3584.306285332,3560.2505928880005,3632.4176424420007,3632.4176424420007,5087.791229782,5436.598631330001,5472.682169996001,6410.857342004,6170.299334222001,6634.611048686001,7139.745506396001,7375.960840548,7752.567516678745,8028.599749567428,8292.176549514705,8539.930341898033,8767.727854588236,8970.576892476778,9142.570736521046,9276.904821425367,9366.011897943676,9401.869862587031,9376.53382414049,9282.9211869358,9115.826532583133,8873.06036006876,8556.507775785713,8172.828172924812,7733.517207097606,7254.166119942279,6752.967777987258,6248.755531122723,5759.010756620922,5298.264946148064,4877.164888517097,4502.250252855632,4176.309946932524,3899.092805800791,3668.148672739094,3479.6322906610444,3328.9745770357385,3211.3872074530345,3122.20680144068
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Supply,International marine bunkers,-48.11135711000001,-108.25058822,-96.222741998,-156.36194533000003,-180.417637774,-120.278434442,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-180.417637774,-445.031338,0.0,-709.645010448,-529.2262337760001,0.0,0.0,0.0,0.0,0.0,-384.89210689,-793.8399062240001,-853.979137334,-829.92344489,-886.297979216,-947.038465136,-995.3929800572496,-1032.1964625957155,-1067.8599202086311,-1102.0750233131282,-1134.4632732953153,-1164.5674179605403,-1191.8462872841603,-1215.6762160368264,-1235.3632807369106,-1250.1713171577603,-1259.370461347832,-1262.3088947082365,-1258.505740641283,-1247.7555049675266,-1230.2254702522146,-1206.5205184872204,-1177.6897644213782,-1145.159665922636,-1110.5978309388454,-1075.7334743774036,-1042.1743758169466,-1011.2594990307996,-983.9721798789824,-960.9187176308612,-942.3603368216392,-928.2780126286182,-918.4495770478226,-912.5236295260164,-910.0813872344784,-910.68326331478,-913.9006988787112
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,2115.57206333,1928.904431112,1879.126477336,1779.5693753300002,1804.4589355560004,1916.460220448,2003.5719451140003,2028.460338664,2003.5719451140003,1543.1237893360003,1169.7873304460002,1144.8977702200002,2003.5719451140003,945.785927338,933.340549998,1194.6757239960002,1717.34721089,1456.01206467,1630.2354862240002,1742.235632218,1306.677008888,1704.9030280040004,2949.3567057760006,3310.2489540020006,3832.9193019980007,4430.257163996001,7392.059219334001,5729.829338268,6646.220197114001,7417.955954284001,7796.706844645237,8074.310670071564,8339.388147412774,8588.552528723376,8817.647009044102,9021.650970148956,9194.62406302584,9329.722980512131,9419.3373891454,9455.39951150272,9429.919222044116,9335.773600265413,9167.727590670233,8923.579226296873,8605.22434641224,8219.360259535135,7777.54807191809,7295.467794104117,6791.415873906247,6284.332889098289,5791.799747365232,5328.430675580055,4904.933080164285,4527.883863923249,4200.087813302702,3921.292333345279,3689.0333173355502,3499.4436151738387,3347.928130207865,3229.671275650079,3139.983120020492
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Transformation processes,BKB/peat briquette plants,4268.479064226,5624.934054668001,7168.057816226001,5649.822448218001,7080.946091560001,7093.390302224001,6844.499311112001,7952.063310442,7715.617724448,7329.835888218001,6894.277292666001,5973.380925554,6060.4926502200005,4467.5909071080005,7329.835888218001,8312.955586446,7528.948897776,7018.722760444,5799.157476222001,6545.8303940020005,6110.270603996001,4853.372743338001,6956.500596004001,8051.620412448001,6819.609750886001,7976.952898446,11050.755072000002,8618.518836488001,9590.164248478,10505.65960016,11042.064500905562,11428.14594076662,11794.035783560425,12134.230278405552,12441.946497069675,12708.948392625576,12925.423537969324,13079.964405039942,13159.728338898958,13150.867132907078,13039.319892567137,12812.03627088214,12458.624442462387,11973.291163562291,11356.775760568682,10617.829011809856,9773.736934666837,8849.518021596197,7875.742247014899,6885.332848024064,5910.038445909118,4977.34647926157,4108.417097317314,3317.259437371132,2611.0207249193218,1991.040228944358,1454.267133323813,994.7099166717362,604.7050272882141,275.90870384185735,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Transformation processes,BKB/peat briquette plants,4906.039609114,6157.327147112001,6182.105039778,4559.147667334,5104.26291711,5599.822353776,5401.59904578,8003.285747996001,7792.672896440001,7272.335567108001,6640.4970124400015,6950.2226846700005,6776.776130442,7582.061211560001,11645.64830333,9935.968792670004,12091.651899108,11558.926165114,9291.740722220002,9576.68730733,9167.851147778,7730.728706446001,10543.02823244,11348.313341336,9130.683711552,10778.41900444,3629.973011774001,7849.897604234,4451.028496832,6836.615275818001,7185.683690180569,7436.928292606458,7675.033103129033,7896.416525848342,8096.664533227532,8270.41747281469,8411.289854161354,8511.858166172628,8563.764981111844,8557.998502989392,8485.408528032294,8337.502471764186,8107.517797142474,7791.68451920715,7390.483758636247,6909.610132147938,6360.312609819592,5758.872112051855,5125.182216405262,4480.667898965229,3845.9897481695098,3239.0353645800924,2673.5748307058825,2158.724669038155,1699.1359755449307,1295.6802868200546,946.372267634696,647.3129027730988,393.5150941745328,179.54909365116487,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Supply,International aviation bunkers,-1040.6746864420002,-1065.452606886,-1040.6746864420002,-1028.286309558,-1015.896765998,-1003.508389114,-1139.7863404400002,-1152.1758840000002,-1176.9537766660003,-1313.232894668,-1437.12246911,-1276.065430664,-1226.5096175540002,-1090.230499552,-1090.230499552,-1090.230499552,-1090.230499552,-582.2827137800001,-656.616447334,-669.0048242180001,-681.3943677780002,-693.78388356,-706.172260444,-693.78388356,-817.6734580020001,-1548.6236388900002,-2056.57145244,-1973.058089894,-1858.348144444,-2129.6177312500004,-2238.3531587465995,-2321.113629277658,-2401.3105109103817,-2478.2504588959364,-2551.0823384715127,-2618.777920671515,-2680.120269413063,-2733.706940571994,-2777.9774993771684,-2811.276523743944,-2831.9627590983746,-2838.57045246753,-2830.018250383007,-2805.844055407029,-2766.4240380228407,-2713.118404243849,-2648.2863120699494,-2575.13545588769,-2497.4158074091606,-2419.0158747187743,-2343.5510926955308,-2274.032406615834,-2212.671056635564,-2160.830435818488,-2119.097963179234,-2087.430857351213,-2065.329526250258,-2052.0037708754926,-2046.5118688255368,-2047.8653154064425,-2055.100404664532
