Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,-17566.807783338,-17322.36066111,-17355.694844448004,-17711.252383330004,-18466.814149998,-19044.597188892,-19589.046016670003,-20833.49972222,-25100.200549998004,-26433.54535556,-26811.325655556,-29589.125711112003,-32800.26184444001,-37866.970044448,-35966.95476111401,-40400.322949998,-39366.98104444,-42689.22995555201,-41444.77625000201,-43878.12899444601,-42355.89403888601,-42178.115255556,-42533.67396111401,-38911.422177776,-36544.736605554,-37311.40979444601,-37911.41442777801,-42206.082145956,-41231.00817876001,-42228.104905470005,-43274.63582897282,-43705.10368127736,-44095.58437982273,-44436.20766337615,-44715.0978999306,-44918.21155297469,-45029.31166904734,-45030.17724793755,-44901.17106076919,-44622.300873890505,-44174.88646430961,-43543.863675534165,-42720.59762368212,-41705.845511718224,-40512.259613015776,-39165.66505345487,-37704.42275604549,-36176.57483995378,-34635.095230941406,-33132.18965006746,-31713.90954588182,-30416.20218415162,-29262.998851814933,-28266.31144172548,-27427.83293339665,-26741.34664758169,-26195.31039909883,-25775.178456972484,-25465.241991893283,-25249.93923586336,-25114.6897149456
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,177.50197556,366.83640689,437.836947112,437.836947112,591.6716777800001,568.0044328880001,579.838055334,603.5053002260001,639.0050008880002,662.6722457800001,686.3383239960001,710.0055411100001,721.839163556,733.6727860020001,816.5069764480002,840.1730268860001,875.673894224,852.006649332,852.006649332,946.674462224,958.50808467,923.007217332,946.674462224,1005.84138,1088.6755704460002,1183.3433555600002,1278.0100017760003,1381.031687054,1490.2068660040002,1607.9975861,1647.848278015695,1662.0436028602917,1674.102994325195,1683.4994277527728,1689.5989204319785,1691.6519400162526,1688.7921694762067,1680.0478621403922,1664.372385976772,1640.7011489082322,1608.0408641171207,1565.592742993294,1512.902665093514,1450.0189851987104,1377.625329356463,1297.107524985833,1210.5180483747151,1120.4222288407932,1029.643920867013,940.961396902162,856.8209939369983,779.128088244441,709.1469939323064,647.5076964786476,594.2922084098765,549.1634180173475,511.50275495775554,480.5335681492643,455.4187120902287,435.3298752006777,419.4916204910075
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Supply,International marine bunkers,-2307.5186266680003,-2283.851381776,-2283.851381776,-2331.18587156,-2425.8524899980007,-2508.686652666,-2579.687220666,-2745.35557378,-3301.5263842220006,-3479.0283597820007,-3526.3616828900003,-3893.198062002,-4319.201386668,-4981.8736324480005,-4733.3711166660005,-5313.209172000001,-5183.041686224001,-5620.878633336,-5455.210280222001,-5774.713364004001,-5573.544143552001,-5549.878065336001,-5597.2113884440005,-5123.874740670001,-4816.205279334001,-4922.705547996001,-5005.539710664,-5572.574191348001,-5443.838383692001,-5575.485214636001,-5713.661381994473,-5770.497158813554,-5822.053328956971,-5867.026696468116,-5903.849291133364,-5930.666908735978,-5945.335742582395,-5945.450027187761,-5928.417008756934,-5891.597061301904,-5832.52378697388,-5749.208226477105,-5640.510293901441,-5506.529964700297,-5348.937751042812,-5171.1434106681245,-4978.211834826761,-4776.486147977898,-4572.960633680002,-4374.528147450405,-4187.268980390906,-4015.929342383287,-3863.6689427441047,-3732.073742556758,-3621.367270257266,-3530.728721708148,-3458.6341525370576,-3403.163052501537,-3362.2413444970234,-3333.814368301846,-3315.9570264710533
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,146.66825667,146.66825667,195.55767556,195.55767556,195.55767556,195.55767556,195.55767556,207.779745558,220.001815556,232.223885554,244.445955552,256.66916444800006,256.66916444800006,256.66916444800006,293.33537444200005,293.33537444200005,305.55744444000004,305.55744444000004,305.55744444000004,342.224793332,342.224793332,330.002723334,330.002723334,354.44686333,391.1142122220001,415.558352218,452.22570111,491.0678729560001,529.886822394,571.7597962640001,585.9296082635067,590.9770760652045,595.2650645961851,598.6061783569279,600.774990500505,601.5049879018554,600.488132008866,597.3788963831328,591.8051274079005,583.3882853674527,571.77518473875,556.681798221664,537.9466530538286,515.5869428678286,489.8457463181744,461.2158255891062,430.4269849006972,398.3913849307419,366.1131108083508,334.5800399426788,304.6620226068362,277.0365582939985,252.1532023909073,230.23596043817696,211.3139938386589,195.26743492369508,181.87633706120096,170.86454444835837,161.934391127456,154.79135224080676,149.15970368345924
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Supply,International aviation bunkers,-83.612224448,-95.55632,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-47.777576662,-59.722866668,-71.66696222000002,-71.66696222000002,-71.66696222000002,-83.612224448,-83.612224448,-71.66696222000002,-59.722866668,-83.612224448,-71.66696222000002,-83.612224448,-83.612224448,-95.55632,-119.445705558,-113.03170980200002,-85.30790468000001,-95.544708796,-97.91257476005214,-98.88654519245836,-99.77004126021922,-100.54073065083011,-101.17174372843074,-101.63130578730198,-101.88267932777048,-101.88463777424091,-101.5927502123085,-100.96178249881876,-99.949469027252,-98.52172585165476,-96.65901580672336,-94.36305212910264,-91.6624616723482,-88.6156759985052,-85.3094899856848,-81.85260304855284,-78.36487323714516,-74.96442047247743,-71.75544010622792,-68.81926591000258,-66.2100444728262,-63.95495373241032,-62.05782420009248,-60.50459010593966,-59.26913626612984,-58.31855171690086,-57.61729388476411,-57.13015293506,-56.82413929509643
pathway,Commercial,Electricity and Heat,Electricity,Final consumption,Commercial and public services,0.0,9.000516448,13.000131778000002,16.000683560000002,16.000683560000002,13.000131778000002,15.000481114,14.000306446000002,15.000481114,14.000306446000002,17.999893998,9.999552218000002,8.000341780000001,7.000139334,3.000551782,3.000551782,3.999587552,4.999789998,4.999789998,4.999789998,4.999789998,3.999587552,16.000683560000002,9.000516448,16.99971933,15.000481114,32.000200444,31.924616506000003,32.20836877600001,32.85501283800001,34.08698542323364,35.00322942580305,35.91947342837245,36.835717430941855,37.751961433511255,38.66820543608066,39.58444943865006,40.50069344121947,41.41693744378887,42.33318144635828,43.24942544892768,44.16566945149708,45.08191345406649,45.99815745663589,46.914401459205294,47.83064546177469,48.7468894643441,49.66313346691351,50.57937746948291,51.49562147205231,52.41186547462171,53.32810947719112,54.24435347976052,55.160597482329926,56.07684148489933,56.99308548746873,57.90932949003813,58.82557349260754,59.74181749517695,60.658061497746345,61.57430550031575
pathway,Industrial,Electricity and Heat,Electricity,Oil products,Other oil products,73.000917336,76.00033022000001,81.000120218,82.000294886,85.00087444600001,90.00063666600002,90.00063666600002,92.00101378,95.00042666400002,100.00135556,100.00135556,109.00073311,114.00049533000002,120.00045999600002,126.000424662,135.00096888800002,139.00055644000005,142.00110822200003,153.00086288600002,161.001204666,163.00158178000004,159.00082755200003,151.00165244800002,170.00172111400002,171.00192356000002,198.00116733,172.00093155200005,170.82744994200002,172.345184306,175.80979535600002,180.08880131869455,183.14931961908005,186.2098379194655,189.270356219851,192.33087452023648,195.391392820622,198.45191112100744,201.5124294213929,204.5729477217784,207.6334660221639,210.69398432254937,213.7545026229349,216.81502092332036,219.87553922370583,222.93605752409127,225.9965758244768,229.05709412486223,232.11761242524776,235.17813072563325,238.23864902601872,241.2991673264042,244.35968562678968,247.4202039271752,250.48072222756065,253.54124052794612,256.60175882833164,259.6622771287171,262.7227954291026,265.7833137294881,268.8438320298736,271.90435033025904
pathway,Industrial,Oil products,Other oil products,Final consumption,Non-energy use industry/transformation/energy,122.222977776,122.222977776,155.55713333600002,155.55713333600002,155.55713333600002,155.55713333600002,155.55713333600002,166.668527782,177.778755552,188.89014999800003,200.00154444400005,200.00154444400005,211.11293889,211.11293889,222.22433333600003,222.22433333600003,233.335727782,233.335727782,233.335727782,222.22433333600003,233.335727782,233.335727782,244.445955552,244.445955552,244.445955552,255.55734999800003,277.78011111200004,295.84631119600004,313.347284536,332.1694073340001,331.0076619536693,334.66000206515974,338.31234217665025,341.9646822881407,345.6170223996312,349.26936251112164,352.92170262261214,356.5740427341026,360.2263828455931,363.87872295708354,367.5310630685741,371.1834031800645,374.835743291555,378.48808340304544,382.1404235145359,385.7927636260264,389.4451037375169,393.0974438490073,396.7497839604978,400.4021240719883,404.0544641834788,407.7068042949692,411.3591444064597,415.0114845179502,418.6638246294406,422.31616474093113,425.9685048524216,429.6208449639121,433.2731850754025,436.92552518689297,440.5778652983835
pathway,Industrial,Oil products,Lubricants,Final consumption,Non-energy use industry/transformation/energy,11.667315560000002,0.0,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,11.667315560000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Electric Power,Natural gas,Natural gas,Electricity output (GWh),Electricity output -main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.344051640000004,20.2255078691584,20.04009697600399,19.83378911709608,19.6018913599201,19.338881638304777,19.038386830276675,18.693238120955645,18.295647728642106,17.837559387295883,17.311225005415654,16.710042968361023,16.02964968062505,15.269178951620646,14.432500039341202,13.529142969728197,12.57457123924275,11.589525590189632,10.598364422067224,9.62662137495484,8.698270690074228,7.833303357185166,7.04611038502989,6.344898172218236,5.732057466568308,5.205195980626869,4.758476999253248,4.383957822718363,4.07273144960083,3.8157863285006544,3.6045811917086006,3.431377950349569
