Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Domestic navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.222859560000002,0.0,10.222859560000002,5.1928470980000005,3.5169448020000003,4.712509922000001,4.921852354652856,4.910438540168939,4.893263953026562,4.868982852883637,4.835997540129414,4.792446274250182,4.736212389705325,4.664967661114133,4.576265729801569,4.467701839498512,4.337150627171411,4.18308123054411,4.004926513382856,3.80345248873754,3.5810433639859416,3.341802490995371,3.0913872228127874,2.8365539533056934,2.584474973721879,2.3419665640953724,2.1147996459850766,1.907233496203906,1.721836056001307,1.5595693895835037,1.4200604513570858,1.3019590615614487,1.2032993507704457,1.1218108066520107,1.0551551853645462,1.0010876998651308,0.9575533322009956
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.222859560000002,30.667384226000003,30.667384226000003,20.444552444000003,19.514128334,19.197792470000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.778794196,989.35805369,801.806525512,907.3077584040002,1487.56217818,1234.3599303560002,1234.3599303560002,1400.45509244,1523.123518224,1615.124532004,1707.1243791080003,1902.1459114900003,1822.698414804,1864.0375788480003,1946.8431681775116,1942.3284234940688,1935.5349999544944,1925.9305887444757,1912.8832183321852,1895.6564755668703,1873.413111471898,1845.232194383782,1810.1460649071903,1767.2035195162316,1715.5638689330444,1654.621579194195,1584.152319047433,1504.459085650223,1416.4849543958264,1321.8530098414133,1222.8010231218757,1122.001491966655,1022.2914226916248,926.3670010537762,836.5109203160271,754.4079412893665,681.0738154668365,616.8890882188123,561.7062010220759,514.9910890462875,475.9661508548248,443.7332832329971,417.3675917060149,395.981148720669,378.76109005967993
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Transport not elsewhere specified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5537902080000003,1.267676808,1.635179748,1.7078188536861107,1.7038584082758212,1.6978990495603363,1.689473823116247,1.6780283479257647,1.662916624206516,1.6434041965021522,1.618683200839053,1.5879047825245016,1.5502345223603995,1.5049349469732936,1.4514748670325763,1.38965749362976,1.3197486233459912,1.2425755451809113,1.159562068947848,1.0726712226897743,0.9842473873426482,0.8967792548326964,0.8126319858180017,0.7338080151404224,0.6617852565446252,0.5974547522978203,0.5411503261865529,0.4927425362341434,0.4517628875966037,0.4175292491111237,0.3892537824825213,0.3661251474613429,0.3473644320936803,0.3322585718356359
pathway,Transportation,Biofuels and Waste,Biodiesels,Supply,International aviation bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051167076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Biofuels and Waste,Biodiesels,Supply,International marine bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.245390852,-0.429142322,-0.4482059842794945,-0.4477575229042988,-0.446935078404763,-0.44565125050412,-0.443802254068334,-0.4412671196133377,-0.4379082639881567,-0.4335742778041879,-0.4281059567391196,-0.4213466348863455,-0.4131575905574096,-0.4034384903631923,-0.3921513847919862,-0.3793447754150213,-0.3651722754899911,-0.3498993815626072,-0.3338929926257485,-0.3175920684486206,-0.3014633544347966,-0.2859511793624124,-0.2714324601205589,-0.2581861017958096,-0.2463810102863001,-0.2360814028234171,-0.2272642695522438,-0.2198426107004183,-0.2136889789809987,-0.2086557892333516,-0.2045908205319992,-0.201347786759193,-0.1987926708404137
pathway,Transportation,Biofuels and Waste,Biogasoline,Final consumption,Domestic navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006972278,0.0072820054407504,0.007265118412619,0.0072397081751714,0.0072037836714262,0.0071549810642708,0.0070905458613772,0.0070073464023721,0.0069019380187307,0.0067707012607218,0.0066100782304294,0.0064169243993187,0.0061889748178095,0.0059253903934541,0.0056273044619957,0.0052982445187444,0.0049442815769019,0.0045737858338452,0.004196753545731,0.0038237962994429,0.0034649989542404,0.0031288997349955,0.0028218003498233,0.0025475001329588,0.0023074224828054,0.0021010154689425,0.0019262814661561,0.0017803119207503,0.0016597475521202,0.001561128869174,0.0014811346525246,0.001416724450969
pathway,Transportation,Biofuels and Waste,Biogasoline,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.756860926,290.09557170108354,289.4228377790934,288.41056205101546,286.9794261452759,285.03526112940955,282.4683354146229,279.15389204848015,274.954704673058,269.72658411580824,263.3277932634605,255.63306253052872,246.55216239869404,236.05166567467472,224.17672141570117,211.0678555767332,196.9669210456808,182.2073640432379,167.18740861198015,152.3297919207639,138.0362677222137,124.64697600189602,112.41295991451004,101.48557474891344,91.9215248809808,83.69882288262751,76.73788872151442,70.92285341702727,66.11989223701977,62.191188332239214,59.00443322741258,56.43850349889614
pathway,Transportation,Coal,other bituminous coal,Final consumption,Rail,7.558393800000001,7.558393800000001,15.116787600000002,7.558393800000001,7.558393800000001,7.558393800000001,7.558393800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Petroleum coke,Final consumption,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8086613580000006,2.8086613580000006,2.7957982906675563,2.779720860486093,2.7596880690087957,2.734823102514084,2.704108040005196,2.6663905661188965,2.620409832542112,2.5648500310865683,2.498430332779381,2.420037181655233,2.3288978751777294,2.2247819050521134,2.108199742760746,1.9805523330226456,1.8441770242652615,1.7022463730130777,1.5585090396650525,1.416908977653364,1.2811610387403136,1.1543771769338371,1.0388190096133434,0.9358093532698996,0.8457887012134429,0.7684712519749041,0.7030460174706374,0.6483772125972196,0.60317497403353,0.5661241157755962,0.5359706972719742,0.5115728271294601
