Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2939.467626664,2055.57241667,1850.015188892,1623.90174111,7657.005533332001,12230.653594446,15087.898813336002,14964.563993332002,14687.061828888,13700.386824440002,12271.764812222002,13278.99484222,11727.038009998,11963.665041888002,14154.719903520005,14487.137035058002,15130.694833193564,15095.60663237105,15042.808738770733,14968.164094843234,14866.761073115083,14732.876334984943,14560.002854631772,14340.983231711158,14068.296902033566,13734.551194987522,13333.212347031738,12859.574201162088,12311.893274505974,11692.52443447124,11008.797180533433,10273.325983916751,9503.502606167294,8720.09746590303,7945.15952808784,7199.64331261807,6501.28971188996,5863.192539578225,5293.24612744969,4794.408040840614,4365.531467813941,4002.4657032172977,3699.167296693868,3448.6562686067145,3243.7444199885567,3077.530855553531,2943.69806569762
pathway,Transportation,Biofuels and Waste,Biogases,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.277946668,0.2902938105185204,0.289620616879147,0.2886076494054416,0.2871755355230722,0.2852300419485815,0.2826613621073353,0.2793446537933702,0.2751425968741814,0.2699109036445514,0.2635077401341718,0.2558077511537182,0.2467206455259055,0.2362129732147483,0.2243299141303976,0.2112120902571976,0.1971015197549037,0.1823318767069935,0.1673016572851991,0.1524338875387482,0.1381305957614738,0.1247321543759566,0.1124897780889735,0.1015549256190668,0.0919843400914389,0.0837560190527441,0.0767903280890771,0.0709713190399535,0.0661650757231697,0.0622336871113749,0.0590447543153834,0.0564770711410215
pathway,Transportation,Biofuels and Waste,Biogasoline,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0064488880001,1080.008806668,1419.854080964,1328.939325874,1222.116915746,864.327581232,116.30790267800002,288.44375197600004,378.48277783800006,384.500187088,379.271284146,353.97349843200004,369.69795832341765,368.84062583813966,367.5505810858661,365.7267406896382,363.24909570941696,359.9778041472612,355.7538756734265,350.4024289408625,343.73970918767884,335.58508655769583,325.77891742132385,314.2062132301085,300.8243743502937,285.69093876558725,268.9849928313428,251.0147540027617,232.2051663294147,213.06372675319665,194.1291717578021,175.91349654958023,158.85017571578766,143.2591387927461,129.3332730449665,117.14484256067983,106.66582654927566,97.79480817316984,90.38412393886284,84.26322753309128,79.25648508632548,75.19528260390669,71.92526032720902
pathway,Transportation,Coal,Anthracite,Transformation processes,Coke ovens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-236.864283788,-544.5279395220001,-723.9953752500002,-723.9953752500002,-720.6796315297069,-716.5353137876872,-711.3714130769091,-704.961911021191,-697.0444156835599,-687.3218919688325,-675.4693279830128,-661.1475446932446,-644.026379742926,-623.8187891398451,-600.3255914977515,-573.4873681405968,-543.4357045268325,-510.5317255370569,-475.37793508189696,-438.7921306665246,-401.7406134737077,-365.2400258398261,-330.2479540142814,-297.5665738461907,-267.7788678722748,-241.2258216724113,-218.02098226369256,-198.09067791589848,-181.22585828543032,-167.1337493218266,-155.48185986287015,-145.93117125764482,-138.1584522424391,-131.8693547338279
pathway,Transportation,Natural gas,Natural gas,Final consumption,Road,2424.2696440020004,2477.520347782,2494.019952,2505.0197066640003,2640.7707926640005,2824.7728202240005,3062.7745297780007,3229.275611776,3321.77671289,3350.526303996,3800.5306540020006,4276.784130666,4210.783352664001,4238.283850444001,4135.533167334001,4414.035506446001,5067.290843558,5629.5453693360005,6391.5513820020005,6990.805898222001,8086.314134440001,8401.567573114002,8801.570689780001,9439.325430666002,10029.830626892,10477.583375552,10392.58369556,9851.537811672,9977.949934072,11163.389028620002,12054.152823289804,13623.218331080578,15157.051510537052,16644.777051745215,18072.72895187572,19424.016196699096,20678.1874774268,21811.117912200927,22795.28878386599,23600.669978264654,24196.418056783925,24553.53336408537,24648.43961088493,24467.147497132075,24009.29239345089,23291.035397416887,22345.78638095617,21222.09641275646,19978.833101605167,18678.608182510237,17380.96978703615,16136.841588108897,14985.142592400554,13951.76722097202,13050.489213778392,12285.056789096205,11651.754721166915,11141.895044771049,10743.929117055615,10445.06653773016,10232.411914014208
pathway,Transportation,Natural gas,Natural gas,Final consumption,Pipeline transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.0121237780002,1500.012194446,2550.0200111080003,2438.519980226,2169.267048442,2467.019541554,2524.1465541220005,2735.07340819,2179.921383676,2353.864532913819,2659.654244526541,2958.219404257304,3247.303308117863,3524.0519387111945,3784.908411938995,4025.5194660809534,4240.676810060123,4424.326829705673,4569.692634004122,4669.5582995468,4716.759252490377,4704.896173893591,4629.236166538236,4487.687374180912,4281.6522846892585,4016.519039613649,3701.581257215233,3349.302225607473,2974.0261799271143,2590.410419712829,2211.927422490599,1849.7345948079976,1512.0661820797764,1204.1405215491295,928.4601364613936,685.3371882331973,473.4908741866631,290.6082395424613,133.80966562927156,0.0
pathway,Transportation,Oil products,Fuel oil,Final consumption,Domestic navigation,0.0,0.0,0.0,0.0,0.0,0.0,4444.479611108,4444.479611108,4722.25972222,4177.810866664,5000.039833332001,5422.265711112001,5955.6031722220005,6566.7192000000005,6933.389300004,7133.390844448,7466.726761114,7811.174044448001,8166.731583330001,7233.391033332001,5888.936000000001,5311.154127782001,3722.251972222,3344.4716722260005,3955.587700004001,4544.48093889,5311.154127782001,4518.258590224001,4004.5759807960007,4190.666775066,4376.827524146713,4366.677626549423,4351.404879562293,4329.812564359737,4300.479903736791,4261.751318343236,4211.744533106586,4148.38914034404,4069.50968065306,3972.967690164932,3856.873159437328,3719.8647473199726,3561.438119814413,3382.2744649691795,3184.493973257774,2971.745608952183,2749.060254075174,2522.4461284010167,2298.281294391267,2082.6272264493605,1880.6157990198487,1696.0346348602704,1531.1673124144895,1386.8693610227583,1262.8090445614907,1157.7856963887511,1070.0511390312556,997.5862869592424,938.311823430429,890.2315394959599,851.5179810815998
pathway,Transportation,Oil products,Fuel oil,Final consumption,Transport not elsewhere specified,2777.800027778,2055.57241667,1922.238072226,1355.5664277780002,1111.120472226,1111.120472226,1000.00772222,1000.00772222,1011.119116666,66.667172222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,-23655.745327782,-22155.733133336,-20889.055499996004,-20989.056855556,-20122.383477780004,-20800.166705558,-14866.785155552,-14866.785155552,-15800.126872226,-13977.890155560002,-16733.467422224003,-18133.478233332004,-19911.27053889,-21977.953211108004,-23189.073872218003,-23866.857099996003,-25033.533349998004,-26144.653850002003,-27344.663116666004,-24222.415777776005,-31278.028055556,-25977.985294442005,-26533.545544444005,-23433.520994446004,-20500.163805554,-18966.818594446,-22166.844527782003,-23059.740254224,-25580.415225018005,-24454.873442978,-25541.225043612518,-25515.66926499958,-25468.80188530072,-25395.642359373596,-25290.27644341608,-25145.810635501966,-24954.404696222373,-24707.4304916307,-24395.815689882453,-24010.632611924582,-23543.976138263926,-22990.128724376824,-22346.92779980948,-21617.13724900165,-20809.510794398026,-19939.177879290663,-19027.046412261963,-18098.13071851865,-17179.028500476288,-16295.06003879547,-15467.704116501567,-14712.854268781162,-14040.13567625831,-13453.207787525966,-12950.759375373287,-12527.832717586432,-12177.165171650233,-11890.346529015387,-11658.702409931657,-11473.89663240855,-11328.292171551197
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,4270.03402111,4381.035103556001,4400.0352,4318.034905114,4433.0355751120005,4654.037593114001,4892.039302668,4790.03873667,4703.037512888,4503.035940666,4498.036178446,4394.035235334,4441.035916892,4532.036756004,4469.035363108001,4577.037060448,4376.035341336,4408.03554178,4545.036860004,4459.03581089,4581.036648,4698.037722890001,4795.0385266680005,5033.040236222001,4970.040010002001,5106.041153558001,5446.043429110001,5514.870340832001,5701.4053886560005,5549.896676596,6196.907807807234,8116.548636826806,10036.189465846375,11955.830294865948,13875.47112388552,15795.111952905092,17714.75278192466,19634.393610944237,21554.034439963805,23473.675268983377,25393.31609800295,27312.95692702252,29232.59775604209,31152.238585061663,33071.87941408123,34991.52024310081,36911.161072120376,38830.801901139945,40750.44273015952,42670.08355917909,44589.724388198665,46509.36521721824,48429.0060462378,50348.64687525738,52268.28770427695,54187.92853329652,56107.56936231609,58027.21019133566,59946.85102035523,61866.491849374805,63786.13267839437
