Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Natural gas,Natural gas,Final consumption,Road,4.249839554,6.500052,8.250232668,10.999921332,12.000012666000002,39.500385445000006,92.750950335,133.250843776,563.504633001,627.2550596670001,1143.759163889,1905.515202333,2927.2734457780007,4100.782625443,6320.800732668001,10055.330594779003,14596.616855334,18623.399194335,22817.182786002,25601.204988557,29235.23374111,30772.245967665003,25918.207566224,22661.681500335,17200.887717112,16667.633145554,17389.139306446,18219.123474044005,16834.065310334,17000.529850373,19269.397552130584,26259.438259475806,33137.25743724144,39864.92905178512,46394.06109862156,52663.94133346136,58599.94795735474,64112.66754102743,69098.35633105239,73441.55409812754,77020.7174625888,79717.5397177442,81430.01177649034,82088.18212747414,81670.14878839637,80214.55835430298,77825.55039297415,74667.29954123838,70948.03120594868,66896.63923553163,62737.312456589934,58667.79757698835,54845.14214252808,51380.04147027113,48338.54408574678,45748.60607734585,43608.85325405646,41897.49093321929,40580.11011426106,39615.85115507501,38961.8726181643
pathway,Transportation,Oil products,Fuel oil,Final consumption,Rail,1248.6016554000005,1112.3894546,681.0554484000002,533.4931568000001,533.4931568000001,465.38705640000006,215.668392,90.8090598,90.8090598,158.9123824,283.77449240000004,158.9123824,147.5622916,34.0530502,158.9123824,215.668392,102.1591506,68.1061004,79.4561912,45.403141,45.403141,22.702959400000005,0.0,11.3500908,11.3500908,22.702959400000005,34.0530502,4.972262,3.813919400000001,3.847253,4.014552964091323,4.101680929825821,4.183000925967863,4.2570059808634,4.3218626314266535,4.375376732006482,4.414977942514867,4.437738165170969,4.440443813640575,4.419744545092672,4.372398882426941,4.295625945924791,4.1875487419844335,4.047678137559456,3.877345348188985,3.679961622748774,3.4609891935457924,3.2275622940108613,2.987792865602072,2.7498964848070155,2.5213327048709524,2.308141506688679,2.114582943279121,1.943089737702494,1.794465131682095,1.668223032940866,1.562971969436328,1.476771776046405,1.4074246152899903,1.352688680524194,1.3104198892808705
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,-351.87781500000006,-158.9123824,-124.8593322,-136.2122008,-158.9123824,-124.8593322,-170.26247320000004,-136.2122008,-136.2122008,-158.9123824,-215.668392,-124.8593322,-113.5092414,-136.2122008,-454.0369656,-635.6523074,-964.8299408,-1362.1108968000003,-1498.3230976000002,-2213.4288184,-1657.23548,-1032.9332634000002,-953.4770722,-1010.2330818,-681.0554484000002,-522.1430660000001,-442.68687480000006,-376.8057922,-340.3110558,-343.67219380000006,-358.6169727583702,-366.8842465239293,-374.78166729426806,-382.21323711636745,-389.062139204778,-395.1885443919916,-400.4285999955744,-404.5955720401379,-407.484406830853,-408.8811555737059,-408.578570383385,-406.3984733741436,-402.2199943603443,-396.01046393381137,-387.8531127870118,-377.96385084843376,-366.6897069637957,-354.4849581360781,-341.867063175712,-329.36096510378604,-317.4441222627321,-306.5038999387233,-296.8142432672024,-288.53234923067686,-281.71108215792543,-276.3205829196685,-272.27277021497395,-269.444164424564,-267.6945491299446,-266.8807010018834,-266.86551195128754
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,38.000234555000006,33.000333445,27.000313223000003,27.000313223000003,22.000412113000003,20.000215556,18.000018999,16.00040578,15.000300557,15.000300557,13.000117889000002,10.999921332,9.999816109,9.000294224000001,12.000012666000002,13.000117889000002,12.000012666000002,8.00020289,4.999914999,2.000196557,1.0000913340000002,1.0000913340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Rail,2045.1635834,2143.1365894,2204.3676348000004,2326.8325034000004,2449.297372,2449.297372,2657.4879264,2730.966292,2902.4176636000007,3086.1163554000004,3098.3608978,3073.8690352000003,3086.1163554000004,3184.0865836000007,3380.0298178000003,3037.1298524000003,2988.1433494000003,3551.4811894000004,3245.3204068,3049.3743948,2853.431160600001,2853.431160600001,2853.431160600001,2828.939298,2951.4041666000003,3220.8257664,3514.7420066,3830.3584204,3146.4029488,3177.5226422,3315.6990043834667,3387.659721261248,3454.823520731923,3515.9457649845945,3569.512160452216,3613.7105186754407,3646.4179447399392,3665.216064549392,3667.450713342701,3650.354776452682,3611.25105358072,3547.8427609512087,3458.579652279605,3343.057742870849,3202.376510070781,3039.353372058268,2858.499694951509,2665.707783795474,2467.677452107831,2271.1941076348457,2082.4187435156527,1906.339899898681,1746.476039158155,1604.8363955726686,1482.0843824303372,1377.8185264678875,1290.889583296929,1219.695132020005,1162.4199350220974,1117.2124396844372,1082.3018057245476
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,38772.37684320001,40633.84451260001,47014.2622222,54631.5787158,58427.9896424,61477.3640372,66682.12234160001,68482.3561878,72915.58332,77397.79695520001,77630.4793722,77091.6361726,77299.82394920001,79663.3984132,84439.5255108,75769.01448060002,74483.13197140001,88566.5918604,80961.5254648,76197.64013180001,71384.7710736,71323.5400282,71237.8143424,70662.2291822,73846.3157658,80447.17135,87746.076963,95625.4566642,78550.50895460001,79327.25405740002,82776.84438984406,84573.3527747423,86250.10551076112,87776.03005776391,89113.32188560661,90216.73948053716,91033.28450291528,91502.58193800558,91558.37022734823,91131.56800381324,90155.33862383734,88572.34259039772,86343.87780921742,83459.85875136439,79947.73400763243,75877.84077867356,71362.80588937698,66549.73147933983,61605.8792391618,56700.64773016944,51987.84692416376,47592.01635596178,43600.99488308872,40064.9432930594,37000.42378239524,34397.413520375856,32227.221475705017,30449.84300830518,29019.96048186788,27891.349651429748,27019.80126569625
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Supply,International marine bunkers,-36.7391828,-48.986503000000006,-24.491862600000005,-36.7391828,-36.7391828,-48.986503000000006,-36.7391828,-36.7391828,-48.986503000000006,-36.7391828,-73.4783656,-24.491862600000005,-391.8864684,-36.7391828,-281.66892,-293.9162402,-220.43787460000004,-146.9567312,-465.3676118,-453.1202916,-367.3946058,-110.2175484,-110.2175484,-85.72568580000001,-61.2338232,-61.2338232,-110.2175484,-68.1755454,-35.8947316,-36.25029000000001,-37.82665428259335,-38.69868023324478,-39.53169436223599,-40.31557087615356,-41.037988026465605,-41.68419673552178,-42.23691394300277,-42.67644308665302,-42.98115525369688,-43.12848328284496,-43.0965668197248,-42.86661179211752,-42.425868901823385,-41.77089220371835,-40.91046080997165,-39.8673487408933,-38.67816034365656,-37.39081242210956,-36.05988615063765,-34.74075213265659,-33.48377232263441,-32.32980572578898,-31.307747873335884,-30.434179787265958,-29.71467755806149,-29.14609166674753,-28.719131362544825,-28.42077210611423,-28.236223972856468,-28.1503798714412,-28.14877774156611
pathway,Transportation,Oil products,Aviation gasoline,Final consumption,Domestic aviation,0.0,0.0,0.0,0.0,0.0,0.0,996.5801948,1020.8887226000002,1300.4159588000002,1336.8773616000003,1276.1102088000002,1300.4159588000002,1446.2587922,1336.8773616000003,1507.025945,1592.0988478000002,1519.17882,1263.9573338000002,1336.8773616000003,1421.9502644,1470.5645422,1434.1031394,1373.3359866000003,1458.4116672,1324.7244866,1470.5645422,1385.4916394,1229.7209488,1105.5977336,1116.53671,1165.089937845854,1190.3759203924108,1213.9763337132003,1235.453829608696,1254.2763066440032,1269.806987314084,1281.299916241048,1287.905310823445,1288.6905349406711,1282.6832634657042,1268.9427659144474,1246.661984811892,1215.296185444508,1174.7034132794397,1125.2700091729696,1067.9859741977402,1004.4365388777848,936.692176229362,867.1071063745511,798.0656260420076,731.7326214605631,669.8609953888193,613.687085957432,563.9169097974859,520.7835809961143,484.14602750222485,453.6004210216119,428.5836934165001,408.4579957514888,392.5727185102528,380.3056133548346
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,10216.970624,10316.526976,11187.645056,12307.654016,12344.987648,12232.986752,15879.238144000004,16177.9072,15493.457280000002,15655.236352000002,13738.776576,13589.442048,13738.776576,15468.568192000002,16538.798976000002,14759.229184000002,14273.891968000002,18169.03424,19015.263232,24092.637184000003,28087.335808000003,34409.16416,41726.556032,48259.941632,59161.36217600001,72178.3552,83851.33747200001,93474.456123,95648.57907140002,96594.4005268,100794.862451076,102982.41643290236,105024.14757930272,106882.21979695706,108510.59965170894,109854.19791915832,110848.48012238048,111419.92943006118,111487.86114444488,110968.15697195406,109779.43195107803,107851.86550870804,105138.33127396143,101626.54840297483,97349.94021544508,92394.15419548652,86896.33262493757,81035.59733474317,75015.61783201733,69042.66562679615,63304.03047463345,57951.36040432432,53091.61413877465,48785.87095341782,45054.29813455918,41884.69118405344,39242.11389994215,37077.853840675496,35336.729089716435,33962.453780560485,32901.19564361412
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Transformation processes,BKB/peat briquette plants,10254.304256,10204.52608,10876.531456,11946.762240000002,11548.536832000002,10764.53056,12942.325760000002,13900.555648,13589.442048,14049.890176,14908.563712,16526.354432000004,13527.219328,16190.351744000003,16750.356224000003,14983.230976,15393.900928,16887.246208,16252.574464000005,16924.579840000002,15692.569984000002,15593.013632000002,18990.374144,20023.271296000003,20384.163072,20807.277568000005,25884.651520000003,29998.2566508,30411.0932868,29719.934979800004,31012.323095402757,31665.782852328557,32268.16337782485,32806.09589772839,33263.2448564216,33619.951406012224,33853.01684466548,33935.755421932,33838.490669854065,33529.70314168585,32978.035065627286,32155.28317712428,31040.328075643487,29623.642934947067,27911.641052884177,25929.7920548814,23723.36103022347,21354.97857184559,18899.0375640592,16433.88095723547,14033.466395565756,11760.316719639046,9661.047102549785,7764.885404258722,6084.781755490008,4620.2232505246,3360.785806011544,2289.64875503802,1386.5981886076029,630.3227311272058,0.0
