Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Biofuels and Waste,Biodiesels,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25041,153.75123000000002,256.25205,328.002624,481.7538540000001,369.0029520000001,533.004264,615.0049200000001,420.253362,266.502132,164.001312,242.12693700000003,767.3616944,1056.4556738,1103.3862913273456,1100.8275298030587,1096.9773119081246,1091.5339480878506,1084.1392642806964,1074.375893444172,1061.7693191619865,1045.7975972994757,1025.9123004697124,1001.5743277590282,972.3072129375698,937.7677656112124,897.828844553331,852.6621754146207,802.8022524356153,749.1689695653083,693.0305984517338,635.9017949266864,579.3904511555496,525.024648317005,474.0981179733981,427.5657095000652,386.0031067996115,349.62598648726936,318.3507187903129,291.87461892030694,269.7569761002814,251.488784370494,236.54585364666423,224.424945092754,214.6653625167344
pathway,Transportation,Biofuels and Waste,Biogasoline,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.408392600000001,29.750238000000003,30.1780192,50.2281796,58.89769340000001,69.7950028,88.33126220000001,88.26181720000001,75.81171760000001,50.542071,40.1336544,77.9645126,49.2837276,51.47304403577442,51.35367764011418,51.17406471868223,50.92013143364327,50.57516894115264,50.1197070408589,49.53160951031356,48.78652762084476,47.85887719829732,46.72350914911529,45.35819629191752,43.746928771943,41.88377544249516,39.77674731662517,37.45077858628024,34.94878236549574,32.32992361118808,29.664861118868725,27.02860316522559,24.49243483909725,22.116708804099776,19.945968847237356,18.007070660938282,16.3100755736789,14.851082250987282,13.615970427307689,12.584180915519244,11.73196855367257,11.034879839396504,10.469438647446877,10.014153469758185
pathway,Transportation,Coal,Lignite,Final consumption,Rail,0.0,0.0,2.8139114000000003,2.7972446000000004,0.0,2.8389116000000003,2.8389116000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Natural gas,Natural gas,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00020289,9.250324002,13.500163556,24.500070999,32.750303667000004,38.005345707,38.836977360000006,51.377647129,55.47723980650177,62.69860365711061,69.75781655803455,76.60482669850641,83.17673856630945,89.39581406896052,95.1679294485604,100.3820539362318,104.91153719883371,108.61817061491044,111.36000237204723,113.00356636465376,113.44035663021776,112.60598973466436,110.49878753174592,107.193128793565,102.84277691634873,97.67118014402884,91.94926688587738,85.96519727132504,79.99303170289542,74.26713794215235,68.96663426458397,64.21069544986206,60.06271285246197,56.53993702555185,53.625269258557495,51.27872463200951,49.44715243192681,48.07168696160412,47.09297931380846
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.4464,-333.336,-544.4488,-744.4504000000001,-366.66960000000006,-211.1128,-366.66960000000006,-566.6712,-688.8944,-644.4496,-722.2280000000001,-1377.7888,-1747.847316,-2331.296428,-1832.9702192,-1914.395712412482,-1912.480225863954,-1908.9673673149105,-1903.4838291323103,-1895.5863200113088,-1884.7581501491063,-1870.411668770024,-1851.9001699073249,-1828.5436535549384,-1799.6729618916663,-1764.695581174021,-1723.182963331073,-1674.9730168579144,-1620.2729036472113,-1559.7387429214027,-1494.5045343739291,-1426.1373919735706,-1356.5122186211445,-1287.6225963542147,-1221.3663604039025,-1159.353413586591,-1102.7750267032825,-1052.3526375270835,-1008.3605333204176,-970.70043345085,-939.0007409361178,-912.7170977171191,-891.2191320258678,-873.856671626171,-860.0048932750865,-849.0913777683915
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,224.001597554,178.001160109,147.00103711000003,146.000931887,147.00103711000003,170.001540557,160.00114111000002,164.001534224,160.00114111000002,160.00114111000002,147.00103711000003,161.001246333,166.00114744300004,170.001540557,180.00135666600005,187.00146822200003,188.001559556,188.001559556,188.001559556,147.00103711000003,164.001534224,157.00143655700003,152.00093822000002,146.000931887,131.00121466800002,145.001423891,160.00114111000002,225.135814961,225.36055287,222.301431175,248.217499317485,325.1088233366471,402.0001473558093,478.8914713749714,555.7827953941336,632.6741194132957,709.5654434324579,786.4567674516201,863.3480914707822,940.2394154899442,1017.1307395091064,1094.0220635282683,1170.9133875474306,1247.8047115665927,1324.696035585755,1401.587359604917,1478.4786836240792,1555.3700076432413,1632.261331662403,1709.1526556815656,1786.0439797007275,1862.9353037198896,1939.826627739052,2016.7179517582144,2093.6092757773763,2170.5005997965386,2247.3919238157005,2324.283247834863,2401.174571854025,2478.065895873187,2554.9572198923493
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8671458260000001,1.055786224,1.980001951,2.210832068526207,2.8956903295288723,3.5805485905315377,4.265406851534203,4.950265112536869,5.635123373539534,6.319981634542199,7.0048398955448645,7.6896981565475295,8.374556417550195,9.05941467855286,9.744272939555524,10.42913120055819,11.113989461560855,11.798847722563522,12.483705983566187,13.168564244568852,13.853422505571515,14.538280766574182,15.223139027576847,15.907997288579514,16.59285554958218,17.277713810584842,17.96257207158751,18.647430332590176,19.332288593592843,20.017146854595502,20.70200511559817,21.38686337660084,22.071721637603503,22.75657989860617
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Transport not elsewhere specified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.00109677900002,94.000488109,6.000006333000001,9.000294224000001,9.999816109,10.999921332,9.999816109,7.000097667,8.00020289,9.000294224000001,9.000294224000001,7.000097667,7.000097667,8.00020289,4.999914999,7.000097667,6.000006333000001,6.736734449000001,6.736734449000001,6.736734449000001,7.522108020889737,9.85226140141986,12.182414781949984,14.512568162480106,16.842721543010228,19.17287492354035,21.50302830407048,23.8331816846006,26.16333506513072,28.493488445660844,30.823641826190965,33.153795206721085,35.48394858725121,37.81410196778133,40.144255348311454,42.47440872884158,44.8045621093717,47.13471548990182,49.46486887043195,51.79502225096207,54.12517563149219,56.45532901202232,58.78548239255244,61.11563577308256,63.44578915361269,65.7759425341428,68.10609591467292,70.43624929520304,72.76640267573316,75.0965560562633,77.42670943679342
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Rail,118.33428,106.500852,177.50142000000002,153.834564,153.834564,165.667992,142.001136,142.001136,142.001136,142.001136,130.16770800000003,130.16770800000003,142.001136,142.001136,142.001136,142.001136,142.001136,142.001136,118.33428,106.500852,106.500852,118.33428,106.500852,118.33428,153.834564,142.001136,118.33428,106.500852,97.0341096,86.12291120000002,89.94872377889475,89.74013197802392,89.42625986574369,88.98251352545803,88.37969438910477,87.58377844069382,86.55608281240909,85.25405829989131,83.63299676789599,81.64895038097005,79.26307732130601,76.44740049855265,73.19155528233121,69.50954085247702,65.4449295056382,61.07271155787566,56.49627728786357,51.83910236328521,47.23226313463277,42.80032971206015,38.64876788199242,34.85541754817648,31.467208813647314,28.501723767689143,25.9521448601967,23.793797042511983,21.9907533031653,20.50151916571212,19.28336233460993,18.295258472857792,17.499651345754867
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,3254.1927000000005,3147.6918480000004,2769.022152,3526.3615440000003,4011.532092,4839.872052000001,5620.8783,6520.218828,4946.372904,4449.368928000001,3916.8646680000006,4591.370064000001,5384.20974,5798.379720000001,7431.392784000001,8567.401872,9632.410392000002,12105.596844000002,15205.954980000002,12164.763984000005,12815.602524000002,14318.447880000002,14981.119848,14342.114736,14697.117576,14697.117576,16128.962364000005,16725.828250000002,16607.2939684,16018.4975914,16730.082566016754,16691.285372409635,16632.906485717183,16550.371541368273,16438.24972907491,16290.212725623292,16099.065681044853,15856.894623110273,15555.38402756763,15186.359782713738,14742.597474553228,14218.893482491292,13613.320029070752,12928.480902590789,12172.480366123616,11359.266301602886,10508.068864011057,9641.85400582025,8785.001374390205,7960.680483868281,7188.5075249090405,6482.960390715472,5852.767882160143,5301.200193560995,4826.98928940438,4425.545714898435,4090.187197710808,3813.1959405478183,3586.6239169936744,3402.8407737047423,3254.861209711568
