Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Natural gas,Natural gas,Final consumption,Pipeline transport,28177.975491445,28499.477924555,19113.403017112003,22641.681284779,9274.574446002,8908.071097332,9694.077760335,2385.5192090010005,1152.509442224,3927.531336666,13612.608802777002,15101.620978668,17212.637713889002,17618.640864666,17050.386346444,19080.152667778,18812.150245998004,21272.170356557,19891.908953443,7307.308430222,9278.074210111,17142.387221334,17120.136779443004,20237.662011112,19281.65439089,19281.65439089,19281.65439089,19281.65439089,19281.65439089,19281.65439089,19808.549954778675,20325.564768447013,20808.651831368446,21248.789087693596,21634.914787484424,21953.66924681757,22189.226550087737,22323.30391091856,22335.46781901246,22203.880721618832,21906.63282694039,21423.756084576253,20739.89563569744,19847.40703737764,18749.38387024982,17461.888013665804,16014.591002091553,14449.262477838523,12816.0704862756,11168.320986188868,9556.770089841915,8024.746897484143,6604.989024193874,5318.504699883218,4175.212676060287,3175.7736806979315,2313.958604187861,1579.021961730135,957.7496654160292,436.03866655617054,0.0
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,0.0,0.0,155.00124000000002,154.001134777,130.001109445,129.001018111,121.000815221,98.000881223,132.001306002,124.001103112,150.001325001,160.00114111000002,161.001246333,160.00114111000002,177.00165211300003,192.001369332,200.00157222200005,216.001978002,226.00179411100004,232.00180044400005,238.001806777,245.001918333,251.001924666,268.00242178,288.00205399800006,324.00267533400006,324.00267533400006,324.00267533400006,324.00267533400006,324.00267533400006,325.89989235057294,326.0481720169666,326.1964516833602,326.34473134975383,326.4930110161474,326.64129068254107,326.7895703489347,326.9378500153283,327.086129681722,327.23440934811555,327.3826890145092,327.53096868090284,327.67924834729644,327.8275280136901,327.9758076800837,328.1240873464773,328.272367012871,328.42064667926456,328.5689263456582,328.7172060120518,328.86548567844545,329.0137653448391,329.1620450112327,329.31032467762634,329.45860434401993,329.6068840104136,329.75516367680723,329.9034433432008,330.05172300959447,330.20000267598806,330.3482823423817
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Transport not elsewhere specified,343.002799556,353.002615665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,6342.717408,3017.5241400000004,3159.5252760000003,3419.860692,3277.8595560000003,3064.857852,3987.865236000001,3206.8589880000004,4733.3712000000005,5135.707752000001,6212.5497000000005,4910.87262,5620.8783,6378.217692000001,7100.0568,7336.72536,7691.7282,8283.3996,8756.73672,9407.57526,10176.74808,10354.249500000002,12720.9351,11715.09372,12306.765120000002,12306.765120000002,12306.765120000002,12306.765120000002,12306.765120000002,12306.765120000002,12611.76129009092,12720.404816781938,12812.70103633576,12884.616380089095,12931.298678870526,12947.011407564172,12925.12423270914,12858.199917990503,12738.228094054051,12557.060934836534,12307.096347108902,11982.220824302143,11578.958768144574,11097.680260616711,10543.617414795215,9927.37662256195,9264.6664545067,8575.120587720225,7880.351314506368,7201.622066329298,6557.6558157916415,5963.035307580783,5427.436934806579,4955.682273928116,4548.399005551492,4203.007054524006,3914.772209805132,3677.75039378743,3485.53453649202,3331.785178115608,3210.5675330721256
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,9777.856000000002,8958.960560000001,8714.51416,6441.1626400000005,6025.603760000001,5512.266320000001,5903.3805600000005,5402.26544,7076.723280000001,7956.730320000001,8396.73384,9044.5168,10352.30504,11745.64952,11770.09416,11843.428080000002,11488.9808,12332.32088,12760.10208,12967.88152,14727.895600000002,15009.00896,14165.66888,15644.5696,18394.591600000003,18394.591600000003,18394.591600000003,18394.591600000003,18394.591600000003,18394.591600000003,18850.461191536226,19012.847755672174,19150.80043847404,19258.29037309272,19328.065152464933,19351.550546426944,19318.83637346513,19218.80639602138,19039.487729962515,18768.70203830073,18395.086676271927,17909.503949649872,17306.758974957876,16587.404903801882,15759.262035205382,14838.183458515085,13847.648352686749,12817.002648041558,11778.549657967942,10764.071262918158,9801.552187651734,8912.788869357155,8112.244353171084,7407.125320050556,6798.369947355088,6282.1218659845545,5851.304977728779,5497.034829284118,5209.734945072715,4979.929904631986,4798.749143193305
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Transformation processes,BKB/peat briquette plants,9777.856000000002,9692.299760000002,11378.979920000002,8885.62664,8543.40168,7834.507120000001,8274.51064,9362.29712,12258.986960000002,13786.77696,14544.5608,15669.014240000002,17942.36576,20362.385120000003,20411.2744,20533.4976,19922.3816,21389.06,22122.399200000003,22489.0688,25544.648800000003,26033.541600000004,24566.863200000003,27133.550400000004,31900.255200000003,31900.255200000003,31900.255200000003,31900.255200000003,31900.255200000003,31900.255200000003,32690.833029840225,32952.04907900356,33165.00877893469,33317.69282017495,33395.575666541816,33381.380763213354,33254.9808982678,32993.55845192976,32572.175268946005,31964.92421249332,31146.821846214854,30096.523902310797,28799.773523067164,27253.22104948913,25467.93090976308,23471.63701039088,21308.79546714342,19037.849105637044,16725.839268992444,14441.332075815648,12247.192888707805,10194.762326491596,8320.461166449306,6645.058131360871,5175.134903195674,3905.9088531889633,2824.5500785358563,1913.3343514814617,1152.2534413617948,520.9490407869475,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Transformation processes,BKB/peat briquette plants,2878.63414,3917.80912,3523.6393000000003,2627.7988,2591.96518,2400.8525400000003,2687.5215000000003,3057.8022400000004,3583.3620000000005,3881.975500000001,3822.2528,3846.1418800000006,4407.535260000001,5004.76226,5016.706800000001,5255.5976,4897.2614,5255.5976,5494.4884,5733.3792,6330.6062,5733.3792,4956.984100000001,5434.765700000001,5613.933800000001,5613.933800000001,5613.933800000001,5613.933800000001,5613.933800000001,5613.933800000001,5753.062831183132,5799.032670556095,5836.510165641501,5863.380110551512,5877.086243650384,5874.588168099458,5852.343817084571,5806.337655115817,5732.180966435029,5625.314510053029,5481.341601462924,5296.505991516031,5068.29870168223,4796.1302456476415,4481.947785495574,4130.63204440961,3750.0065864765625,3350.356412616898,2943.4797250638903,2541.443062105836,2155.3097203133457,1794.1148260048335,1464.267852437656,1169.423762058544,910.7408254404784,687.3773765495379,497.0755580565103,336.7161898592853,202.77814393871355,91.67868438091436,0.0
pathway,Transportation,Oil products,Kerosene type jet fuel excl. biofuels,Supply,International aviation bunkers,-2950.3013800000003,-3989.476360000001,-3595.3065400000005,-2627.7988,-2591.96518,-2400.8525400000003,-2687.5215000000003,-3057.8022400000004,-3583.3620000000005,-3881.975500000001,-3822.2528,-3846.1418800000006,-4407.535260000001,-5004.76226,-5016.706800000001,-5255.5976,-4897.2614,-5255.5976,-5494.4884,-5733.3792,-6330.6062,-5733.3792,-4956.984100000001,-5434.765700000001,-5613.933800000001,-5613.933800000001,-5613.933800000001,-5613.933800000001,-5613.933800000001,-5613.933800000001,-5753.062831183132,-5810.29054792002,-5862.20224977637,-5907.485753947071,-5944.562277484839,-5971.564829567586,-5986.334819795667,-5986.449892508478,-5969.2994142624175,-5932.225556190048,-5872.744912145614,-5788.854806956028,-5679.407292670678,-5544.503034174399,-5385.824063500036,-5206.803652100141,-5012.54161875103,-4809.424830142887,-4604.495802462929,-4404.694924408748,-4216.144416812469,-4043.623219452692,-3890.3128310237057,-3757.8101494077273,-3646.340244494446,-3555.07665187526,-3482.4849180466827,-3426.63128891408,-3385.427384522546,-3356.8043756990323,-3338.823889513026
pathway,Residential,Biofuels and Waste,Primary solid biofuels,Final consumption,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5556,5.5556,5.5556,5.5556,7.50006,7.50006,7.50006,7.50006,21.94462,21.94462,21.94462,21.94462,21.94462,21.94462,23.889080000000003,23.889080000000003,23.889080000000003,23.889080000000003,23.889080000000003,28.847453,28.847453,28.847453,29.08195523996358,29.19795071693669,29.27472857319786,29.30288099857067,29.2711909727396,29.16653776025132,28.97395541009452,28.67693993989408,28.25812064028164,27.70041256060312,26.988730979954056,26.112252189773464,25.06703525577167,23.858593574397798,22.50379077649409,21.03135129586825,19.48044488262138,17.897263975169217,16.330135943489605,14.824227478140571,13.417040837943103,12.13559499027237,10.995597630354895,10.002337359807532,9.152681986043934,8.437512337742548,7.844066111186105,7.357884987895623,6.964254198559591,6.649154897321913,6.399815479303137
pathway,Residential,Biofuels and Waste,Charcoal,Final consumption,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,94.111864,77.00061600000001,85.55624,85.55624,85.55624,85.55624,85.55624,85.55624,85.55624,86.25173051428774,87.02810074996346,87.80447098563918,88.5808412213149,89.35721145699061,90.13358169266634,90.90995192834204,91.68632216401777,92.4626923996935,93.2390626353692,94.01543287104492,94.79180310672064,95.56817334239636,96.34454357807208,97.1209138137478,97.89728404942352,98.67365428509925,99.45002452077496,100.22639475645067,101.0027649921264,101.77913522780212,102.55550546347784,103.33187569915356,104.10824593482928,104.88461617050498,105.66098640618073,106.43735664185644,107.21372687753214,107.99009711320788,108.76646734888358,109.5428375845593
