Scenario,Sector,Product_category,Product_long,Flow_category,Flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Transportation,Oil products,Fuel oil,Supply,International marine bunkers,-7695.350451200001,-9450.853384000002,-8549.054503000001,-8140.237343600001,-7839.637716600001,-7490.943260400001,-7370.703409600001,-6408.784603200001,-5374.7207752,-14969.861424600002,-16015.947571,-13418.7684604,-15306.533562400002,-5230.4335098,-6841.6463994000005,-6156.2798054,-7202.365951800001,-8356.669630600001,-5939.850296200001,-4340.659725,-3967.9150764,-3414.8106516000003,-3018.021366200001,-2681.3492284000004,-2128.2448036,-1995.9798566,-1659.3104966000003,-1399.2806386000002,-1124.7228866,-731.0697374,-777.9118714024777,-798.9016372767535,-819.0640949844123,-838.1817695297815,-855.9892942438191,-872.1681019723168,-886.3437116751232,-898.0878206174855,-906.928105733132,-912.3690773639478,-913.9270685919138,-911.1808882416864,-903.8362765960844,-891.7970417011206,-875.229668925805,-854.6037437111798,-830.6909853638479,-804.5133270033152,-777.2442651370501,-750.0825378756235,-724.1261658868339,-700.2736043037577,-679.1682747319686,-661.1886614524714,-646.4746918700255,-634.9756800727671,-626.5054821068412,-620.7943346944195,-617.5315531411052,-616.3971822527546,-617.083220525203
pathway,Transportation,Electricity and Heat,Electricity,Final consumption,Rail,277.002146555,196.001762446,194.001565889,145.001423891,124.001103112,128.00091288800002,156.00133133400004,154.001134777,161.001246333,159.001049776,253.002121223,248.002206224,241.00210855700004,203.001874002,238.001806777,255.00231778,256.00182577600003,293.002552335,278.002237889,290.00225055500005,275.001949998,290.00225055500005,302.002263221,308.002269554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Final consumption,Road,21453.8410738,22710.659461600004,20247.300866,21403.5684494,20838.002813800005,22006.839942200004,23665.8365474,21868.591614000004,22773.4988532,18638.5768852,18487.759012,19065.8941926,18525.462091400004,17142.9649204,23628.133468000004,27549.3981712,29158.122152,34386.475089600004,33896.315612800005,35693.563324,36108.313864200005,37226.87836820001,44390.7273452,41902.2324374,48173.7409424,34197.9513592,30955.369863200005,23023.050849600004,21390.851681,20346.537771000003,21650.209910603546,22205.03597250847,22727.563019221197,23209.303502200088,23639.90255826792,24006.932181298747,24295.78735372807,24489.77055728512,24570.478049177007,24518.618209432287,24315.381676783723,23944.42164359325,23394.36967959444,22661.60666818777,21752.771352388263,20686.31701709248,19492.447891414868,18211.068372945007,16887.917999410507,15569.642291744469,14298.894711858406,13110.508703698426,12029.365996167277,11070.037808648754,10237.831570178843,9530.667735533432,8941.228945518189,8458.974326566522,8071.795080478375,7767.239405307964,7533.332253050961
pathway,Transportation,Oil products,Gas/diesel oil excl. biofuels,Supply,International marine bunkers,-1432.7697954000002,-1809.8144784,-1671.5633724000002,-1797.2449334,-1382.497171,-879.7709270000001,-867.2013820000001,-980.3161758,-754.089366,-1608.7239808000002,-1281.9519222,-1181.4066734,-1520.7454992000005,-1105.9977368,-1231.6792978,-515.295789,-628.407805,-917.4767842,-766.658911,-867.2013820000001,-100.5452488,-741.519821,-842.0650698000001,-691.2471966,-992.882943,-930.0435514,-766.658911,-646.519061,-519.6680462,-337.78325780000006,-359.4261843447818,-369.1242899218054,-378.4401462640047,-387.2732712849652,-395.501055042851,-402.9763068584814,-409.5260016163912,-414.9522464403358,-419.0368093123592,-421.5507543288642,-422.2706081617937,-421.0017637578314,-417.60826143922856,-412.04565670236303,-404.3908724007509,-394.8608756607503,-383.8122314557905,-371.7171134797088,-359.1177237318918,-346.5679268349922,-334.5750519524624,-323.55422104368927,-313.80272044806145,-305.4954249373326,-298.6969865306156,-293.3839863233134,-289.4704184148446,-286.8316414554745,-285.32410677555765,-284.7999823663279,-285.1169592986069
pathway,Transportation,Oil products,Liquified petroleum gases (LPG),Final consumption,Road,0.0,0.0,520.087494,520.087494,520.087494,561.1461558,177.9236456,123.1787632,123.1787632,136.8649838,123.1787632,95.806322,95.806322,68.43388080000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Aviation gasoline,Transformation processes,BKB/peat briquette plants,235.5379954,235.5379954,641.1829072,91.597955,274.79386500000004,274.79386500000004,222.45177960000004,392.5614738,222.45177960000004,327.13595040000007,327.13595040000007,261.70764920000005,261.70764920000005,26.172431600000003,143.9400404,104.68417080000002,39.2558696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Aviation gasoline,Supply,International aviation bunkers,-235.5379954,-183.19591000000003,-300.96351880000003,-209.3655638,-261.70764920000005,-274.79386500000004,-222.45177960000004,-287.877303,-222.45177960000004,-196.2821258,-222.45177960000004,-209.3655638,-209.3655638,-26.172431600000003,-143.9400404,-104.68417080000002,-39.2558696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Road,91394.1978144,96818.649543,97027.2817676,104433.7465744,107002.536569,110132.0282714,114148.21040060002,105815.9381874,107589.31626320002,110692.7299792,115269.61103840002,123654.0392244,133342.4250642,118386.0637476,113183.2832368,135924.2568298,144269.5680362,153384.213175,162146.7888306,163229.069711,156122.5184146,163920.16690640003,168223.2179972,167414.7670852,157843.7377398,145469.20541100003,127213.837147,122258.8086182,106269.19181340002,97137.10209060002,103361.00785494257,106009.8219394007,108504.4361903804,110804.3299120038,112860.06759770447,114612.316278236,115991.34963956084,116917.45148842872,117302.75988672304,117055.17405151202,116084.89556764333,114313.88258149714,111687.86068118924,108189.55171834076,103850.64994311157,98759.2538142704,93059.56237541276,86942.08457632418,80625.18710896115,74331.56195069813,68264.84245335398,62591.328153431714,57429.80776416701,52849.84624254658,48876.78196711467,45500.68690986919,42686.62701593096,40384.27874016979,38535.83305481928,37081.8433861954,35965.13924791717
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Final consumption,Manufacturing,0.0,0.0,0.0,2008.0910646,0.0,52.158750600000005,1512.5871006000002,5789.560205000001,1290.9158828000002,1225.718139,1121.4006378,1121.4006378,1095.3226514,1108.3616446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Transportation,Oil products,Motor gasoline excl. biofuels,Transformation processes,BKB/peat briquette plants,186908.8924814,179006.92648840003,182332.0114222,184405.29745280003,181314.9255078,189960.1474468,201447.9893488,227879.15357420003,253462.7471302,186804.5749802,180871.5802944,184992.07714700003,162655.3317878,126587.9404732,157700.30325900004,174234.44942000002,161546.9701432,166893.18513480003,173021.77305200003,163033.4792574,165250.1997688,169435.897143,165484.91275760002,164467.829621,154427.3770758,141518.22380340003,117460.2563412,104547.4113726,86785.73316920002,80884.30818040001,86066.84195065097,88217.8532352527,90222.69704068,92042.63554566004,93630.20714305724,94928.13362898698,95868.61765612656,96373.40673540806,96355.13383593567,95720.54866103956,94376.2550673119,92237.36367473684,89238.94438359445,85349.27550368082,80582.75850198456,75009.37876442059,68757.33021238091,62006.40891232736,54972.05371315157,47882.74881068194,40955.65900269464,34375.79720026853,28282.56941057039,22765.01522420849,17864.654054792667,13583.410500444368,9893.808693889552,6749.161738831407,4092.345217343271,1862.552199706719,0.0
